season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2016,두산,0.298,935,1504,183,877,2387,5841,5044,0.378,0.473,0.851,600,884,4.45,1.46,682,636,136,498,982,1287.6666666666667,79,0.986,160,4,82,44,34.9,130,85,45,65.4,64,4,253,0.6527238232902701,1.9718875502008033,0.175,0.1027221366204417,0.3162,87,453,0.8880000000000001,0.8903333333333334,1.0026276276276276,0.38839999999999997,0.49959999999999993,4.024,1.3800000000000001,790.6666666666666,597,2.95,1.0739999999999998
2016,넥센,0.293,813,1464,134,765,2198,5702,4990,0.368,0.44,0.808,556,956,4.96,1.5,757,705,152,435,895,1280.3333333333333,94,0.983,121,11,98,60,38.0,237,154,83,65.0,56,11,56,0.5356234674048514,2.057471264367816,0.14700000000000002,0.09750964573833742,0.30820000000000003,68,379,0.8538,0.8503333333333334,0.9959397204653706,0.38,0.47379999999999994,4.6899999999999995,1.362,523.6666666666666,388,2.6,2.0899999999999994
2016,삼성,0.293,852,1492,142,792,2235,5863,5093,0.367,0.439,0.806,552,864,5.64,1.58,869,804,193,518,935,1282.3333333333333,90,0.983,140,8,115,58,33.5,154,104,50,67.5,51,5,-17,0.4901229858243899,1.805019305019305,0.14600000000000002,0.09414975268633806,0.32199999999999995,79,449,0.8944000000000001,0.9266666666666667,1.0360763267740012,0.3964,0.49800000000000005,5.9959999999999996,1.5959999999999999,596.6666666666667,362,2.97,3.0259999999999994
2016,SK,0.291,753,1464,182,715,2282,5672,5023,0.356,0.454,0.81,429,1018,4.87,1.5,784,689,151,527,945,1274.0,123,0.978,149,4,106,64,37.6,149,89,60,59.7,71,8,-31,0.4798390406756568,1.793168880455408,0.16300000000000003,0.07563469675599435,0.29819999999999997,111,397,0.8493999999999999,0.878,1.0336708264657406,0.36080000000000007,0.4885999999999999,4.4719999999999995,1.416,683.6666666666666,513,3.68,0.7919999999999994
2016,NC,0.291,857,1457,169,808,2251,5833,5007,0.375,0.45,0.825,609,1023,4.48,1.42,690,640,137,516,1147,1286.3333333333333,100,0.981,136,3,70,43,38.1,140,99,41,70.7,48,3,167,0.6067073699618933,2.2228682170542635,0.15900000000000003,0.10440596605520315,0.317,102,450,0.921,0.9250000000000002,1.0043431053203042,0.4029999999999999,0.518,4.62,1.444,656.9999999999999,557,2.57,2.0500000000000003
2016,LG,0.29,786,1464,118,744,2108,5765,5051,0.361,0.417,0.778,523,982,5.04,1.53,807,721,122,539,909,1287.6666666666667,103,0.981,139,9,80,49,38.0,191,121,70,63.4,70,13,-21,0.48681961632566223,1.686456400742115,0.127,0.09071986123156982,0.31379999999999997,72,415,0.8527999999999999,0.8799999999999999,1.0318949343339587,0.3814,0.47139999999999993,4.736,1.4580000000000002,638.3333333333334,407,3.13,1.6059999999999999
2016,한화,0.289,826,1478,142,787,2200,5838,5109,0.362,0.431,0.793,510,1025,5.76,1.67,908,827,155,634,976,1292.6666666666667,124,0.977,152,8,124,66,34.7,102,64,38,62.7,58,10,-82,0.45281601337987976,1.5394321766561514,0.14200000000000002,0.08735868448098665,0.33459999999999995,94,468,0.9189999999999999,0.9496666666666668,1.0333696046427279,0.4053999999999999,0.5136000000000001,5.77,1.7159999999999997,567.3333333333333,387,3.33,2.4399999999999995
2016,롯데,0.288,777,1439,127,732,2112,5784,5001,0.37,0.422,0.792,596,1061,5.63,1.64,865,792,161,585,1009,1266.3333333333333,91,0.983,142,14,90,59,39.6,209,145,64,69.4,55,10,-88,0.44656031196327683,1.7247863247863249,0.134,0.10304287690179806,0.3136,72,382,0.8726,0.8936666666666667,1.0241424096569638,0.4016,0.471,5.608,1.6160000000000003,688.6666666666666,558,3.16,2.4479999999999995
2016,KIA,0.286,803,1429,170,754,2259,5696,4999,0.358,0.452,0.81,499,997,4.97,1.58,785,705,131,561,965,1276.0,111,0.979,139,4,136,49,26.5,151,101,50,66.9,52,12,18,0.5113335564306751,1.7201426024955437,0.16600000000000004,0.08760533707865169,0.30879999999999996,109,426,0.9001999999999999,0.9243333333333332,1.0268088572909724,0.3836,0.5166000000000001,4.188,1.462,706.6666666666667,547,3.4,0.7879999999999998
2016,KT,0.276,672,1369,116,639,1953,5620,4963,0.345,0.394,0.739,499,933,5.92,1.69,927,838,145,560,980,1273.0,130,0.976,151,11,115,55,32.4,142,96,46,67.6,58,11,-255,0.3444805261676404,1.75,0.118,0.0887900355871886,0.31320000000000003,67,332,0.8634000000000001,0.8523333333333335,0.9871824569531311,0.3894,0.47400000000000003,5.824,1.652,617.3333333333334,423,4.45,1.3739999999999997
