season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2016,KIA,4.188,1.462,706.6666666666667,547,3.4,0.7879999999999998
2016,KT,5.824,1.652,617.3333333333334,423,4.45,1.3739999999999997
2016,LG,4.736,1.4580000000000002,638.3333333333334,407,3.13,1.6059999999999999
2016,NC,4.62,1.444,656.9999999999999,557,2.57,2.0500000000000003
2016,SK,4.4719999999999995,1.416,683.6666666666666,513,3.68,0.7919999999999994
2016,넥센,4.6899999999999995,1.362,523.6666666666666,388,2.6,2.0899999999999994
2016,두산,4.024,1.3800000000000001,790.6666666666666,597,2.95,1.0739999999999998
2016,롯데,5.608,1.6160000000000003,688.6666666666666,558,3.16,2.4479999999999995
2016,삼성,5.9959999999999996,1.5959999999999999,596.6666666666667,362,2.97,3.0259999999999994
2016,한화,5.77,1.7159999999999997,567.3333333333333,387,3.33,2.4399999999999995
