season,team,final_rank,postseason
2016,두산,1,1
2016,NC,2,1
2016,넥센,3,1
2016,LG,4,1
2016,KIA,5,1
2016,SK,6,0
2016,한화,7,0
2016,롯데,8,0
2016,삼성,9,0
2016,KT,10,0
