순위,선수ID,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,76232,양의지,NC,0.354,118,459,390,61,138,26,0,20,224,68,0,6,48,4,15,43,13,0.574,0.438,1.012,43,0.364,0.167
2,69209,페르난데스,두산,0.344,144,645,572,87,197,34,0,15,276,88,0,6,61,4,6,54,16,0.483,0.409,0.892,63,0.313,0.500
3,62907,박민우,NC,0.344,125,526,468,89,161,23,8,1,203,45,2,6,41,1,9,40,10,0.434,0.403,0.837,45,0.333,0.000
4,67341,이정후,키움,0.336,140,630,574,91,193,31,10,6,262,68,3,4,45,0,4,40,15,0.456,0.386,0.842,67,0.307,0.400
5,68050,강백호,KT,0.336,116,505,438,72,147,29,1,13,217,65,0,4,61,4,2,87,11,0.495,0.416,0.911,42,0.284,1.000
6,61353,고종욱,SK,0.323,137,513,492,76,159,25,7,3,207,56,0,2,18,1,1,89,5,0.421,0.347,0.768,48,0.341,0.231
7,67025,로하스,KT,0.322,142,578,521,68,168,30,3,24,276,104,0,5,49,5,3,120,4,0.530,0.381,0.911,51,0.297,0.375
8,79215,박건우,두산,0.319,127,537,458,83,146,27,5,10,213,64,1,11,60,0,7,57,23,0.465,0.397,0.862,45,0.284,0.333
9,74339,유한준,KT,0.317,139,562,501,61,159,19,1,14,222,86,0,5,52,1,4,61,20,0.443,0.383,0.826,44,0.373,0.250
10,79192,채은성,LG,0.315,128,514,470,59,148,18,1,12,204,72,0,8,24,1,12,67,9,0.434,0.358,0.792,43,0.331,0.333
11,61186,이천웅,LG,0.308,138,613,546,88,168,24,3,2,204,48,4,1,57,1,5,82,13,0.374,0.378,0.752,52,0.333,0.333
12,64300,김하성,키움,0.307,139,625,540,112,166,38,2,19,265,104,1,7,70,4,7,80,12,0.491,0.389,0.880,48,0.364,1.000
13,71752,김태균,한화,0.305,127,500,433,47,132,21,0,6,171,62,0,8,54,5,5,94,15,0.395,0.382,0.777,30,0.301,0.250
14,68345,샌즈,키움,0.305,139,613,525,100,160,39,1,28,285,113,0,5,77,1,6,101,17,0.543,0.396,0.939,47,0.302,0.000
