순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,77637,양현종,KIA,2.29,29,16,0,2,0,0,14,164,201,0.82
2,65543,린드블럼,두산,2.50,30,20,0,0,0,0,9,156,227,0.69
3,77829,김광현,SK,2.51,30,17,0,1,0,0,22,205,157,1.31
4,69103,켈리,LG,2.55,29,14,0,0,0,0,14,206,189,1.09
5,68815,산체스,SK,2.62,28,17,0,0,0,0,13,182,144,1.26
6,68135,윌슨,LG,2.92,30,14,0,1,0,0,21,261,132,1.98
7,67313,브리검,키움,2.96,28,13,0,0,0,0,12,182,147,1.24
8,69940,루친스키,NC,3.05,30,9,0,2,0,0,22,219,168,1.30
9,69343,요키시,키움,3.13,30,13,0,1,0,0,15,245,140,1.75
10,79229,유희관,두산,3.25,27,11,0,2,0,0,19,183,223,0.82
11,65320,최원태,키움,3.38,27,11,0,0,0,0,16,193,157,1.23
12,69748,채드벨,한화,3.50,29,11,0,0,0,0,18,185,177,1.05
13,69744,서폴드,한화,3.51,31,12,0,0,0,0,17,221,196,1.13
14,69032,쿠에바스,KT,3.62,30,13,0,0,0,0,17,172,218,0.79
15,66291,이영하,두산,3.64,27,15,2,3,0,0,13,182,198,0.92
16,62869,문승원,SK,3.88,23,11,0,0,2,0,9,143,176,0.81
16,60841,박종훈,SK,3.88,28,8,0,0,0,0,14,165,143,1.15
18,65546,레일리,롯데,3.88,30,5,0,0,0,0,20,232,148,1.57
19,69045,알칸타라,KT,4.01,27,11,0,1,0,0,8,185,207,0.89
20,77211,이용찬,두산,4.07,26,7,0,0,0,0,17,171,154,1.11
21,76455,차우찬,LG,4.12,28,13,0,0,0,0,13,142,216,0.66
22,77446,백정현,삼성,4.24,27,8,0,1,0,0,11,181,192,0.94
23,69861,다익손,롯데,4.34,28,5,1,1,0,0,6,116,202,0.57
24,69656,윌랜드,KIA,4.75,28,8,0,0,0,0,15,164,163,1.01
25,74454,윤성환,삼성,4.77,27,8,0,1,0,0,15,133,211,0.63
26,68043,김민,KT,4.96,26,6,0,0,0,0,16,205,129,1.59
27,69640,터너,KIA,5.46,28,7,0,1,0,0,11,190,147,1.29
1,68200,김민규,두산,0.00,0,0,0,1,0,0,2,4,1,4.00
5,62242,윤명준,두산,2.63,0,0,6,18,18,1,9,85,66,1.29
6,67263,최원준,두산,2.65,3,0,1,5,5,0,5,48,67,0.72
7,62951,이형범,두산,2.66,0,0,6,30,33,0,9,85,54,1.57
8,76329,이현승,두산,3.00,0,0,0,0,3,0,0,5,8,0.63
9,73248,김승회,두산,3.07,0,0,3,10,17,0,2,55,71,0.77
11,63248,함덕주,두산,3.46,0,0,2,29,29,6,2,54,57,0.95
12,68240,후랭코프,두산,3.61,22,9,0,0,0,0,7,109,119,0.92
15,67266,박치국,두산,4.50,0,0,2,8,24,1,6,62,46,1.35
16,70425,배영수,두산,4.57,0,0,1,20,1,0,6,57,60,0.95
17,78247,홍상삼,두산,4.76,1,0,0,1,0,0,0,5,6,0.83
18,72447,권혁,두산,4.91,0,0,2,9,17,0,1,47,41,1.15
19,61214,이현호,두산,5.13,8,1,0,6,1,0,2,42,55,0.76
20,61295,강동연,두산,5.40,0,0,0,2,0,0,1,6,5,1.20
21,74513,장원준,두산,9.00,0,0,0,0,3,0,1,4,0,-
22,61396,박정준,두산,32.40,0,0,0,0,0,0,0,0,5,0.00
