순위,선수ID,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,76802,김성현,SK,유격수,144,132,1143 2/3,26,0,179,358,83,0.954,0,0,0,-
2,68743,정은원,한화,2루수,142,137,1192 2/3,13,0,299,421,115,0.982,0,0,0,-
3,62415,박해민,삼성,중견수,140,129,1147,2,0,385,7,3,0.995,0,0,0,-
4,76812,이재원,SK,포수,136,121,1041,6,0,889,58,4,0.994,3,84,19,18.4
5,62244,박세혁,두산,포수,135,128,1071 2/3,8,0,786,55,5,0.991,4,85,23,21.3
6,75847,최정,SK,3루수,134,133,1153,14,0,93,211,21,0.956,0,0,0,-
6,78513,전준우,롯데,좌익수,134,133,1148,4,0,233,7,2,0.984,0,0,0,-
6,79109,오지환,LG,유격수,134,131,1101,12,0,214,402,100,0.981,0,0,0,-
9,78288,최재훈,한화,포수,133,126,1022 2/3,6,3,788,76,17,0.993,8,84,31,27.0
10,79240,허경민,두산,3루수,132,124,1080,8,0,86,193,18,0.972,0,0,0,-
11,67872,로맥,SK,1루수,130,127,1113 1/3,3,0,1022,49,103,0.997,0,0,0,-
11,74206,김재호,두산,유격수,130,116,993 1/3,10,0,158,339,67,0.980,0,0,0,-
13,77532,손아섭,롯데,우익수,129,125,1066 2/3,4,0,251,6,2,0.985,0,0,0,-
14,61102,유강남,LG,포수,128,115,968 1/3,7,0,757,61,9,0.992,5,84,25,22.9
14,79150,정주현,LG,2루수,128,124,972,13,0,209,307,77,0.975,0,0,0,-
16,75334,오재일,두산,1루수,126,119,1044,4,0,1031,76,100,0.996,0,0,0,-
16,64560,이창진,KIA,중견수,126,110,963 1/3,4,0,278,6,1,0.986,0,0,0,-
16,73113,박경수,KT,2루수,126,121,983 2/3,9,0,222,349,81,0.984,0,0,0,-
19,78548,장성우,KT,포수,125,107,911 2/3,5,0,626,54,4,0.993,10,60,24,28.6
20,78224,김재환,두산,좌익수,124,124,1010,0,0,228,5,1,1.000,0,0,0,-
20,61186,이천웅,LG,중견수,124,121,1039 2/3,1,0,264,6,3,0.996,0,0,0,-
20,64006,심우준,KT,유격수,124,113,976 1/3,9,0,213,290,77,0.982,0,0,0,-
23,71837,김강민,SK,중견수,123,100,947 1/3,3,0,264,9,2,0.989,0,0,0,-
24,79215,박건우,두산,우익수,122,113,947 1/3,3,0,233,2,1,0.987,0,0,0,-
25,79231,정수빈,두산,중견수,121,114,1012 2/3,3,0,302,4,1,0.990,0,0,0,-
25,79402,김상수,삼성,2루수,121,117,993,10,0,235,328,75,0.983,0,0,0,-
27,76753,송광민,한화,3루수,120,115,974,16,0,79,218,33,0.949,0,0,0,-
27,78756,오선진,한화,유격수,120,113,954 2/3,12,0,160,303,69,0.975,0,0,0,-
29,62556,신본기,롯데,유격수,118,108,906 2/3,15,0,161,272,56,0.967,0,0,0,-
30,64346,임병욱,키움,중견수,117,101,904 2/3,4,0,248,9,2,0.985,0,0,0,-
30,76313,황재균,KT,3루수,117,112,964,10,0,103,215,22,0.970,0,0,0,-
32,69453,이학주,삼성,유격수,116,110,935 1/3,19,0,155,281,67,0.958,0,0,0,-
32,62907,박민우,NC,2루수,116,111,928 1/3,9,0,232,301,63,0.983,0,0,0,-
34,68345,샌즈,키움,우익수,114,110,933,4,0,204,3,1,0.981,0,0,0,-
35,60558,오태곤,KT,1루수,113,85,726 1/3,8,0,694,71,65,0.990,0,0,0,-
36,78603,김선빈,KIA,유격수,110,100,835 2/3,9,0,143,266,63,0.978,0,0,0,-
36,76290,김현수,LG,좌익수,110,94,832,0,0,184,4,1,1.000,0,0,0,-
38,74540,강민호,삼성,포수,109,104,842,8,1,660,48,7,0.989,3,63,23,26.7
38,61404,김헌곤,삼성,좌익수,109,104,909,0,0,213,8,2,1.000,0,0,0,-
38,79192,채은성,LG,우익수,109,105,886 1/3,2,0,187,5,2,0.990,0,0,0,-
41,75125,박병호,키움,1루수,108,108,906 2/3,6,0,923,79,88,0.994,0,0,0,-
42,64300,김하성,키움,유격수,105,100,846,15,0,150,284,62,0.967,0,0,0,-
42,77564,김민성,LG,3루수,105,104,841 2/3,6,0,61,177,12,0.975,0,0,0,-
44,62404,구자욱,삼성,우익수,104,103,870 1/3,2,0,218,8,1,0.991,0,0,0,-
45,63722,한승택,KIA,포수,103,83,702,5,0,553,43,4,0.992,3,61,18,22.8
45,67539,나균안,롯데,포수,103,66,556 2/3,5,1,474,42,7,0.990,1,40,24,37.5
47,62934,김성욱,NC,중견수,101,80,728 2/3,2,0,180,3,1,0.989,0,0,0,-
48,76249,민병헌,롯데,중견수,97,90,775,2,0,194,5,1,0.990,0,0,0,-
49,78217,김용의,LG,1루수,96,40,481,5,0,452,41,37,0.990,0,0,0,-
49,64004,김민혁,KT,좌익수,96,85,710 2/3,4,0,160,1,1,0.976,0,0,0,-
51,79608,안치홍,KIA,2루수,94,89,729 1/3,11,0,158,229,56,0.972,0,0,0,-
52,62895,한유섬,SK,우익수,93,89,772 2/3,4,0,166,11,2,0.978,0,0,0,-
53,64646,박찬호,KIA,3루수,92,82,692,10,0,76,137,9,0.955,0,0,0,-
54,67450,러프,삼성,1루수,91,91,780 1/3,5,0,669,60,67,0.993,0,0,0,-
54,76232,양의지,NC,포수,91,87,723 1/3,2,1,590,45,10,0.997,2,37,15,28.8
56,67025,로하스,KT,중견수,90,88,746 2/3,6,0,200,4,1,0.971,0,0,0,-
57,79365,박동원,키움,포수,89,64,608,1,2,487,40,4,0.998,3,47,18,27.7
58,77248,오재원,두산,2루수,88,44,480 2/3,7,0,122,160,45,0.976,0,0,0,-
58,68730,호잉,한화,우익수,88,65,606 2/3,2,0,141,7,4,0.987,0,0,0,-
58,75566,이원석,삼성,3루수,88,87,722,13,0,45,126,11,0.929,0,0,0,-
61,79456,이지영,키움,포수,83,74,605,3,2,468,39,8,0.994,3,40,12,23.1
62,62356,김규민,키움,좌익수,82,52,509,1,0,116,5,1,0.992,0,0,0,-
63,67341,이정후,키움,좌익수,76,64,537 2/3,1,0,124,2,2,0.992,0,0,0,-
63,70410,김주찬,KIA,1루수,76,65,538 2/3,6,0,481,39,48,0.989,0,0,0,-
65,72523,고효준,롯데,투수,75,0,62 1/3,3,0,1,5,0,0.667,0,0,0,-
66,64022,안중열,롯데,포수,73,42,381 2/3,5,1,286,31,2,0.984,7,26,8,23.5
67,61895,서진용,SK,투수,72,0,68,1,0,2,3,1,0.833,0,0,0,-
67,76650,진해수,LG,투수,72,0,42,0,0,2,4,1,1.000,0,0,0,-
