순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,64646,박찬호,KIA,133,45,39,6,86.7,8,3
2,64300,김하성,키움,139,37,33,4,89.2,3,1
3,61353,고종욱,SK,137,41,31,10,75.6,8,1
4,63704,노수광,SK,117,37,27,10,73.0,7,1
4,79109,오지환,LG,134,32,27,5,84.4,5,2
6,79231,정수빈,두산,123,34,26,8,76.5,10,2
7,62415,박해민,삼성,144,31,24,7,77.4,4,2
7,64006,심우준,KT,138,27,24,3,88.9,3,1
9,68730,호잉,한화,124,29,22,7,75.9,6,0
9,64004,김민혁,KT,127,32,22,10,68.8,2,3
11,79402,김상수,삼성,129,24,21,3,87.5,3,0
11,61186,이천웅,LG,138,31,21,10,67.7,3,0
13,67304,김혜성,키움,122,23,20,3,87.0,2,0
14,60558,오태곤,KT,123,21,19,2,90.5,2,0
15,62234,류지혁,두산,118,23,18,5,78.3,3,1
15,62907,박민우,NC,125,25,18,7,72.0,5,0
17,78168,서건창,키움,113,20,17,3,85.0,6,3
18,71837,김강민,SK,127,23,15,8,65.2,3,1
18,69453,이학주,삼성,118,20,15,5,75.0,7,0
18,79150,정주현,LG,129,21,15,6,71.4,4,1
21,68743,정은원,한화,142,21,14,7,66.7,6,2
21,76849,이명기,NC,139,18,14,4,77.8,5,1
23,76869,김재현,SK,83,19,13,6,68.4,2,2
23,66706,장진혁,한화,113,18,13,5,72.2,7,1
23,67341,이정후,키움,140,20,13,7,65.0,4,0
23,76249,민병헌,롯데,101,19,13,6,68.4,6,0
23,77532,손아섭,롯데,134,21,13,8,61.9,3,1
28,79215,박건우,두산,127,15,12,3,80.0,9,1
28,64984,김태진,NC,123,16,12,4,75.0,6,2
30,79240,허경민,두산,133,16,11,5,68.8,7,2
30,62404,구자욱,삼성,122,14,11,3,78.6,8,0
32,64346,임병욱,키움,117,12,10,2,83.3,3,1
32,61404,김헌곤,삼성,114,18,10,8,55.6,3,1
32,65207,신민재,LG,81,18,10,8,55.6,2,1
32,76313,황재균,KT,124,17,10,7,58.8,6,1
32,60566,이상호,NC,102,15,10,5,66.7,4,1
37,68050,강백호,KT,116,14,9,5,64.3,3,0
38,62244,박세혁,두산,137,10,8,2,80.0,6,0
38,76753,송광민,한화,122,10,8,2,80.0,5,0
38,73136,이성열,한화,129,12,8,4,66.7,3,0
38,75808,정근우,한화,88,13,8,5,61.5,5,0
