순위,선수ID,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,76232,양의지,NC,0.354,46,86,129,0.67,4,1.12,3.74,0.221,88.7,0.341
2,69209,페르난데스,두산,0.344,49,169,158,1.07,12,1.13,3.49,0.138,104.2,0.305
3,62907,박민우,NC,0.344,32,129,144,0.90,5,1.03,3.74,0.090,79.4,0.290
4,67341,이정후,키움,0.336,47,167,178,0.94,6,1.13,3.72,0.120,92.6,0.288
5,68050,강백호,KT,0.336,43,121,87,1.39,11,0.70,3.84,0.160,84.2,0.311
6,61353,고종욱,SK,0.323,35,147,99,1.48,8,0.20,3.61,0.098,68.6,0.261
7,67025,로하스,KT,0.322,57,103,135,0.76,4,0.41,3.78,0.207,99.1,0.304
8,79215,박건우,두산,0.319,42,127,139,0.91,8,1.05,3.83,0.146,82.1,0.295
9,74339,유한준,KT,0.317,34,147,139,1.06,13,0.85,3.96,0.126,80.1,0.283
10,79192,채은성,LG,0.315,31,130,133,0.98,9,0.36,3.64,0.119,71.8,0.270
11,61186,이천웅,LG,0.308,29,186,111,1.68,6,0.70,3.81,0.066,75.4,0.264
12,64300,김하성,키움,0.307,59,113,188,0.60,10,0.88,3.75,0.183,104.7,0.298
13,71752,김태균,한화,0.305,27,104,111,0.94,4,0.57,3.94,0.090,66.0,0.271
14,68345,샌즈,키움,0.305,68,112,157,0.71,14,0.76,3.81,0.238,105.0,0.314
15,76290,김현수,LG,0.304,48,165,158,1.04,9,1.04,3.67,0.133,84.2,0.276
16,78513,전준우,롯데,0.301,53,163,154,1.06,9,0.65,3.63,0.180,89.2,0.282
17,78168,서건창,키움,0.300,28,125,128,0.98,2,0.98,3.73,0.082,65.2,0.264
18,72443,최형우,KIA,0.300,49,115,134,0.86,10,1.10,4.06,0.184,90.7,0.307
19,61404,김헌곤,삼성,0.297,26,138,116,1.19,1,0.90,3.90,0.090,54.5,0.259
20,77532,손아섭,롯데,0.295,33,164,107,1.53,4,0.57,3.95,0.105,73.3,0.262
21,76849,이명기,NC,0.293,22,169,111,1.52,4,0.73,3.83,0.060,63.0,0.250
22,75334,오재일,두산,0.293,51,76,159,0.48,13,0.56,3.73,0.201,84.0,0.290
23,67450,러프,삼성,0.292,59,129,127,1.02,10,0.92,4.08,0.222,93.5,0.307
24,75847,최정,SK,0.292,56,82,190,0.43,14,0.75,3.85,0.227,107.1,0.309
