순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,55633,올러,KIA,0.81,5,4,0,0,0,1.000,33 1/3,18,0,9,2,31,4,3,0.81
2,55348,웰스,LG,1.16,5,2,1,0,0,0.667,31,18,1,7,0,24,4,4,0.81
3,53375,후라도,삼성,1.62,6,2,1,0,0,0.667,39,34,4,4,1,27,8,7,0.97
4,55268,최민석,두산,1.82,5,3,0,0,0,1.000,29 2/3,20,1,18,2,23,8,6,1.28
5,56036,보쉴리,KT,1.93,5,4,1,0,0,0.800,28,29,1,8,1,27,6,6,1.32
6,50859,오원석,KT,2.22,5,3,1,0,0,0.750,28 1/3,26,2,5,0,27,9,7,1.09
7,67539,나균안,롯데,2.28,5,0,2,0,0,0.000,27 2/3,23,2,9,2,20,9,7,1.16
8,56719,왕옌청,한화,2.45,6,2,2,0,0,0.500,33,32,2,12,2,28,15,9,1.33
9,51516,김진욱,롯데,2.76,5,2,1,0,0,0.667,29 1/3,22,2,11,0,30,9,9,1.13
10,65933,구창모,NC,2.88,6,3,0,0,0,1.000,34 1/3,26,5,10,1,23,11,11,1.05
11,69045,알칸타라,키움,3.35,6,2,3,0,0,0.400,37 2/3,47,4,6,0,37,15,14,1.41
12,54640,네일,KIA,3.44,6,1,2,0,0,0.333,34,31,2,6,4,25,13,13,1.09
13,68220,곽빈,두산,3.48,6,1,2,0,0,0.333,33 2/3,31,2,13,1,42,16,13,1.31
14,55239,잭로그,두산,3.75,6,2,3,0,0,0.400,36,38,2,8,0,34,17,15,1.28
15,64021,박세웅,롯데,3.81,5,0,4,0,0,0.000,26,28,2,12,4,25,16,11,1.54
16,50030,소형준,KT,3.82,6,3,0,0,0,1.000,33,40,2,8,3,31,17,14,1.45
17,56032,사우어,KT,3.89,6,1,1,0,0,0.500,34 2/3,31,3,14,4,28,15,15,1.30
18,55855,화이트,SSG,4.11,6,1,1,0,0,0.500,30 2/3,37,1,15,2,29,15,14,1.70
19,56531,로드리게스,롯데,4.19,6,3,1,0,0,0.750,34 1/3,31,6,16,1,30,16,16,1.37
20,55130,톨허스트,LG,4.50,5,3,1,0,0,0.750,26,23,3,13,2,19,13,13,1.38
20,56464,오러클린,삼성,4.50,6,0,2,0,0,0.000,28,25,0,12,5,27,14,14,1.32
22,56712,에르난데스,한화,5.72,6,3,2,0,0,0.600,28 1/3,33,2,13,0,16,19,18,1.62
4,69047,전용주,KT,2.45,14,2,1,0,1,0.667,11,6,0,10,0,7,3,3,1.45
5,52060,박영현,KT,2.57,12,1,0,7,0,1.000,14,10,0,4,0,9,4,4,1.00
6,65060,주권,KT,3.00,8,1,0,0,0,1.000,9,9,0,3,0,3,3,3,1.33
7,65048,김민수,KT,3.07,13,1,1,1,2,0.500,14 2/3,12,1,3,1,10,6,5,1.02
7,61666,한승혁,KT,3.07,16,1,0,0,5,1.000,14 2/3,12,1,8,0,18,7,5,1.36
10,69041,손동현,KT,3.86,12,1,0,0,0,1.000,11 2/3,12,2,8,1,10,5,5,1.71
12,56011,스기모토,KT,5.17,18,0,0,0,4,-,15 2/3,18,1,3,2,16,11,9,1.34
13,64001,고영표,KT,5.40,5,1,3,0,0,0.250,25,36,4,7,2,27,16,15,1.72
14,73117,우규민,KT,9.64,7,0,0,0,1,-,4 2/3,11,1,0,0,1,5,5,2.36
15,56066,박지훈,KT,81.00,1,0,0,0,0,-,2/3,2,1,2,2,2,6,6,6.00
1,64596,김유영,LG,0.00,3,0,0,0,0,-,3 2/3,1,0,0,0,6,0,0,0.27
1,61145,이우찬,LG,0.00,3,0,0,0,0,-,2,3,0,1,0,2,0,0,2.00
3,50106,유영찬,LG,0.75,13,0,1,11,0,0.000,12,4,0,6,0,12,1,1,0.83
5,51111,송승기,LG,1.42,5,1,0,0,0,1.000,25 1/3,22,2,6,0,19,4,4,1.11
6,55121,박시원,LG,2.70,4,0,1,0,0,0.000,3 1/3,3,0,1,1,0,1,1,1.20
7,63145,배재준,LG,2.84,6,1,0,0,0,1.000,6 1/3,6,0,6,0,7,2,2,1.89
8,69134,이정용,LG,3.00,8,0,0,0,0,-,15,14,1,4,2,9,6,5,1.20
9,63950,장현식,LG,3.21,14,3,1,1,6,0.750,14,12,2,5,1,12,5,5,1.21
10,55167,김영우,LG,3.72,12,0,0,0,1,-,9 2/3,7,0,5,0,11,4,4,1.24
11,68159,성동현,LG,3.86,3,0,0,0,0,-,2 1/3,2,0,2,1,2,2,1,1.71
12,75867,김진성,LG,4.26,13,3,0,0,3,1.000,12 2/3,14,3,4,0,7,6,6,1.42
14,51526,우강훈,LG,5.11,14,0,0,0,6,-,12 1/3,12,1,7,1,16,11,7,1.54
15,61101,임찬규,LG,5.40,5,1,1,0,0,0.500,25,40,1,8,1,11,16,15,1.92
16,51154,김진수,LG,5.79,4,1,1,0,0,0.500,4 2/3,5,0,3,0,7,3,3,1.71
17,63248,함덕주,LG,6.00,11,0,1,0,2,0.000,9,10,2,3,0,4,6,6,1.44
18,55146,치리노스,LG,6.75,4,1,2,0,0,0.333,16,27,0,6,2,15,12,12,2.06
19,65109,백승현,LG,9.00,3,0,0,0,0,-,3,3,1,1,0,6,3,3,1.33
1,69839,백승건,SSG,0.00,2,0,0,0,0,-,2,4,0,1,0,1,1,0,2.50
1,66858,정동윤,SSG,0.00,1,0,0,0,0,-,1,0,0,0,0,1,0,0,0.00
3,53892,이로운,SSG,0.77,12,3,0,0,2,1.000,11 2/3,7,1,6,0,9,1,1,1.11
4,51897,조병현,SSG,0.87,9,1,0,4,0,1.000,10 1/3,4,0,8,0,10,1,1,1.16
5,62869,문승원,SSG,1.15,12,1,0,0,1,1.000,15 2/3,7,0,7,3,8,5,2,0.89
6,68043,김민,SSG,1.35,13,3,0,1,5,1.000,13 1/3,10,0,8,1,15,4,2,1.35
7,68856,최민준,SSG,1.54,5,1,1,0,0,0.500,23 1/3,16,2,13,1,23,8,4,1.24
8,73211,노경은,SSG,1.86,10,1,1,0,3,0.500,9 2/3,8,1,4,1,5,3,2,1.24
9,68092,한두솔,SSG,2.89,7,0,0,0,0,-,9 1/3,12,0,1,2,6,4,3,1.39
10,51867,김건우,SSG,3.60,5,3,0,0,0,1.000,25,18,2,12,2,20,10,10,1.20
12,51895,장지훈,SSG,5.25,7,0,0,0,0,-,12,11,2,4,2,6,7,7,1.25
13,56841,베니지아노,SSG,6.38,5,0,2,0,0,0.000,24,34,3,9,1,16,20,17,1.79
14,52868,이기순,SSG,7.36,6,1,1,0,0,0.500,7 1/3,8,0,10,1,5,6,6,2.45
15,50812,박시후,SSG,8.10,9,0,1,0,0,0.000,10,12,3,5,1,10,11,9,1.70
16,56823,타케다,SSG,8.59,4,1,3,0,0,0.250,14 2/3,21,2,9,0,14,14,14,2.05
17,52809,전영준,SSG,9.00,12,0,0,1,0,-,11,9,3,6,2,15,11,11,1.36
18,65343,김택형,SSG,40.50,1,0,0,0,0,-,2/3,1,1,2,0,1,3,3,4.50
1,62360,김태훈,삼성,0.00,3,0,0,0,1,-,4,2,0,1,0,3,0,0,0.75
2,50464,이승민,삼성,1.26,13,1,0,0,3,1.000,14 1/3,6,0,8,0,10,2,2,0.98
4,62754,임기영,삼성,1.74,9,0,0,0,0,-,10 1/3,11,2,2,1,7,2,2,1.26
5,77446,백정현,삼성,2.53,11,1,0,0,3,1.000,10 2/3,7,2,3,0,5,3,3,0.94
6,56460,장찬희,삼성,2.70,8,2,1,0,0,0.667,16 2/3,15,2,7,0,13,6,5,1.32
7,65062,김재윤,삼성,2.89,11,1,1,4,0,0.500,9 1/3,8,1,6,1,8,3,3,1.50
8,55455,배찬승,삼성,3.48,14,1,0,0,2,1.000,10 1/3,12,3,10,0,5,5,4,2.13
9,69446,원태인,삼성,4.11,3,0,2,0,0,0.000,15 1/3,15,0,4,1,9,7,7,1.24
10,67421,최지광,삼성,4.26,8,1,0,1,1,1.000,6 1/3,7,0,3,2,6,5,3,1.58
12,56415,미야지,삼성,5.56,13,0,1,0,3,0.000,11 1/3,7,1,7,4,9,7,7,1.24
13,65320,최원태,삼성,6.16,4,0,1,0,0,0.000,19,26,2,12,1,17,14,13,2.00
14,60146,이승현,삼성,6.75,13,3,1,1,1,0.750,10 2/3,16,1,5,0,10,8,8,1.97
15,68415,양창섭,삼성,7.07,5,1,0,0,0,1.000,14,19,2,6,1,12,11,11,1.79
16,54404,육선엽,삼성,11.57,2,0,0,0,0,-,2 1/3,2,1,3,1,3,3,3,2.14
17,51454,이승현,삼성,14.81,3,0,2,0,0,0.000,10 1/3,19,2,12,1,6,17,17,3.00
1,61643,홍건희,KIA,0.00,3,0,0,0,1,-,3,4,0,0,0,2,1,0,1.33
2,54610,성영탁,KIA,0.60,12,0,0,3,3,-,15,11,0,1,0,16,1,1,0.80
4,60768,이태양,KIA,1.42,10,1,0,0,3,1.000,12 2/3,8,0,3,1,6,2,2,0.87
4,51994,한재승,KIA,1.42,6,0,0,0,1,-,6 1/3,5,1,1,0,4,1,1,0.95
6,63342,조상우,KIA,3.18,13,1,1,0,2,0.500,11 1/3,12,0,5,0,8,8,4,1.50
7,76225,김건국,KIA,3.38,3,0,0,0,0,-,2 2/3,1,0,3,0,0,1,1,1.50
9,77637,양현종,KIA,3.91,5,2,2,0,0,0.500,25 1/3,20,3,11,0,19,13,11,1.22
10,52639,최지민,KIA,4.26,8,0,0,0,0,-,6 1/3,7,2,3,1,6,3,3,1.58
11,69620,김기훈,KIA,5.40,2,0,0,0,0,-,1 2/3,0,0,4,0,1,1,1,2.40
12,50662,정해영,KIA,5.87,8,1,0,1,1,1.000,7 2/3,7,1,4,1,7,5,5,1.43
13,65769,김범수,KIA,6.55,15,0,1,1,5,0.000,11,10,1,9,1,12,9,8,1.73
14,51648,이의리,KIA,7.23,6,1,3,0,0,0.250,23 2/3,27,5,18,0,25,19,19,1.90
15,55610,김태형,KIA,7.98,4,0,1,0,0,0.000,14 2/3,24,4,9,1,9,13,13,2.25
16,52641,황동하,KIA,8.62,8,1,0,0,1,1.000,15 2/3,21,6,10,0,11,16,15,1.98
