순위,선수ID,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,67893,박성한,SSG,0.444,13,26,20,1.30,2,2.00,4.26,0.182,29.0,0.398
2,62234,류지혁,삼성,0.381,12,22,22,1.00,1,0.94,4.04,0.206,24.0,0.356
3,54730,페라자,한화,0.380,13,18,29,0.62,1,1.18,4.13,0.210,26.3,0.361
4,68119,문성주,LG,0.370,6,19,23,0.83,4,0.82,3.97,0.074,15.9,0.307
5,50054,천성호,LG,0.367,6,30,9,3.33,1,0.73,3.66,0.101,14.5,0.311
6,53123,오스틴,LG,0.355,12,22,35,0.63,3,1.08,3.61,0.234,23.9,0.339
7,55252,박준순,두산,0.354,10,23,17,1.35,5,0.13,3.27,0.182,17.5,0.309
8,53764,문현빈,한화,0.352,14,26,21,1.24,1,1.58,3.63,0.286,23.4,0.372
9,54529,레이예스,롯데,0.343,10,19,34,0.56,0,0.59,3.44,0.190,20.8,0.314
10,62907,박민우,NC,0.341,9,23,25,0.92,2,0.92,3.91,0.121,18.3,0.307
11,63260,이우성,NC,0.338,9,19,16,1.19,0,0.57,3.89,0.203,14.6,0.316
12,72443,최형우,삼성,0.308,9,25,28,0.89,1,2.00,3.97,0.187,19.8,0.325
12,64646,박찬호,두산,0.308,8,25,27,0.93,0,0.80,3.82,0.115,17.9,0.286
14,66606,최원준,KT,0.306,11,27,29,0.93,1,0.64,3.94,0.126,19.0,0.282
15,78603,김선빈,KIA,0.303,6,35,20,1.75,0,2.38,4.22,0.090,16.6,0.290
16,69102,문보경,LG,0.302,6,25,18,1.39,1,1.21,4.09,0.140,18.5,0.311
17,65653,김호령,KIA,0.300,12,32,21,1.52,0,0.33,3.66,0.164,17.6,0.280
18,76290,김현수,KT,0.298,12,36,29,1.24,2,0.80,3.86,0.158,16.4,0.278
19,79215,박건우,NC,0.292,11,15,26,0.58,2,0.59,3.46,0.258,17.6,0.310
20,68646,한준수,KIA,0.288,8,16,21,0.76,1,1.64,4.23,0.212,13.7,0.321
21,56632,데일,KIA,0.287,5,35,22,1.59,0,1.00,3.64,0.074,12.1,0.252
22,54400,디아즈,삼성,0.287,8,24,33,0.73,1,0.76,3.91,0.158,16.6,0.274
23,56251,카메론,두산,0.286,15,16,33,0.48,0,0.15,3.51,0.248,16.0,0.275
24,68050,강백호,한화,0.283,10,33,22,1.50,2,0.50,4.12,0.170,17.2,0.269
25,79608,안치홍,키움,0.283,9,27,25,1.08,1,0.84,3.91,0.131,14.8,0.276
26,75847,최정,SSG,0.277,14,14,33,0.42,3,0.65,3.90,0.287,21.7,0.315
27,62931,노진혁,롯데,0.275,12,21,24,0.88,1,0.50,3.82,0.220,15.3,0.281
28,50167,이주형,키움,0.268,11,22,21,1.05,3,0.29,3.66,0.195,13.1,0.266
29,62947,나성범,KIA,0.267,8,19,17,1.12,3,0.45,3.93,0.178,16.3,0.279
