순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,27,19,8,0,0.704,0,7승0무3패,3승,10-0-4,9-0-4
2,LG,26,16,10,0,0.615,2.5,5승0무5패,3패,9-0-5,7-0-5
2,SSG,26,16,10,0,0.615,2.5,7승0무3패,1승,8-0-5,8-0-5
4,삼성,26,13,12,1,0.520,5,2승0무8패,1패,6-1-6,7-0-6
5,KIA,27,13,13,1,0.500,5.5,3승1무6패,1승,7-1-3,6-0-10
6,NC,26,12,14,0,0.462,6.5,5승0무5패,1패,7-0-7,5-0-7
7,한화,26,11,15,0,0.423,7.5,5승0무5패,1패,4-0-12,7-0-3
7,두산,27,11,15,1,0.423,7.5,6승0무4패,1승,6-0-7,5-1-8
9,키움,27,11,16,0,0.407,8,7승0무3패,1승,7-0-5,4-0-11
10,롯데,26,8,17,1,0.320,10,2승1무7패,1패,3-0-9,5-1-8
