순위,선수ID,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,67893,박성한,SSG,0.444,26,121,99,21,44,10,1,2,62,21,0,1,20,0,1,10,1,0.626,0.537,1.163,14,0.565,0.000
2,62234,류지혁,삼성,0.381,26,112,97,19,37,7,2,3,57,16,0,0,15,1,0,16,2,0.588,0.464,1.052,11,0.375,0.000
3,54730,페라자,한화,0.380,26,122,100,27,38,9,0,4,59,18,0,2,20,1,0,17,2,0.590,0.475,1.065,10,0.389,0.000
4,68119,문성주,LG,0.370,25,96,81,6,30,6,0,0,36,12,2,2,9,2,2,11,0,0.444,0.436,0.880,8,0.409,0.500
5,50054,천성호,LG,0.367,25,90,79,15,29,5,0,1,37,10,2,0,8,0,1,11,3,0.468,0.432,0.900,10,0.294,0.500
6,53123,오스틴,LG,0.355,26,122,107,22,38,5,1,6,63,22,0,1,14,1,0,13,2,0.589,0.426,1.015,10,0.375,0.000
7,55252,박준순,두산,0.354,25,105,99,9,35,5,2,3,53,16,0,0,3,0,3,24,2,0.535,0.390,0.925,12,0.387,0.000
8,53764,문현빈,한화,0.352,24,112,91,20,32,7,2,5,58,22,0,0,19,0,2,12,4,0.637,0.473,1.110,7,0.375,0.000
9,54529,레이예스,롯데,0.343,26,117,105,10,36,5,0,5,56,14,0,1,10,2,1,17,2,0.533,0.402,0.935,11,0.389,0.000
10,62907,박민우,NC,0.341,25,106,91,19,31,8,0,1,42,18,0,1,12,0,2,13,2,0.462,0.425,0.887,10,0.444,0.000
11,63260,이우성,NC,0.338,23,82,74,9,25,6,0,3,40,4,0,0,8,0,0,14,1,0.541,0.402,0.943,8,0.133,0.000
12,72443,최형우,삼성,0.308,25,116,91,14,28,5,0,4,45,18,0,1,22,0,2,11,5,0.495,0.448,0.943,5,0.222,0.000
12,64646,박찬호,두산,0.308,27,123,104,23,32,6,0,2,44,9,3,0,16,1,0,20,4,0.423,0.400,0.823,8,0.269,1.000
14,66606,최원준,KT,0.306,26,128,111,21,34,9,1,1,48,13,1,1,14,0,1,22,0,0.432,0.386,0.818,10,0.292,0.000
15,78603,김선빈,KIA,0.303,26,110,89,13,27,5,0,1,35,15,0,1,19,1,1,8,1,0.393,0.427,0.820,8,0.346,1.000
16,69102,문보경,LG,0.302,25,112,86,11,26,3,0,3,38,15,0,2,23,2,1,19,3,0.442,0.446,0.888,6,0.385,0.000
17,65653,김호령,KIA,0.300,27,125,110,18,33,9,0,3,51,14,4,0,8,0,3,24,1,0.464,0.364,0.828,13,0.267,0.000
18,76290,김현수,KT,0.298,27,126,114,17,34,9,0,3,52,21,0,0,12,0,0,15,4,0.456,0.365,0.821,12,0.333,0.000
19,79215,박건우,NC,0.292,26,102,89,11,26,5,0,6,49,16,0,0,13,2,0,22,2,0.551,0.382,0.933,9,0.280,0.000
20,68646,한준수,KIA,0.288,26,88,66,11,19,5,0,3,33,10,3,1,18,2,0,11,5,0.500,0.435,0.935,6,0.357,0.000
21,56632,데일,KIA,0.287,26,110,94,16,27,4,0,1,34,6,4,1,11,1,0,11,4,0.362,0.358,0.720,5,0.200,1.000
22,54400,디아즈,삼성,0.287,26,116,101,16,29,4,0,4,45,18,0,2,13,0,0,17,3,0.446,0.362,0.808,6,0.219,0.000
23,56251,카메론,두산,0.286,27,111,105,13,30,9,1,5,56,13,0,1,4,0,1,27,5,0.533,0.315,0.848,9,0.125,1.000
24,68050,강백호,한화,0.283,26,118,106,13,30,6,0,4,48,30,0,1,11,0,0,22,0,0.453,0.347,0.800,10,0.455,0.000
25,79608,안치홍,키움,0.283,26,115,99,11,28,7,0,2,41,7,0,0,16,0,0,19,4,0.414,0.383,0.797,7,0.214,1.000
26,75847,최정,SSG,0.277,26,114,94,16,26,7,1,6,53,14,0,2,15,1,3,23,0,0.564,0.386,0.950,5,0.182,0.000
27,62931,노진혁,롯데,0.275,26,104,91,6,25,8,0,4,45,12,1,1,11,0,0,22,2,0.495,0.350,0.845,8,0.226,0.500
28,50167,이주형,키움,0.268,20,90,82,12,22,8,1,2,38,12,0,0,5,0,3,17,0,0.463,0.333,0.796,5,0.250,0.000
29,62947,나성범,KIA,0.267,25,107,90,13,24,4,0,4,40,16,0,1,14,0,2,31,0,0.444,0.374,0.818,5,0.389,0.000
30,79402,김상수,KT,0.266,25,99,79,8,21,3,0,0,24,6,2,1,16,0,1,10,3,0.304,0.392,0.696,4,0.304,0.000
31,50458,김지찬,삼성,0.263,26,116,95,20,25,3,2,0,32,6,0,1,18,1,2,8,2,0.337,0.388,0.725,6,0.353,0.000
32,51907,김주원,NC,0.262,26,119,103,13,27,4,0,3,40,5,1,0,10,0,5,18,0,0.388,0.356,0.744,7,0.120,0.000
33,79231,정수빈,두산,0.258,27,106,89,9,23,0,0,2,29,10,3,0,12,0,2,17,0,0.326,0.359,0.685,6,0.318,0.000
34,53312,김건희,키움,0.256,26,94,78,7,20,4,0,1,27,11,0,3,13,1,0,28,3,0.346,0.351,0.697,4,0.300,0.000
35,78548,장성우,KT,0.256,27,113,90,20,23,6,0,7,50,26,0,1,22,3,0,24,5,0.556,0.398,0.954,8,0.313,0.500
36,56626,카스트로,KIA,0.250,23,93,88,15,22,9,0,2,37,16,0,1,4,0,0,22,4,0.420,0.280,0.700,6,0.231,0.000
37,56006,이강민,KT,0.247,26,92,85,8,21,1,0,0,22,11,1,1,4,0,1,18,2,0.259,0.286,0.545,5,0.333,0.000
38,79109,오지환,LG,0.247,25,97,81,10,20,3,0,1,26,16,2,2,10,0,2,15,1,0.321,0.337,0.658,5,0.375,0.000
39,68912,김형준,NC,0.246,25,80,69,5,17,2,0,1,22,11,0,0,10,0,1,26,2,0.319,0.350,0.669,3,0.238,0.000
40,52605,김도영,KIA,0.245,27,122,102,21,25,5,0,10,60,27,0,1,17,2,2,19,4,0.588,0.361,0.949,4,0.357,0.000
41,56322,브룩스,키움,0.245,26,115,98,9,24,6,0,0,30,13,0,2,14,0,1,17,1,0.306,0.339,0.645,6,0.429,0.000
42,62415,박해민,LG,0.244,26,106,90,7,22,5,0,0,27,7,2,2,9,0,3,12,0,0.300,0.327,0.627,5,0.190,0.000
43,52568,한태양,롯데,0.243,24,83,74,9,18,3,0,0,21,1,1,0,7,0,1,20,0,0.284,0.317,0.601,3,0.105,0.000
44,53827,에레디아,SSG,0.243,26,114,107,11,26,3,0,5,44,19,0,1,5,0,1,25,2,0.411,0.281,0.692,7,0.306,0.000
45,68525,한동희,롯데,0.241,22,88,83,5,20,4,0,0,24,4,0,0,4,0,1,18,4,0.289,0.284,0.573,6,0.174,0.000
46,79365,박동원,LG,0.237,25,92,76,11,18,5,0,1,26,12,0,2,12,0,2,24,3,0.342,0.348,0.690,3,0.179,0.000
47,79192,채은성,한화,0.234,25,107,94,9,22,3,0,2,31,11,0,2,8,0,3,20,3,0.330,0.308,0.638,7,0.200,0.000
48,54944,데이비슨,NC,0.233,25,101,90,11,21,5,0,4,38,13,0,1,6,0,4,22,2,0.422,0.307,0.729,4,0.304,0.000
49,64153,양석환,두산,0.222,24,93,81,5,18,3,0,1,24,6,0,4,8,1,0,25,0,0.296,0.280,0.576,4,0.000,0.000
50,76232,양의지,두산,0.220,27,114,91,8,20,4,0,2,30,11,0,4,13,0,6,9,3,0.330,0.342,0.672,3,0.143,0.000
51,56034,힐리어드,KT,0.215,27,122,107,19,23,3,1,5,43,19,0,3,12,0,0,37,1,0.402,0.287,0.689,7,0.212,0.000
52,78513,전준우,롯데,0.214,26,107,98,7,21,2,0,2,29,7,0,1,8,0,0,14,2,0.296,0.271,0.567,5,0.148,0.000
53,76267,최주환,키움,0.213,24,88,80,5,17,4,0,1,24,9,0,1,7,0,0,15,5,0.300,0.273,0.573,4,0.208,0.333
54,50854,최지훈,SSG,0.208,26,107,96,18,20,5,1,4,39,15,1,1,7,0,2,16,2,0.406,0.274,0.680,5,0.231,0.000
55,74540,강민호,삼성,0.203,25,80,69,4,14,3,0,0,17,8,0,0,10,0,1,25,1,0.246,0.313,0.559,3,0.269,0.000
56,66108,홍창기,LG,0.181,22,97,72,12,13,3,1,0,18,4,0,0,21,0,4,21,1,0.250,0.392,0.642,3,0.176,0.000
57,69737,노시환,한화,0.179,19,89,78,10,14,2,0,1,19,7,1,1,7,0,2,27,2,0.244,0.261,0.505,4,0.107,0.000
58,65207,신민재,LG,0.160,26,93,81,6,13,0,0,0,13,5,2,0,10,0,0,17,2,0.160,0.253,0.413,2,0.292,0.000
59,78224,김재환,SSG,0.110,24,101,82,7,9,1,0,2,16,10,0,1,18,0,0,25,2,0.195,0.267,0.462,2,0.179,0.000
1,79240,허경민,KT,0.522,7,26,23,7,12,2,0,1,17,4,1,0,1,0,1,2,0,0.739,0.560,1.299,3,0.400,0.000
2,69064,강민성,KT,0.500,5,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,1.000,0,1.000,0.000
3,67644,이정훈,KT,0.438,14,22,16,2,7,0,0,0,7,2,0,0,5,0,1,1,0,0.438,0.591,1.029,1,0.400,0.429
4,52001,안현민,KT,0.365,14,67,52,14,19,4,1,3,34,11,0,0,12,0,3,16,1,0.654,0.507,1.161,6,0.400,0.000
5,51003,권동진,KT,0.357,16,16,14,8,5,0,1,0,7,3,0,0,2,0,0,4,0,0.500,0.438,0.938,1,0.333,0.000
6,51013,유준규,KT,0.333,9,8,6,5,2,1,0,0,3,3,0,0,2,0,0,1,0,0.500,0.500,1.000,0,0.667,0.667
8,64504,오윤석,KT,0.302,22,71,63,10,19,4,0,0,23,11,1,1,6,1,0,13,2,0.365,0.357,0.722,3,0.438,1.000
10,53036,류현인,KT,0.282,15,41,39,7,11,2,0,0,13,4,0,0,1,0,1,5,0,0.333,0.317,0.650,4,0.200,0.000
11,64166,배정대,KT,0.270,17,40,37,5,10,3,0,0,13,4,1,0,2,0,0,11,0,0.351,0.308,0.659,3,0.250,0.333
13,64115,장준원,KT,0.261,11,28,23,1,6,1,0,1,10,4,2,0,3,0,0,4,1,0.435,0.346,0.781,1,0.167,0.000
16,64004,김민혁,KT,0.242,8,36,33,2,8,0,0,1,11,6,1,0,2,0,0,3,1,0.333,0.286,0.619,2,0.333,0.000
18,63722,한승택,KT,0.178,19,54,45,6,8,1,0,0,9,5,1,0,6,0,2,16,1,0.200,0.302,0.502,1,0.250,0.000
19,50066,강현우,KT,0.143,5,8,7,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0.143,0.250,0.393,0,0.000,0.000
20,54097,김민석,KT,0.000,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.000,0.000
20,66706,장진혁,KT,0.000,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
1,68110,송찬의,LG,0.462,9,28,26,6,12,2,0,2,20,6,0,0,1,0,1,4,1,0.769,0.500,1.269,3,0.600,1.000
6,51100,이영빈,LG,0.300,11,11,10,2,3,0,0,0,3,1,0,0,1,0,0,4,0,0.300,0.364,0.664,0,0.000,0.000
10,69100,구본혁,LG,0.231,25,46,39,3,9,0,0,0,9,3,5,0,2,0,0,6,1,0.231,0.268,0.499,1,0.231,0.667
12,52103,최원영,LG,0.167,20,13,12,7,2,1,0,0,3,1,1,0,0,0,0,2,1,0.250,0.167,0.417,0,0.200,0.000
14,52154,이주헌,LG,0.118,13,17,17,1,2,0,0,0,2,0,0,0,0,0,0,6,0,0.118,0.118,0.236,0,0.143,0.000
15,68106,이재원,LG,0.063,12,19,16,0,1,0,0,0,1,1,0,0,2,0,1,11,0,0.063,0.211,0.274,0,0.000,0.000
1,55897,홍대인,SSG,0.750,11,6,4,3,3,1,0,0,4,2,0,0,2,0,0,0,0,1.000,0.833,1.833,0,0.000,0.000
2,68868,최준우,SSG,0.667,5,4,3,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0.667,0.750,1.417,0,0.000,0.500
3,52804,석정우,SSG,0.500,3,3,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0.500,0.667,1.167,0,0.500,0.000
3,69804,채현우,SSG,0.500,16,5,4,4,2,0,0,0,2,1,0,1,0,0,0,1,0,0.500,0.400,0.900,0,0.500,1.000
6,51868,고명준,SSG,0.365,17,68,63,9,23,5,0,4,40,12,0,0,5,0,0,14,0,0.635,0.412,1.047,7,0.294,0.000
7,66864,안상현,SSG,0.314,17,44,35,10,11,3,0,1,17,4,2,0,7,0,0,7,3,0.486,0.429,0.915,2,0.300,0.600
8,62864,김민식,SSG,0.286,6,7,7,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0.286,0.286,0.572,0,0.000,0.667
10,62934,김성욱,SSG,0.263,26,48,38,8,10,1,0,1,14,6,0,1,8,0,1,13,0,0.368,0.396,0.764,2,0.250,0.000
