순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,62907,박민우,NC,25,15,12,3,80.0,1,0
2,62234,류지혁,삼성,26,10,9,1,90.0,0,1
2,64646,박찬호,두산,27,10,9,1,90.0,0,0
4,69992,최정원,NC,23,9,7,2,77.8,0,0
5,62415,박해민,LG,26,7,6,1,85.7,3,0
5,51907,김주원,NC,26,6,6,0,100,2,1
5,66606,최원준,KT,26,9,6,3,66.7,1,0
8,64006,심우준,한화,21,6,5,1,83.3,0,0
8,54730,페라자,한화,26,6,5,1,83.3,1,0
8,50458,김지찬,삼성,26,5,5,0,100,0,0
8,50500,황성빈,롯데,16,6,5,1,83.3,0,0
8,79231,정수빈,두산,27,6,5,1,83.3,0,0
13,65207,신민재,LG,26,5,4,1,80.0,0,1
13,52103,최원영,LG,20,5,4,1,80.0,0,0
13,56904,허윤,NC,12,4,4,0,100,0,0
13,68507,장두성,롯데,23,4,4,0,100,1,0
13,52568,한태양,롯데,24,4,4,0,100,1,0
13,50167,이주형,키움,20,4,4,0,100,0,0
19,50054,천성호,LG,25,3,3,0,100,1,0
19,67893,박성한,SSG,26,4,3,1,75.0,0,0
19,60558,오태곤,SSG,22,4,3,1,75.0,0,0
19,54812,정준재,SSG,23,4,3,1,75.0,0,0
19,75847,최정,SSG,26,3,3,0,100,0,0
19,50854,최지훈,SSG,26,3,3,0,100,1,0
19,67449,김성윤,삼성,9,4,3,1,75.0,0,0
19,79215,박건우,NC,26,4,3,1,75.0,0,0
19,65653,김호령,KIA,27,5,3,2,60.0,0,1
19,55636,박재현,KIA,24,3,3,0,100,0,0
19,56251,카메론,두산,27,3,3,0,100,0,0
30,66108,홍창기,LG,22,2,2,0,100,1,0
30,66864,안상현,SSG,17,3,2,1,66.7,1,0
30,51013,유준규,KT,9,2,2,0,100,0,0
30,56034,힐리어드,KT,27,2,2,0,100,1,0
34,68119,문성주,LG,25,2,1,1,50.0,1,0
34,79109,오지환,LG,25,2,1,1,50.0,2,0
34,53764,문현빈,한화,24,2,1,1,50.0,1,1
34,68700,이원석,한화,17,4,1,3,25.0,1,1
34,66657,이진영,한화,7,1,1,0,100,0,0
34,79192,채은성,한화,25,1,1,0,100,0,0
34,54795,황영묵,한화,12,2,1,1,50.0,0,0
34,51868,고명준,SSG,17,1,1,0,100,0,0
34,62934,김성욱,SSG,26,1,1,0,100,0,0
34,79456,이지영,SSG,19,1,1,0,100,0,0
34,69804,채현우,SSG,16,1,1,0,100,0,0
34,62895,한유섬,SSG,24,1,1,0,100,2,0
34,56949,고준휘,NC,8,2,1,1,50.0,0,0
34,51344,김휘집,NC,16,3,1,2,33.3,2,0
34,54944,데이비슨,NC,25,1,1,0,100,0,0
34,69995,서호철,NC,23,1,1,0,100,1,0
34,63260,이우성,NC,23,1,1,0,100,2,0
34,64166,배정대,KT,17,2,1,1,50.0,0,0
34,52001,안현민,KT,14,1,1,0,100,1,0
34,78548,장성우,KT,27,1,1,0,100,1,0
34,79240,허경민,KT,7,1,1,0,100,0,0
