순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,53913,페디,NC,2.00,30,20,0,0,0,0,11,200,118,1.69
2,68341,안우진,키움,2.39,24,9,0,0,0,0,8,127,152,0.84
3,50404,뷰캐넌,삼성,2.54,30,12,0,1,0,0,12,252,162,1.56
4,53375,후라도,키움,2.65,30,11,0,0,0,0,9,216,182,1.19
5,69045,알칸타라,두산,2.67,31,13,0,0,0,0,8,194,200,0.97
6,64001,고영표,KT,2.78,27,12,0,1,0,0,16,227,154,1.47
7,69446,원태인,삼성,3.24,26,7,0,0,0,0,10,147,183,0.80
8,52528,반즈,롯데,3.28,30,11,0,0,0,0,13,176,160,1.10
9,61101,임찬규,LG,3.42,26,14,0,1,0,0,9,165,156,1.06
10,64021,박세웅,롯데,3.45,27,9,0,0,0,0,9,177,137,1.29
11,77829,김광현,SSG,3.53,30,9,0,0,0,0,19,179,174,1.03
12,52043,벤자민,KT,3.54,29,15,0,0,0,0,4,158,163,0.97
13,77637,양현종,KIA,3.58,29,9,0,0,0,0,11,172,182,0.95
14,52720,페냐,한화,3.60,32,11,0,0,0,0,11,189,179,1.06
15,69103,켈리,LG,3.83,30,10,0,0,0,0,17,172,211,0.82
16,65320,최원태,LG,4.30,26,9,0,0,0,0,6,142,160,0.89
17,50859,오원석,SSG,5.23,27,7,1,1,0,0,17,159,160,0.99
1,51111,송승기,LG,0.00,0,0,0,1,0,0,0,1,2,0.50
2,65109,백승현,LG,1.58,0,0,2,5,15,2,4,47,37,1.27
3,63248,함덕주,LG,1.62,0,0,4,9,22,1,1,42,61,0.69
4,75867,김진성,LG,2.18,0,0,5,14,27,1,6,36,92,0.39
5,65117,이상규,LG,2.35,0,0,0,4,0,0,2,10,6,1.67
6,52145,플럿코,LG,2.41,21,11,0,0,0,0,8,87,168,0.52
7,73801,송은범,LG,2.45,0,0,0,1,0,0,2,4,2,2.00
7,63961,윤호솔,LG,2.45,0,0,0,1,0,0,0,2,5,0.40
9,79140,최동환,LG,3.19,0,0,0,15,5,1,4,40,63,0.63
10,69168,이상영,LG,3.27,2,0,0,1,0,0,2,10,15,0.67
12,50106,유영찬,LG,3.44,0,0,6,10,20,0,4,67,77,0.87
13,61145,이우찬,LG,3.52,0,0,1,6,3,0,9,42,29,1.45
14,67119,고우석,LG,3.68,0,0,3,35,17,5,5,34,31,1.10
14,76650,진해수,LG,3.68,0,0,0,3,4,0,1,17,15,1.13
17,69108,이지강,LG,3.97,12,2,0,5,1,0,7,72,90,0.80
18,69134,이정용,LG,4.15,13,4,3,9,10,0,5,93,113,0.82
19,50157,김윤식,LG,4.22,16,6,0,0,0,0,10,74,87,0.85
21,69159,정우영,LG,4.70,0,0,5,3,16,0,9,80,28,2.86
22,50126,이민호,LG,5.03,5,0,0,0,0,0,2,24,25,0.96
23,53139,박명근,LG,5.08,1,0,4,12,14,0,5,50,62,0.81
24,67143,손주영,LG,5.19,2,1,0,0,0,0,0,14,9,1.56
25,51143,강효종,LG,6.23,7,1,0,0,0,0,3,27,20,1.35
26,67116,오석주,LG,6.30,0,0,0,4,0,0,0,6,12,0.50
27,68159,성동현,LG,9.00,0,0,0,1,0,0,0,1,1,1.00
28,66145,김대현,LG,10.80,0,0,0,2,1,0,0,3,5,0.60
29,62146,최성훈,LG,15.00,0,0,0,1,1,1,0,3,4,0.75
30,63145,배재준,LG,18.00,0,0,0,0,0,0,0,1,2,0.50
31,68130,김영준,LG,27.00,0,0,1,0,0,0,0,0,1,0.00
1,53006,강건,KT,1.35,0,0,0,3,1,0,0,7,5,1.40
2,69032,쿠에바스,KT,2.60,18,12,0,0,0,0,4,98,136,0.72
3,65062,김재윤,KT,2.60,0,0,5,47,36,2,3,46,80,0.58
4,52060,박영현,KT,2.75,0,0,3,11,41,1,3,43,91,0.47
6,69041,손동현,KT,3.42,0,0,8,11,21,0,7,66,96,0.69
8,65056,엄상백,KT,3.63,19,7,0,0,0,0,7,100,130,0.77
9,53029,김정운,KT,3.86,0,0,0,4,0,0,1,9,9,1.00
9,66047,박세진,KT,3.86,0,0,0,3,0,0,1,16,11,1.45
11,69054,이상동,KT,3.98,0,0,4,9,0,0,1,28,45,0.62
12,78517,하준호,KT,4.15,0,0,0,5,0,0,4,14,12,1.17
