순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,79231,정수빈,두산,137,47,39,8,83.0,5,3
2,65207,신민재,LG,122,54,37,17,68.5,6,1
3,64646,박찬호,KIA,130,38,30,8,78.9,5,1
4,62415,박해민,LG,144,38,26,12,68.4,11,2
4,62907,박민우,NC,124,33,26,7,78.8,4,1
4,62234,류지혁,삼성,132,28,26,2,92.9,7,2
4,66209,조수행,두산,126,32,26,6,81.3,4,0
8,67304,김혜성,키움,137,28,25,3,89.3,6,2
8,52605,김도영,KIA,84,29,25,4,86.2,2,2
10,68119,문성주,LG,136,38,24,14,63.2,6,2
11,66108,홍창기,LG,141,46,23,23,50.0,10,3
12,50854,최지훈,SSG,117,23,21,2,91.3,4,3
13,60558,오태곤,SSG,123,21,20,1,95.2,2,0
13,67449,김성윤,삼성,101,24,20,4,83.3,1,0
15,52009,알포드,KT,133,21,17,4,81.0,12,1
16,79109,오지환,LG,126,23,16,7,69.6,7,2
16,53554,김민석,롯데,129,19,16,3,84.2,3,2
16,50202,안권수,롯데,95,23,16,7,69.6,2,2
19,52630,소크라테스,KIA,142,21,15,6,71.4,3,1
19,51907,김주원,NC,127,18,15,3,83.3,6,1
19,53955,마틴,NC,118,18,15,3,83.3,9,1
19,62802,박승욱,롯데,123,19,15,4,78.9,1,0
23,77532,손아섭,NC,140,17,14,3,82.4,4,1
24,64166,배정대,KT,97,16,13,3,81.3,3,0
24,66606,최원준,KIA,67,18,13,5,72.2,1,1
24,50458,김지찬,삼성,99,14,13,1,92.9,4,1
24,63123,강승호,두산,127,19,13,6,68.4,4,1
24,68700,이원석,한화,81,16,13,3,81.3,3,0
29,53827,에레디아,SSG,122,20,12,8,60.0,5,1
29,62404,구자욱,삼성,119,16,12,4,75.0,4,2
29,67207,이유찬,두산,104,17,12,5,70.6,3,1
32,69813,하재훈,SSG,77,11,11,0,100,0,1
32,64004,김민혁,KT,113,15,11,4,73.3,5,0
32,65703,이도윤,한화,106,14,11,3,78.6,0,0
35,53327,도슨,키움,57,11,9,2,81.8,2,0
35,69102,문보경,LG,131,17,9,8,52.9,8,2
35,64560,이창진,KIA,104,11,9,2,81.8,1,0
35,78513,전준우,롯데,138,11,9,2,81.8,7,0
35,50500,황성빈,롯데,74,14,9,5,64.3,0,1
35,79240,허경민,두산,130,12,9,3,75.0,3,1
41,65905,최승민,LG,38,11,8,3,72.7,1,1
41,63260,이우성,KIA,126,9,8,1,88.9,7,0
41,69517,고승민,롯데,94,11,8,3,72.7,2,0
41,76232,양의지,두산,129,8,8,0,100,7,1
45,75847,최정,SSG,128,10,7,3,70.0,6,0
45,53123,오스틴,LG,139,10,7,3,70.0,5,2
45,67006,안치영,KT,76,8,7,1,87.5,0,0
45,79215,박건우,NC,130,12,7,5,58.3,5,0
45,62931,노진혁,롯데,113,9,7,2,77.8,2,0
50,51817,추신수,SSG,112,10,6,4,60.0,4,0
50,67341,이정후,키움,86,9,6,3,66.7,1,1
50,66614,김규성,KIA,99,8,6,2,75.0,0,1
50,62934,김성욱,NC,93,7,6,1,85.7,0,1
50,74540,강민호,삼성,125,7,6,1,85.7,5,0
50,51463,피렐라,삼성,139,10,6,4,60.0,7,1
50,68743,정은원,한화,122,9,6,3,66.7,1,1
57,79402,김상수,KT,129,11,5,6,45.5,4,2
57,51417,김현준,삼성,109,10,5,5,50.0,4,1
57,52415,이재현,삼성,143,9,5,4,55.6,8,0
57,66704,김태연,한화,91,6,5,1,83.3,3,0
57,53764,문현빈,한화,137,6,5,1,83.3,6,3
57,66657,이진영,한화,121,5,5,0,100,4,1
57,66706,장진혁,한화,68,9,5,4,55.6,0,0
64,76802,김성현,SSG,112,5,4,1,80.0,2,0
64,67893,박성한,SSG,128,5,4,1,80.0,4,3
64,64346,임병욱,키움,80,4,4,0,100,4,0
64,68106,이재원,LG,57,6,4,2,66.7,0,0
64,68504,이호연,KT,85,6,4,2,66.7,3,0
64,64868,조용호,KT,63,4,4,0,100,3,0
64,65464,최정용,KIA,56,4,4,0,100,1,0
64,50906,박영빈,NC,41,6,4,2,66.7,2,0
64,69995,서호철,NC,114,9,4,5,44.4,3,1
64,69992,최정원,NC,39,5,4,1,80.0,1,0
64,66409,이성규,삼성,109,7,4,3,57.1,1,0
64,69453,이학주,롯데,104,5,4,1,80.0,1,0
64,74206,김재호,두산,91,4,4,0,100,2,0
64,64153,양석환,두산,140,4,4,0,100,9,0
78,66864,안상현,SSG,58,4,3,1,75.0,0,0
78,50167,이주형,키움,69,4,3,1,75.0,0,1
78,78168,서건창,LG,44,6,3,3,50.0,3,0
78,68050,강백호,KT,71,3,3,0,100,4,0
78,64007,문상철,KT,112,4,3,1,75.0,3,0
78,64012,송민섭,KT,69,4,3,1,75.0,1,0
78,64504,오윤석,KT,82,4,3,1,75.0,0,1
78,64115,장준원,KT,69,3,3,0,100,0,0
78,76313,황재균,KT,109,6,3,3,50.0,2,1
78,78603,김선빈,KIA,119,4,3,1,75.0,4,0
78,68904,오영수,NC,70,6,3,3,50.0,3,1
78,51996,오태양,NC,21,6,3,3,50.0,1,0
78,51403,김동진,삼성,44,3,3,0,100,2,1
78,79608,안치홍,롯데,121,6,3,3,50.0,3,1
78,52591,윤동희,롯데,107,9,3,6,33.3,2,3
78,78224,김재환,두산,132,4,3,1,75.0,4,0
78,50293,양찬열,두산,44,5,3,2,60.0,0,0
95,71837,김강민,SSG,70,3,2,1,66.7,2,0
95,69802,최경모,SSG,28,2,2,0,100,0,0
95,68805,최상민,SSG,51,4,2,2,50.0,1,0
95,62895,한유섬,SSG,109,3,2,1,66.7,1,1
95,74163,이용규,키움,50,3,2,1,66.7,2,0
95,77564,김민성,LG,112,3,2,1,66.7,2,0
95,76290,김현수,LG,133,3,2,1,66.7,5,0
95,50150,손호영,LG,27,3,2,1,66.7,0,0
95,75125,박병호,KT,132,2,2,0,100,4,0
95,60566,이상호,KT,63,2,2,0,100,1,0
95,67005,홍현빈,KT,44,2,2,0,100,0,0
95,61353,고종욱,KIA,114,4,2,2,50.0,0,0
95,78122,김태군,KIA,114,3,2,1,66.7,5,0
95,63963,권희동,NC,96,2,2,0,100,5,0
95,66965,도태훈,NC,117,3,2,1,66.7,2,0
95,67905,천재환,NC,78,5,2,3,40.0,1,0
95,64101,한석현,NC,27,3,2,1,66.7,1,1
95,64407,김호재,삼성,75,2,2,0,100,0,1
95,68507,장두성,롯데,25,2,2,0,100,1,1
95,60523,정훈,롯데,80,2,2,0,100,2,0
95,63257,김인태,두산,47,3,2,1,66.7,2,0
95,64468,박계범,두산,78,4,2,2,50.0,1,2
95,66928,박준영,두산,51,3,2,1,66.7,0,0
95,51203,안재석,두산,27,2,2,0,100,1,2
95,52769,권광민,한화,66,2,2,0,100,0,0
95,63704,노수광,한화,30,3,2,1,66.7,1,1
95,69737,노시환,한화,131,3,2,1,66.7,4,0
95,78756,오선진,한화,90,2,2,0,100,2,0
123,50350,러셀,키움,59,1,1,0,100,1,0
123,50357,박주홍,키움,27,1,1,0,100,1,0
