season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2018,KIA,5.42,1.532,680.6666666666667,523,3.7,1.7199999999999998
2018,KT,5.496,1.5260000000000002,725.3333333333334,573,4.25,1.2460000000000004
2018,LG,5.1979999999999995,1.47,773.0,655,3.07,2.1279999999999997
2018,NC,5.112,1.47,646.3333333333334,541,4.26,0.8520000000000003
2018,SK,4.148,1.3099999999999998,749.6666666666667,670,2.98,1.1679999999999997
2018,넥센,4.6259999999999994,1.3719999999999999,686.6666666666667,499,3.8,0.8259999999999996
2018,두산,4.446,1.362,725.6666666666666,564,2.88,1.5659999999999998
2018,롯데,5.366,1.494,672.3333333333334,581,3.67,1.6959999999999997
2018,삼성,5.392,1.528,669.3333333333334,525,3.6,1.7920000000000003
2018,한화,5.576,1.5619999999999998,558.0,499,2.1,3.4759999999999995
