season,team,final_rank,postseason
2018,SK,1,1
2018,두산,2,1
2018,한화,3,1
2018,넥센,4,1
2018,KIA,5,1
2018,삼성,6,0
2018,롯데,7,0
2018,LG,8,0
2018,KT,9,0
2018,NC,10,0
