season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2021,KIA,3.872,1.342,528.3333333333334,414,2.2,1.6719999999999997
2021,KT,3.654,1.3359999999999999,749.3333333333334,653,2.42,1.234
2021,LG,3.2939999999999996,1.192,567.6666666666666,509,2.18,1.1139999999999994
2021,NC,4.482,1.4080000000000001,663.0,599,3.17,1.3120000000000003
2021,SSG,5.36,1.5000000000000002,526.6666666666666,446,2.39,2.97
2021,두산,3.8,1.424,633.3333333333333,599,2.33,1.4699999999999998
2021,롯데,4.273999999999999,1.308,603.6666666666666,542,3.59,0.6839999999999993
2021,삼성,3.0759999999999996,1.286,677.6666666666666,539,2.03,1.0459999999999998
2021,키움,3.7339999999999995,1.332,632.3333333333333,454,2.93,0.8039999999999994
2021,한화,4.064,1.3359999999999999,617.6666666666666,559,2.13,1.9340000000000002
