season,team,final_rank,postseason
2021,KT,1,1
2021,두산,2,1
2021,삼성,3,1
2021,LG,4,1
2021,키움,5,1
2021,SSG,6,0
2021,NC,7,0
2021,롯데,8,0
2021,KIA,9,0
2021,한화,10,0
