season,team,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg
2021,KIA,0.2636,31,284,0.7150000000000001,0.734,1.0265734265734265,0.35279999999999995,0.36219999999999997
2021,KT,0.2802,44,322,0.7555999999999999,0.7746666666666666,1.0252338097758955,0.3665999999999999,0.38900000000000007
2021,LG,0.2792,51,339,0.7739999999999999,0.7893333333333333,1.0198105081826012,0.3752,0.39879999999999993
2021,NC,0.28300000000000003,110,392,0.8384,0.9036666666666666,1.0778466921119592,0.36219999999999997,0.47619999999999996
2021,SSG,0.277,96,353,0.8415999999999999,0.8453333333333332,1.0044359949302915,0.3822,0.45940000000000003
2021,두산,0.29300000000000004,81,401,0.8176,0.848,1.0371819960861057,0.36960000000000004,0.44800000000000006
2021,롯데,0.301,46,356,0.8012,0.8263333333333334,1.0313696122482943,0.37960000000000005,0.42160000000000003
2021,삼성,0.28059999999999996,84,378,0.7986,0.8313333333333333,1.040988396360297,0.3578,0.44079999999999997
2021,키움,0.2872,53,352,0.8038000000000001,0.8213333333333334,1.0218130546570456,0.3734,0.4304
2021,한화,0.2672,41,263,0.7549999999999999,0.7736666666666666,1.0247240618101545,0.37520000000000003,0.3798
