season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate
2021,롯데,0.278,727,1393,107,697,2000,5726,5009,0.356,0.399,0.755,579,969,5.37,1.57,808,758,133,659,1054,1271.0,85,0.984,123,8,101,44,30.3,91,60,31,65.9,54,8,-81,0.447377798920427,1.5993930197268589,0.121,0.1011177086971708
2021,두산,0.268,738,1314,110,698,1913,5645,4900,0.35,0.39,0.74,560,943,4.26,1.48,656,601,104,587,1045,1269.3333333333333,89,0.983,120,10,83,48,36.6,118,81,37,68.6,46,10,82,0.5586206896551724,1.7802385008517887,0.122,0.09920283436669619
2021,삼성,0.267,712,1292,133,669,1931,5552,4836,0.344,0.399,0.743,545,902,4.3,1.45,658,601,131,530,1038,1259.0,88,0.983,130,5,61,26,29.9,160,116,44,72.5,46,7,54,0.539354915587483,1.9584905660377359,0.132,0.0981628242074928
2021,KT,0.265,719,1276,106,673,1835,5627,4810,0.356,0.381,0.737,645,1047,3.67,1.32,584,515,86,489,1062,1264.0,112,0.979,133,7,93,31,25.0,158,112,46,70.9,48,5,135,0.6025067102400069,2.1717791411042944,0.11599999999999999,0.11462591078727563
2021,SSG,0.261,755,1278,185,712,2063,5736,4899,0.353,0.421,0.774,637,1056,4.82,1.51,741,684,149,629,1012,1276.6666666666667,102,0.981,123,12,105,46,30.5,143,100,43,69.9,42,3,14,0.509357469265646,1.6089030206677266,0.15999999999999998,0.11105299860529987
2021,NC,0.261,702,1254,170,670,2001,5532,4808,0.343,0.416,0.759,511,1093,4.54,1.48,697,634,125,592,1055,1256.6666666666667,111,0.979,105,5,84,40,32.3,147,101,46,68.7,39,9,5,0.5035739357641887,1.7820945945945945,0.15499999999999997,0.09237165582067969
2021,키움,0.259,722,1262,91,671,1835,5653,4874,0.347,0.376,0.723,595,1053,4.31,1.46,700,605,101,566,900,1263.3333333333333,129,0.976,152,5,85,35,29.2,123,97,26,78.9,39,3,22,0.5154674651235459,1.5901060070671378,0.11699999999999999,0.10525384751459402
2021,LG,0.25,654,1188,110,621,1750,5533,4750,0.342,0.368,0.71,592,926,3.57,1.31,561,505,80,545,1068,1272.3333333333333,91,0.983,147,12,98,40,29.0,126,92,34,73.0,43,15,93,0.5760973658371014,1.9596330275229359,0.118,0.10699439725284655
2021,KIA,0.248,568,1198,66,546,1621,5577,4831,0.337,0.336,0.673,595,921,4.89,1.5,752,690,134,622,951,1269.0,110,0.979,139,10,92,43,31.9,104,73,31,70.2,46,8,-184,0.3632629530878432,1.5289389067524115,0.08800000000000002,0.10668818361126053
2021,한화,0.237,599,1111,80,554,1598,5495,4685,0.334,0.341,0.675,633,1286,4.65,1.49,739,650,115,673,1011,1258.6666666666667,120,0.977,121,7,111,41,27.0,165,109,56,66.1,59,14,-140,0.39649936679625425,1.5022288261515602,0.10400000000000004,0.11519563239308463
