season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2019,KIA,5.044,1.51,664.0,522,2.29,2.7539999999999996
2019,KT,4.086,1.386,724.9999999999999,476,2.99,1.096
2019,LG,3.882,1.3559999999999999,713.3333333333334,517,1.52,2.362
2019,NC,3.4160000000000004,1.2899999999999998,637.0,478,2.75,0.6660000000000004
2019,SK,3.342,1.236,737.6666666666667,623,2.38,0.9620000000000002
2019,두산,3.414,1.238,790.0000000000001,556,2.5,0.9140000000000001
2019,롯데,4.853999999999999,1.544,655.0,519,3.41,1.443999999999999
2019,삼성,4.7379999999999995,1.49,633.3333333333334,404,3.62,1.1179999999999994
2019,키움,3.8299999999999996,1.3319999999999999,708.0,538,2.87,0.9599999999999995
2019,한화,4.973999999999999,1.4780000000000002,660.0,503,3.5,1.4739999999999993
