date,rank,team,games,wins,losses,draws,win_rate,games_behind,recent_10,streak,home_record,away_record,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,streak_type,streak_count,games_played_ratio,remaining_games,home_away_win_diff,month,win_rate_delta_30d,rank_delta_30d,recent20_win_rate,recent30_win_rate,games_behind_5th,wins_to_5th,prev_team_avg,prev_team_runs,prev_team_hits,prev_team_hr,prev_team_rbi,prev_team_tb,prev_team_pa,prev_team_ab,prev_team_obp,prev_team_slg,prev_team_ops,prev_team_bb,prev_team_so,prev_team_era,prev_team_whip,prev_team_runs_allowed,prev_team_er,prev_team_hr_allowed,prev_team_bb_allowed,prev_team_so_pitcher,prev_team_ip,prev_team_errors,prev_team_fpct,prev_team_dp,prev_team_pb,prev_team_sb_allowed,prev_team_cs_defense,prev_team_cs_rate,prev_team_sba,prev_team_sb,prev_team_cs,prev_team_sb_rate,prev_team_oob,prev_team_runner_pko,prev_run_differential,prev_pythagorean_win_rate,prev_k_bb_ratio,prev_iso,prev_bb_rate,prev_top5_hitter_avg,prev_top5_hitter_hr_sum,prev_top5_hitter_rbi_sum,prev_top5_hitter_ops_avg,prev_top3_hitter_ops_avg,prev_ops_concentration,prev_top5_hitter_obp_avg,prev_top5_hitter_slg_avg,prev_top5_pitcher_era_avg,prev_top5_pitcher_whip_avg,prev_top5_pitcher_ip_sum,prev_top5_pitcher_so_sum,prev_ace_era,prev_ace_era_gap,avg3yr_pythagorean_win_rate,trend_pythagorean_win_rate,avg3yr_run_differential,trend_run_differential,avg3yr_team_era,trend_team_era,avg3yr_top5_pitcher_era_avg,trend_top5_pitcher_era_avg,avg3yr_k_bb_ratio,trend_k_bb_ratio,avg3yr_top5_hitter_ops_avg,trend_top5_hitter_ops_avg,avg3yr_ace_era,trend_ace_era,avg3yr_iso,trend_iso,avg3yr_ops_concentration,trend_ops_concentration,avg3yr_bb_rate,trend_bb_rate,dyn_pythagorean_win_rate,dyn_run_differential,dyn_team_era,dyn_k_bb_ratio,dyn_top5_hitter_ops_avg,dyn_ace_era,dyn_iso,dyn_ops_concentration,dyn_bb_rate
2026-03-28,6,KIA,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1,2026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1,1,0.0069444444444444,143,0.0,3,,,,,,,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.5193974879679167,36.08101851851852,4.36613425925926,1.951432706139442,0.8171523148148148,2.562083333333333,0.1367106481481481,1.0223320113052803,0.09063412543569652
2026-03-29,7,KIA,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2,2026,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1,2,0.0138888888888888,142,0.0,3,,,,,1.0,1.0,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.5157653377024068,35.82870370370371,4.335601851851853,1.9377863235790265,0.811437962962963,2.5441666666666665,0.1357546296296296,1.0151828364010476,0.09000032036271961
2026-03-31,7,KIA,3,1,2,0,0.333,2.0,1승0무2패,1승,0-0-0,1-0-2,2026,1.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.3333333333333333,1,1,0.0208333333333333,141,-0.3333333333333333,3,,,,,,,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.512133187436897,35.57638888888889,4.305069444444445,1.9241399410186109,0.8057236111111111,2.5262499999999997,0.13479861111111105,1.0080336614968148,0.08936651528974272
2026-04-01,8,KIA,4,1,3,0,0.25,3.0,1승0무3패,1패,0-0-0,1-0-3,2026,1.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.25,-1,1,0.0277777777777777,140,-0.25,4,,,,,,,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.5085010371713871,35.32407407407408,4.274537037037038,1.9104935584581952,0.8000092592592594,2.5083333333333333,0.13384259259259254,1.0008844865925821,0.08873271021676582
2026-04-02,9,KIA,5,1,4,0,0.2,4.0,1승0무4패,2패,0-0-0,1-0-4,2026,1.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.2,-1,2,0.0347222222222222,139,-0.2,4,,,,,1.0,1.0,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.5048688869058771,35.07175925925926,4.2440046296296305,1.8968471758977794,0.7942949074074074,2.4904166666666665,0.132886574074074,0.9937353116883494,0.08809890514378892
2026-04-03,10,KIA,6,1,5,0,0.167,4.0,1승0무5패,3패,0-0-1,1-0-4,2026,1.0,0.0,5.0,0.1666666666666666,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.2,-1,3,0.0416666666666666,138,-0.2,4,,,,,2.0,2.0,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.5012367366403672,34.81944444444445,4.213472222222223,1.8832007933373638,0.7885805555555555,2.4724999999999997,0.1319305555555555,0.9865861367841167,0.08746510007081201
2026-04-04,10,KIA,7,1,6,0,0.143,5.0,1승0무6패,4패,0-0-2,1-0-4,2026,1.0,0.0,6.0,0.1428571428571428,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.2,-1,4,0.0486111111111111,137,-0.2,4,,,,,3.0,3.0,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.4976045863748573,34.56712962962963,4.182939814814816,1.8695544107769482,0.7828662037037037,2.4545833333333333,0.130974537037037,0.9794369618798839,0.08683129499783512
2026-04-05,8,KIA,8,2,6,0,0.25,5.0,2승0무6패,1승,1-0-2,1-0-4,2026,2.0,0.0,6.0,0.25,1.0,0.0,2.0,0.3333333333333333,1.0,0.0,4.0,0.2,1,1,0.0555555555555555,136,0.1333333333333333,4,,,,,2.0,2.0,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.49397243610934743,34.31481481481482,4.152407407407408,1.8559080282165323,0.7771518518518519,2.4366666666666665,0.13001851851851848,0.9722877869756512,0.08619748992485822
2026-04-07,9,KIA,9,2,7,0,0.222,5.0,2승0무7패,1패,1-0-3,1-0-4,2026,2.0,0.0,7.0,0.2222222222222222,1.0,0.0,3.0,0.25,1.0,0.0,4.0,0.2,-1,1,0.0625,135,0.0499999999999999,4,,,,,3.0,3.0,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.4903402858438375,34.0625,4.121875000000001,1.8422616456561165,0.7714375,2.4187499999999997,0.12906249999999994,0.9651386120714185,0.08556368485188132
2026-04-08,8,KIA,10,3,7,0,0.3,4.0,3승0무7패,1승,2-0-3,1-0-4,2026,3.0,0.0,7.0,0.3,2.0,0.0,3.0,0.4,1.0,0.0,4.0,0.2,1,1,0.0694444444444444,134,0.2,4,,,,,,,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.4867081355783276,33.81018518518519,4.091342592592594,1.8286152630957009,0.7657231481481481,2.400833333333333,0.12810648148148143,0.9579894371671858,0.08492987977890443
