순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,54640,네일,KIA,2.53,26,12,5,0,0,0.706,149 1/3,154,11,35,9,138,69,42,1.27
2,54930,하트,NC,2.69,26,13,3,0,0,0.813,157,124,11,38,11,182,51,47,1.03
3,52528,반즈,롯데,3.35,25,9,6,0,0,0.600,150 2/3,140,18,46,5,171,59,56,1.23
4,53375,후라도,키움,3.36,30,10,8,0,0,0.556,190 1/3,185,19,32,9,169,78,71,1.14
5,54452,코너,삼성,3.43,28,11,6,0,0,0.647,160,135,21,40,19,158,67,61,1.09
6,69446,원태인,삼성,3.66,28,15,6,0,0,0.714,159 2/3,150,17,42,7,119,68,65,1.20
7,54354,헤이수스,키움,3.68,30,13,11,0,0,0.542,171 1/3,171,22,44,14,178,78,70,1.25
8,67143,손주영,LG,3.79,28,9,10,0,1,0.474,144 2/3,157,11,54,10,112,71,61,1.46
9,54443,레예스,삼성,3.81,26,11,4,0,0,0.733,144,159,15,30,7,114,65,61,1.31
10,53546,윌커슨,롯데,3.84,32,12,8,0,0,0.600,196 2/3,210,18,27,2,167,90,84,1.21
11,76715,류현진,한화,3.87,28,10,8,0,0,0.556,158 1/3,182,12,33,3,135,78,68,1.36
12,77637,양현종,KIA,4.10,29,11,5,0,0,0.688,171 1/3,174,21,41,6,129,86,78,1.25
13,69032,쿠에바스,KT,4.10,31,7,12,0,0,0.368,173 1/3,158,17,59,7,154,86,79,1.25
14,54134,엔스,LG,4.19,30,13,6,0,0,0.684,167 2/3,169,16,50,6,157,84,78,1.31
15,68220,곽빈,두산,4.24,30,15,9,0,0,0.625,167 2/3,142,11,76,6,154,83,79,1.30
16,64350,하영민,키움,4.37,28,9,8,0,0,0.529,150 1/3,168,8,58,5,101,82,73,1.50
17,52043,벤자민,KT,4.63,28,11,8,0,0,0.579,149 2/3,141,28,48,4,156,90,77,1.26
18,64021,박세웅,롯데,4.78,30,6,11,0,0,0.353,173 1/3,188,13,56,11,124,103,92,1.41
19,65056,엄상백,KT,4.88,29,13,10,0,0,0.565,156 2/3,164,26,42,7,159,88,85,1.31
20,77829,김광현,SSG,4.93,31,12,10,0,0,0.545,162 1/3,162,24,73,6,154,95,89,1.45
1,67609,박정우,KIA,0.00,1,0,0,0,0,-,1,0,0,0,0,2,0,0,0.00
1,50641,장재혁,KIA,0.00,1,0,0,0,0,-,1 1/3,2,0,1,0,0,0,0,2.25
3,50662,정해영,KIA,2.49,53,2,3,31,1,0.400,50 2/3,47,8,16,1,50,14,14,1.24
5,53609,곽도규,KIA,3.56,71,4,2,2,16,0.667,55 2/3,43,4,34,4,64,24,22,1.38
6,54612,크로우,KIA,3.57,8,5,1,0,0,0.833,40 1/3,41,2,12,1,43,19,16,1.31
7,65665,이준영,KIA,3.86,56,4,0,0,9,1.000,35,37,5,17,2,33,21,15,1.54
8,63950,장현식,KIA,3.94,75,5,4,0,16,0.556,75 1/3,75,8,34,2,75,41,33,1.45
9,66492,김승현,KIA,4.00,15,1,0,0,0,1.000,18,23,3,7,0,11,12,8,1.67
10,66609,전상현,KIA,4.09,66,10,5,7,19,0.667,66,55,5,20,5,54,32,30,1.14
12,53613,윤영철,KIA,4.19,18,7,4,0,0,0.636,81 2/3,82,8,43,1,58,44,38,1.53
13,52641,황동하,KIA,4.44,25,5,7,0,0,0.417,103 1/3,109,13,44,8,81,64,51,1.48
14,54664,알드레드,KIA,4.53,9,3,2,0,0,0.600,43 2/3,38,4,17,2,52,24,22,1.26
15,63894,김사윤,KIA,4.62,23,0,1,1,0,0.000,37,40,2,25,5,36,29,19,1.76
16,69745,김도현,KIA,4.92,35,4,6,0,3,0.400,75,87,9,31,9,59,45,41,1.57
17,54666,라우어,KIA,4.93,7,2,2,0,0,0.500,34 2/3,35,3,12,3,37,19,19,1.36
18,69620,김기훈,KIA,5.03,17,1,0,0,0,1.000,19 2/3,16,1,15,3,17,13,11,1.58
19,54615,스타우트,KIA,5.06,4,1,1,0,0,0.500,16,17,2,5,3,20,10,9,1.38
20,52639,최지민,KIA,5.09,56,3,3,3,12,0.500,46,44,2,40,4,37,28,26,1.83
