순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,54640,네일,KIA,2.53,26,12,0,0,0,0,16,188,115,1.63
2,54930,하트,NC,2.69,26,13,0,0,0,0,7,142,131,1.08
3,52528,반즈,롯데,3.35,25,9,0,0,0,0,18,154,103,1.50
4,53375,후라도,키움,3.36,30,10,0,0,0,0,21,211,166,1.27
5,54452,코너,삼성,3.43,28,11,0,1,0,0,7,123,186,0.66
6,69446,원태인,삼성,3.66,28,15,0,1,0,0,6,160,186,0.86
7,54354,헤이수스,키움,3.68,30,13,0,0,0,0,12,149,169,0.88
8,67143,손주영,LG,3.79,27,9,0,0,0,0,16,173,125,1.38
9,54443,레예스,삼성,3.81,26,11,0,0,0,0,7,144,158,0.91
10,53546,윌커슨,롯데,3.84,32,12,0,1,0,0,11,175,232,0.75
11,76715,류현진,한화,3.87,28,10,0,0,0,0,18,182,140,1.30
12,77637,양현종,KIA,4.10,29,11,0,2,0,0,14,174,201,0.87
13,69032,쿠에바스,KT,4.10,31,7,0,0,0,0,9,155,199,0.78
14,54134,엔스,LG,4.19,30,13,0,0,0,0,12,167,156,1.07
15,68220,곽빈,두산,4.24,30,15,0,0,0,0,10,140,192,0.73
16,64350,하영민,키움,4.37,28,9,0,0,0,0,13,155,182,0.85
17,52043,벤자민,KT,4.63,28,11,0,0,0,0,8,143,141,1.01
18,64021,박세웅,롯데,4.78,30,6,0,0,0,0,18,205,172,1.19
19,65056,엄상백,KT,4.88,29,13,0,0,0,0,4,105,193,0.54
20,77829,김광현,SSG,4.93,31,12,0,0,0,0,18,157,152,1.03
1,67609,박정우,KIA,0.00,0,0,0,1,0,0,0,1,0,-
1,50641,장재혁,KIA,0.00,0,0,0,0,0,0,0,2,2,1.00
3,50662,정해영,KIA,2.49,0,0,2,44,34,1,5,44,52,0.85
5,53609,곽도규,KIA,3.56,0,0,4,3,19,0,3,62,39,1.59
6,54612,크로우,KIA,3.57,8,5,0,0,0,0,3,48,27,1.78
7,65665,이준영,KIA,3.86,0,0,4,5,8,0,2,41,27,1.52
8,63950,장현식,KIA,3.94,0,0,5,6,17,0,7,80,61,1.31
9,66492,김승현,KIA,4.00,0,0,1,5,2,0,1,25,19,1.32
10,66609,전상현,KIA,4.09,0,0,10,16,37,1,4,51,86,0.59
12,53613,윤영철,KIA,4.19,18,7,0,0,0,0,13,93,80,1.16
13,52641,황동하,KIA,4.44,21,4,1,4,0,0,7,99,120,0.83
14,54664,알드레드,KIA,4.53,9,3,0,1,0,0,4,41,32,1.28
15,63894,김사윤,KIA,4.62,2,0,0,10,2,0,6,35,31,1.13
16,69745,김도현,KIA,4.92,10,3,1,6,2,0,7,81,74,1.09
17,54666,라우어,KIA,4.93,7,2,0,0,0,0,2,25,38,0.66
18,69620,김기훈,KIA,5.03,0,0,1,4,0,0,1,18,26,0.69
19,54615,스타우트,KIA,5.06,4,1,0,0,0,0,1,10,18,0.56
20,52639,최지민,KIA,5.09,0,0,3,4,20,0,3,45,54,0.83
21,67640,유승철,KIA,5.40,0,0,0,1,0,0,1,1,8,0.13
21,51648,이의리,KIA,5.40,4,1,0,0,0,0,1,14,10,1.40
23,63638,박준표,KIA,6.00,0,0,0,2,0,0,2,8,3,2.67
24,62754,임기영,KIA,6.31,3,1,5,3,3,0,3,40,61,0.66
25,50604,유지성,KIA,7.71,0,0,0,2,0,0,0,2,3,0.67
26,62951,이형범,KIA,7.80,0,0,0,5,0,0,2,25,11,2.27
27,76225,김건국,KIA,7.86,3,0,0,3,0,0,5,37,44,0.84
28,60337,김대유,KIA,8.28,0,0,0,5,5,0,0,23,24,0.96
29,54645,김민주,KIA,9.00,0,0,0,0,0,0,0,2,0,-
30,68619,윤중현,KIA,13.94,0,0,0,4,0,0,2,13,11,1.18
31,54608,김민재,KIA,15.75,0,0,0,4,0,0,1,3,5,0.60
32,69516,김현수,KIA,18.00,0,0,0,4,0,0,0,3,8,0.38
1,73801,송은범,삼성,1.08,0,0,0,3,3,0,1,7,14,0.50
2,67421,최지광,삼성,2.23,0,0,3,1,12,0,2,25,43,0.58
6,63960,이상민,삼성,3.90,0,0,2,6,9,0,5,31,36,0.86
7,62360,김태훈,삼성,3.96,0,0,3,8,20,0,2,50,66,0.76
8,78352,임창민,삼성,3.98,0,0,2,6,30,0,3,36,73,0.49
9,50441,황동재,삼성,4.07,6,1,0,2,2,0,6,53,35,1.51
10,65062,김재윤,삼성,4.09,0,0,4,21,43,0,1,45,99,0.45
11,51454,이승현,삼성,4.23,17,6,0,0,0,0,7,90,91,0.99
12,50430,홍원표,삼성,4.26,0,0,0,4,0,0,1,7,6,1.17
13,60146,이승현,삼성,4.48,0,0,6,9,11,1,5,46,73,0.63
14,75421,오승환,삼성,4.91,0,0,3,42,36,4,3,50,70,0.71
15,54404,육선엽,삼성,5.29,1,0,0,5,1,0,3,15,23,0.65
16,68501,최하늘,삼성,5.34,0,0,1,4,3,0,1,25,47,0.53
17,61365,김대우,삼성,5.50,1,0,0,13,4,0,1,36,43,0.84
18,77446,백정현,삼성,5.95,15,6,0,1,0,0,6,82,87,0.94
19,68419,최지명,삼성,6.30,1,0,0,3,1,0,1,19,25,0.76
20,62146,최성훈,삼성,6.92,0,0,0,0,4,0,1,11,16,0.69
21,53455,이호성,삼성,7.40,12,2,0,0,0,0,2,32,67,0.48
22,61268,양현,삼성,7.62,0,0,0,4,3,0,1,14,12,1.17
23,50464,이승민,삼성,8.56,8,0,1,6,1,0,6,51,63,0.81
24,68403,김무신,삼성,10.13,0,0,0,2,0,0,2,4,6,0.67
25,54401,김대호,삼성,11.25,1,0,0,0,0,0,0,7,5,1.40
26,63492,이재익,삼성,17.69,0,0,1,1,0,0,3,13,6,2.17
27,65496,홍정우,삼성,45.00,0,0,0,1,0,0,0,0,2,0.00
28,77927,장필준,삼성,135.00,0,0,0,0,0,0,0,0,1,0.00
1,68159,성동현,LG,0.00,0,0,0,1,0,0,1,4,0,-
2,50106,유영찬,LG,2.97,0,0,7,50,33,6,1,51,62,0.82
3,51526,우강훈,LG,3.09,0,0,1,4,0,0,4,14,8,1.75
4,69168,이상영,LG,3.31,3,0,0,0,1,0,1,27,13,2.08
5,64596,김유영,LG,3.78,2,0,1,6,14,0,6,51,46,1.11
7,61101,임찬규,LG,3.83,24,10,0,0,0,0,11,121,126,0.96
8,75867,김진성,LG,3.97,0,0,3,6,35,1,4,39,99,0.39
9,54119,에르난데스,LG,4.02,9,3,0,1,2,0,3,29,52,0.56
10,63961,윤호솔,LG,4.15,0,0,0,2,0,0,0,2,5,0.40
10,50904,이종준,LG,4.15,0,0,1,13,1,0,0,27,21,1.29
13,65320,최원태,LG,4.26,23,8,1,0,0,0,11,125,134,0.93
14,69103,켈리,LG,4.51,19,5,0,2,0,0,7,112,147,0.76
15,69108,이지강,LG,4.53,2,0,2,6,8,0,2,61,60,1.02
16,54148,진우영,LG,4.70,0,0,0,6,0,0,0,2,15,0.13
17,69159,정우영,LG,4.76,0,0,2,2,6,0,4,32,10,3.20
18,66145,김대현,LG,5.40,0,0,2,8,3,0,1,23,49,0.47
18,63248,함덕주,LG,5.40,0,0,0,1,4,0,1,7,15,0.47
20,53139,박명근,LG,6.39,0,0,2,3,10,0,3,22,39,0.56
21,69113,임준형,LG,6.59,1,0,0,3,3,0,2,13,12,1.08
22,51154,김진수,LG,6.75,0,0,0,4,1,0,2,17,14,1.21
23,79140,최동환,LG,6.95,0,0,0,7,6,0,2,17,30,0.57
24,68130,김영준,LG,8.22,0,0,1,5,1,0,1,18,16,1.13
25,61145,이우찬,LG,8.82,1,0,3,3,8,0,7,37,30,1.23
26,65109,백승현,LG,9.11,0,0,2,7,6,0,2,25,36,0.69
27,54149,정지헌,LG,11.68,0,0,0,4,2,0,2,14,11,1.27
