순위,선수ID,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,53827,에레디아,SSG,0.360,53,128,154,0.83,13,0.38,3.46,0.177,105.2,0.314
2,54529,레이예스,롯데,0.352,58,168,133,1.26,13,0.56,3.87,0.159,106.2,0.305
3,52605,김도영,KIA,0.347,77,101,151,0.67,15,0.60,3.81,0.300,138.2,0.351
4,62404,구자욱,삼성,0.343,73,128,129,0.99,12,0.75,3.80,0.284,118.5,0.344
5,65357,송성문,키움,0.340,52,136,138,0.99,11,0.78,3.88,0.178,111.4,0.314
6,66108,홍창기,LG,0.336,26,159,100,1.59,6,1.03,4.14,0.074,99.5,0.304
7,67025,로하스,KT,0.329,72,112,161,0.70,12,0.77,4.00,0.240,126.7,0.331
8,78603,김선빈,KIA,0.329,32,139,106,1.31,4,0.77,3.80,0.118,65.1,0.283
9,62907,박민우,NC,0.328,36,106,126,0.84,3,0.68,3.90,0.118,85.4,0.294
10,67304,김혜성,키움,0.326,41,132,156,0.85,9,0.76,3.82,0.132,90.9,0.287
11,53123,오스틴,LG,0.319,67,100,190,0.53,14,0.74,3.78,0.254,112.1,0.316
12,50458,김지찬,삼성,0.316,22,153,118,1.30,3,1.50,3.78,0.068,79.8,0.278
13,76232,양의지,두산,0.314,36,96,149,0.64,15,0.71,3.71,0.165,74.6,0.290
14,51551,나승엽,롯데,0.312,46,88,116,0.76,5,0.83,4.05,0.157,80.2,0.302
15,52630,소크라테스,KIA,0.310,59,125,170,0.74,9,0.45,3.66,0.207,98.1,0.291
16,79240,허경민,두산,0.309,35,125,144,0.87,4,1.44,3.69,0.118,69.3,0.280
17,69517,고승민,롯데,0.308,47,124,139,0.89,6,0.53,3.85,0.168,78.9,0.280
18,64646,박찬호,KIA,0.307,30,165,154,1.07,7,1.09,3.76,0.080,72.2,0.260
19,54944,데이비슨,NC,0.306,72,83,132,0.63,9,0.27,3.78,0.327,110.1,0.325
20,74540,강민호,삼성,0.303,39,124,111,1.12,9,0.67,3.46,0.194,68.8,0.288
21,67893,박성한,SSG,0.301,34,139,123,1.13,5,0.74,4.23,0.110,78.5,0.274
22,69102,문보경,LG,0.301,60,125,139,0.90,7,0.58,4.04,0.206,96.0,0.294
23,63963,권희동,NC,0.300,36,113,121,0.93,8,1.22,4.54,0.151,82.2,0.301
24,79608,안치홍,한화,0.300,34,118,147,0.80,8,0.70,3.91,0.127,73.8,0.273
25,65207,신민재,LG,0.297,17,145,83,1.75,3,1.36,3.73,0.059,63.0,0.270
26,76290,김현수,LG,0.294,46,125,173,0.72,10,0.62,3.73,0.124,78.4,0.265
27,52591,윤동희,롯데,0.293,53,134,133,1.01,6,0.59,4.26,0.160,88.3,0.282
28,78513,전준우,롯데,0.293,45,102,118,0.86,5,0.58,3.83,0.191,73.6,0.287
29,66606,최원준,KIA,0.292,35,127,122,1.04,8,0.76,4.01,0.128,71.2,0.272
30,75847,최정,SSG,0.291,66,75,150,0.50,14,0.48,3.84,0.303,103.9,0.321
31,66704,김태연,한화,0.291,36,100,108,0.93,3,0.51,3.92,0.145,64.8,0.272
32,68050,강백호,KT,0.289,53,139,127,1.09,9,0.46,4.00,0.191,93.4,0.282
33,63260,이우성,KIA,0.288,26,108,90,1.20,7,0.49,4.00,0.113,55.5,0.263
34,69995,서호철,NC,0.285,32,141,127,1.11,4,0.30,3.78,0.107,65.1,0.252
35,79231,정수빈,두산,0.284,28,160,141,1.13,4,0.99,4.10,0.076,81.8,0.259
36,78224,김재환,두산,0.283,57,65,116,0.56,7,0.38,4.02,0.243,91.9,0.297
37,63123,강승호,두산,0.280,59,97,124,0.78,9,0.20,3.78,0.196,78.9,0.267
38,72443,최형우,KIA,0.280,47,99,126,0.79,12,0.60,4.04,0.219,77.0,0.287
39,50854,최지훈,SSG,0.275,40,117,164,0.71,4,0.70,4.05,0.143,74.4,0.260
40,64166,배정대,KT,0.275,33,86,100,0.86,3,0.44,4.00,0.119,59.5,0.258
41,54730,페라자,한화,0.275,48,103,100,1.03,7,0.49,3.96,0.211,79.4,0.285
42,79365,박동원,LG,0.272,42,107,104,1.03,4,0.49,4.04,0.189,69.5,0.272
43,69737,노시환,한화,0.272,46,114,144,0.79,6,0.47,3.99,0.183,86.2,0.274
44,79192,채은성,한화,0.271,44,100,140,0.71,7,0.59,3.81,0.193,70.4,0.274
45,78548,장성우,KT,0.268,38,90,138,0.65,14,0.70,4.09,0.182,71.4,0.272
46,50167,이주형,키움,0.266,35,111,118,0.94,5,0.41,3.79,0.135,70.1,0.259
47,62415,박해민,LG,0.263,28,102,161,0.63,4,0.46,4.08,0.095,68.5,0.241
48,62802,박승욱,롯데,0.262,27,98,84,1.17,6,0.39,3.88,0.104,53.3,0.249
49,52415,이재현,삼성,0.260,33,87,121,0.72,5,0.70,4.38,0.159,62.1,0.269
50,76313,황재균,KT,0.260,35,113,159,0.71,5,0.36,3.84,0.124,53.5,0.235
51,51344,김휘집,NC,0.258,41,91,160,0.57,8,0.44,4.14,0.152,68.3,0.254
52,76267,최주환,키움,0.257,37,108,167,0.65,7,0.51,4.08,0.133,63.3,0.244
53,52430,김영웅,삼성,0.252,47,78,112,0.70,8,0.29,3.83,0.232,75.1,0.266
54,51907,김주원,NC,0.252,29,72,110,0.65,3,0.46,4.07,0.127,62.3,0.262
55,64153,양석환,두산,0.246,60,96,181,0.53,10,0.38,4.05,0.242,80.8,0.264
56,62895,한유섬,SSG,0.235,53,90,126,0.71,8,0.32,4.14,0.218,68.9,0.255
1,73113,박경수,KT,0.667,1,0,0,-,0,0.00,3.67,0.333,1.1,0.550
2,52002,김병준,KT,0.357,0,4,3,1.33,0,1.00,3.56,0.000,2.4,0.286
3,64004,김민혁,KT,0.353,18,124,61,2.03,2,0.78,3.64,0.066,57.0,0.289
5,50066,강현우,KT,0.308,2,5,3,1.67,1,0.80,3.97,0.154,6.3,0.327
6,68089,조대현,KT,0.306,2,4,10,0.40,0,0.25,3.58,0.056,4.8,0.248
7,50054,천성호,KT,0.295,12,82,41,2.00,2,0.42,3.61,0.073,29.9,0.248
8,64504,오윤석,KT,0.293,20,50,34,1.47,2,0.44,3.82,0.195,28.9,0.288
10,62556,신본기,KT,0.279,6,33,29,1.14,0,0.57,3.70,0.098,19.1,0.261
11,79402,김상수,KT,0.276,26,92,117,0.79,3,0.63,3.89,0.103,47.1,0.253
14,64006,심우준,KT,0.266,7,51,44,1.16,5,0.59,4.10,0.077,21.0,0.237
16,64007,문상철,KT,0.256,28,79,96,0.82,3,0.52,4.03,0.179,55.4,0.267
17,67006,안치영,KT,0.250,0,10,11,0.91,0,0.17,4.13,0.000,2.9,0.190
18,64868,조용호,KT,0.248,5,48,39,1.23,1,0.52,3.73,0.034,12.6,0.210
19,75334,오재일,KT,0.243,30,47,98,0.48,4,0.41,3.77,0.179,43.6,0.250
20,62558,김준태,KT,0.240,2,6,7,0.86,0,0.83,3.80,0.080,3.4,0.245
21,53058,정준영,KT,0.226,2,22,10,2.20,0,0.50,4.03,0.032,5.8,0.210
22,51003,권동진,KT,0.222,0,3,2,1.50,0,0.50,4.10,0.000,0.7,0.191
22,67005,홍현빈,KT,0.222,1,4,3,1.33,1,0.43,4.45,0.111,2.3,0.233
24,69056,박민석,KT,0.214,0,3,1,3.00,0,0.00,4.57,0.000,0.1,0.150
24,64012,송민섭,KT,0.214,0,3,2,1.50,0,0.50,4.50,0.000,1.9,0.243
26,52001,안현민,KT,0.200,2,7,4,1.75,0,0.20,3.69,0.200,3.5,0.224
27,50092,윤준혁,KT,0.176,2,2,6,0.33,0,0.17,3.00,0.118,1.0,0.173
28,68504,이호연,KT,0.146,1,10,13,0.77,0,0.08,3.98,0.024,-0.4,0.118
29,51005,김건형,KT,0.125,1,8,5,1.60,0,0.13,4.16,0.042,0.1,0.114
30,64115,장준원,KT,0.071,0,4,4,1.00,0,0.80,4.39,0.000,0.7,0.143
31,69064,강민성,KT,0.000,0,0,1,0.00,0,-,5.00,0.000,-0.1,0.000
1,52154,이주헌,LG,0.667,2,0,0,-,0,0.00,3.33,0.333,2.2,0.550
2,54164,김대원,LG,0.500,0,1,0,-,0,0.00,1.75,0.000,0.9,0.350
4,54112,최명경,LG,0.333,0,1,0,-,0,0.00,3.67,0.000,0.3,0.233
6,68119,문성주,LG,0.315,18,99,75,1.32,6,1.29,3.91,0.066,50.9,0.280
11,52103,최원영,LG,0.270,3,7,13,0.54,0,0.14,3.90,0.135,5.1,0.255
12,69105,김성진,LG,0.267,1,1,6,0.17,0,0.25,3.94,0.200,1.9,0.258
14,69100,구본혁,LG,0.257,18,85,120,0.71,8,0.75,3.81,0.071,39.9,0.233
15,79109,오지환,LG,0.254,36,75,96,0.78,2,0.48,4.10,0.157,55.0,0.260
16,53144,김범석,LG,0.241,10,32,44,0.73,2,0.29,3.89,0.136,19.1,0.232
17,51100,이영빈,LG,0.222,4,11,20,0.55,0,0.20,3.99,0.127,6.6,0.205
18,54166,김현종,LG,0.200,1,2,6,0.33,0,0.00,2.69,0.067,0.9,0.179
19,65115,안익훈,LG,0.184,1,15,13,1.15,1,0.31,3.95,0.020,2.4,0.159
20,66162,김주성,LG,0.167,0,2,3,0.67,0,-,3.78,0.000,1.1,0.242
21,67504,김정율,LG,0.150,0,5,8,0.63,0,0.25,3.00,0.000,0.2,0.140
22,50108,함창건,LG,0.143,0,3,6,0.50,0,0.67,3.88,0.000,0.2,0.148
23,77243,허도환,LG,0.138,2,24,20,1.20,1,0.35,4.09,0.025,4.8,0.176
24,65905,최승민,LG,0.077,0,4,5,0.80,0,0.67,3.44,0.000,-0.1,0.109
25,68110,송찬의,LG,0.067,0,2,7,0.29,0,0.50,3.24,0.000,1.1,0.129
26,52105,김성우,LG,0.000,0,0,1,0.00,0,0.00,4.40,0.000,-0.5,0.000
26,50115,김수인,LG,0.000,0,0,1,0.00,0,0.00,5.00,0.000,-0.3,0.000
26,65109,백승현,LG,0.000,0,1,0,-,0,-,3.00,0.000,-0.1,0.000
26,67123,전준호,LG,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.000
26,69159,정우영,LG,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.000
2,54812,정준재,SSG,0.307,14,57,43,1.33,3,0.39,3.97,0.098,32.4,0.268
5,51817,추신수,SSG,0.281,20,51,69,0.74,3,0.54,4.02,0.123,43.0,0.269
6,79456,이지영,SSG,0.279,17,147,107,1.37,4,0.51,3.20,0.070,44.0,0.231
7,54805,박지환,SSG,0.276,15,56,51,1.10,1,0.20,3.70,0.110,28.7,0.239
9,60558,오태곤,SSG,0.275,25,55,54,1.02,3,0.42,3.94,0.174,43.4,0.272
10,51868,고명준,SSG,0.250,24,96,69,1.39,3,0.28,3.82,0.135,38.7,0.233
11,69813,하재훈,SSG,0.248,29,41,92,0.45,2,0.20,3.87,0.169,38.2,0.236
12,51865,조형우,SSG,0.242,0,10,9,1.11,0,0.17,3.37,0.000,3.4,0.214
13,54815,정현승,SSG,0.241,1,10,6,1.67,1,0.33,3.58,0.103,3.3,0.217
14,68868,최준우,SSG,0.240,2,6,5,1.20,0,1.13,4.00,0.080,4.7,0.278
16,76802,김성현,SSG,0.227,5,49,33,1.48,2,0.57,4.10,0.057,13.2,0.215
17,66662,신범수,SSG,0.222,3,6,10,0.60,1,0.20,3.86,0.111,2.4,0.207
18,62864,김민식,SSG,0.208,6,18,33,0.55,1,0.48,4.17,0.075,10.1,0.211
19,62925,강진성,SSG,0.185,0,9,8,1.13,0,0.60,3.32,0.000,1.5,0.166
20,66864,안상현,SSG,0.171,1,21,23,0.91,0,0.29,3.75,0.014,2.1,0.144
20,69802,최경모,SSG,0.171,0,16,6,2.67,0,1.14,3.62,0.000,2.7,0.189
22,68805,최상민,SSG,0.167,2,3,2,1.50,0,0.00,3.69,0.167,0.9,0.187
23,50820,전의산,SSG,0.088,1,18,20,0.90,1,0.33,4.13,0.053,-0.7,0.107
24,66917,김찬형,SSG,0.000,0,3,2,1.50,0,0.00,4.11,0.000,-0.8,0.000
24,69825,김창평,SSG,0.000,0,2,1,2.00,0,0.50,4.22,0.000,0.2,0.100
24,50868,류효승,SSG,0.000,0,0,2,0.00,0,-,4.50,0.000,-0.2,0.000
24,62869,문승원,SSG,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.000
24,65157,최민창,SSG,0.000,0,0,2,0.00,0,0.00,5.33,0.000,-0.3,0.000
24,50840,현원회,SSG,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.000
2,54444,카디네스,삼성,0.333,4,5,5,1.00,1,0.17,4.04,0.333,4.5,0.329
5,61404,김헌곤,삼성,0.302,18,70,77,0.91,3,0.44,4.13,0.132,42.5,0.270
6,54424,맥키넌,삼성,0.294,17,55,107,0.51,3,1.18,3.71,0.092,41.5,0.268
7,68463,윤정빈,삼성,0.286,12,37,33,1.12,3,0.47,4.21,0.168,28.4,0.283
8,54400,디아즈,삼성,0.282,12,19,35,0.54,3,0.24,3.95,0.236,17.9,0.278
10,62234,류지혁,삼성,0.258,13,93,63,1.48,3,0.47,3.89,0.066,35.9,0.235
12,64793,김민수,삼성,0.250,1,3,2,1.50,0,0.00,3.13,0.375,1.4,0.269
13,69428,이병헌,삼성,0.248,5,28,33,0.85,0,0.35,3.99,0.048,16.2,0.225
14,67449,김성윤,삼성,0.243,4,29,13,2.23,1,0.56,3.36,0.054,8.8,0.221
15,66409,이성규,삼성,0.242,33,46,77,0.60,5,0.28,4.07,0.258,54.5,0.278
16,53400,김재상,삼성,0.238,6,26,16,1.63,0,0.22,3.60,0.119,9.6,0.214
17,75125,박병호,삼성,0.231,30,66,84,0.79,8,0.39,4.14,0.217,53.5,0.262
18,65586,전병우,삼성,0.225,10,20,26,0.77,1,0.33,4.30,0.180,14.6,0.242
19,51417,김현준,삼성,0.224,11,59,37,1.59,1,0.22,3.86,0.066,15.3,0.198
20,66406,안주형,삼성,0.218,2,44,28,1.57,0,0.28,3.77,0.014,9.2,0.184
21,65132,김재성,삼성,0.200,1,7,4,1.75,0,0.60,4.00,0.050,1.4,0.199
21,65040,김태훈,삼성,0.200,1,6,7,0.86,1,0.00,3.48,0.050,0.7,0.170
23,51407,이창용,삼성,0.190,1,7,6,1.17,0,0.00,2.95,0.048,0.7,0.145
24,52424,김재혁,삼성,0.184,3,13,10,1.30,2,0.16,4.02,0.082,2.5,0.166
25,54408,양도근,삼성,0.174,1,7,4,1.75,0,0.63,4.10,0.087,2.5,0.210
26,66838,김동엽,삼성,0.111,1,7,5,1.40,0,0.20,3.62,0.056,0.7,0.127
27,51403,김동진,삼성,0.108,1,14,9,1.56,0,0.30,3.05,0.081,0.6,0.126
28,64610,강한울,삼성,0.095,0,8,6,1.33,0,0.00,3.80,0.000,-0.6,0.065
29,68407,공민규,삼성,0.071,1,1,3,0.33,0,0.11,4.24,0.214,0.8,0.177
30,54460,김호진,삼성,0.069,0,9,8,1.13,0,0.09,3.19,0.000,-0.8,0.074
31,69442,김도환,삼성,0.000,0,0,2,0.00,0,0.00,4.33,0.000,-0.3,0.000
31,53404,류승민,삼성,0.000,0,0,0,-,0,2.00,5.67,0.000,0.6,0.300
31,69403,양우현,삼성,0.000,0,5,2,2.50,0,0.17,3.93,0.000,-1.2,0.032
1,52667,윤도현,KIA,0.407,3,4,3,1.33,0,0.00,3.52,0.185,5.5,0.331
2,54614,김두현,KIA,0.400,0,1,2,0.50,0,-,3.17,0.000,1.1,0.325
5,78168,서건창,KIA,0.310,16,49,63,0.78,3,1.16,4.11,0.094,37.2,0.288
7,67609,박정우,KIA,0.308,4,24,7,3.43,1,0.29,3.87,0.077,7.0,0.253
9,68646,한준수,KIA,0.307,29,72,85,0.85,0,0.44,3.66,0.150,44.5,0.272
10,69727,변우혁,KIA,0.304,16,31,39,0.79,1,0.33,3.67,0.167,26.1,0.284
11,50600,홍종표,KIA,0.295,7,28,15,1.87,0,0.19,3.57,0.095,13.9,0.250
13,62947,나성범,KIA,0.291,39,94,80,1.18,9,0.39,3.87,0.219,67.7,0.288
15,69636,오선우,KIA,0.286,0,1,1,1.00,0,0.00,3.71,0.000,0.5,0.200
15,65610,황대인,KIA,0.286,1,3,1,3.00,0,0.00,3.14,0.143,0.8,0.236
18,50657,박민,KIA,0.276,4,4,10,0.40,0,0.14,3.47,0.138,3.0,0.239
19,63722,한승택,KIA,0.273,0,3,4,0.75,1,4.00,4.33,0.000,2.1,0.278
20,78122,김태군,KIA,0.264,14,87,63,1.38,3,0.50,3.36,0.119,26.8,0.243
21,64560,이창진,KIA,0.262,11,52,57,0.91,1,1.25,4.02,0.068,30.4,0.263
