순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,66209,조수행,두산,130,72,64,8,88.9,2,2
2,79231,정수빈,두산,136,65,52,13,80.0,7,1
3,50500,황성빈,롯데,125,61,51,10,83.6,6,4
4,62415,박해민,LG,144,56,43,13,76.8,4,4
5,50458,김지찬,삼성,135,46,42,4,91.3,1,2
6,52605,김도영,KIA,141,44,40,4,90.9,5,1
7,65207,신민재,LG,128,43,32,11,74.4,7,0
7,50854,최지훈,SSG,125,37,32,5,86.5,2,0
7,62907,박민우,NC,121,39,32,7,82.1,6,4
10,67304,김혜성,키움,127,36,30,6,83.3,6,1
11,60558,오태곤,SSG,117,31,27,4,87.1,0,1
12,66606,최원준,KIA,136,30,21,9,70.0,3,1
12,65357,송성문,키움,142,21,21,0,100,3,1
14,64646,박찬호,KIA,134,33,20,13,60.6,4,1
15,79109,오지환,LG,108,21,17,4,81.0,4,0
16,54812,정준재,SSG,88,21,16,5,76.2,4,0
16,51907,김주원,NC,134,22,16,6,72.7,5,0
16,63123,강승호,두산,140,21,16,5,76.2,3,0
16,67207,이유찬,두산,103,22,16,6,72.7,5,1
20,69813,하재훈,SSG,107,17,15,2,88.2,1,0
21,68507,장두성,롯데,71,17,14,3,82.4,2,0
21,66706,장진혁,한화,99,20,14,6,70.0,0,2
23,68119,문성주,LG,96,20,13,7,65.0,5,0
23,67893,박성한,SSG,137,16,13,3,81.3,4,1
23,52630,소크라테스,KIA,140,18,13,5,72.2,11,1
23,62404,구자욱,삼성,129,17,13,4,76.5,10,1
27,53123,오스틴,LG,140,20,12,8,60.0,6,1
28,65905,최승민,LG,57,18,11,7,61.1,1,2
28,62234,류지혁,삼성,100,15,11,4,73.3,4,1
30,66108,홍창기,LG,139,21,10,11,47.6,8,1
30,62934,김성욱,NC,129,14,10,4,71.4,0,1
32,64166,배정대,KT,113,16,9,7,56.3,4,1
32,52430,김영웅,삼성,126,11,9,2,81.8,1,0
32,66409,이성규,삼성,122,11,9,2,81.8,1,0
35,69100,구본혁,LG,133,12,8,4,66.7,4,0
35,54805,박지환,SSG,76,11,8,3,72.7,4,0
35,79456,이지영,SSG,123,9,8,1,88.9,0,0
35,67905,천재환,NC,89,10,8,2,80.0,3,0
35,68700,이원석,한화,87,10,8,2,80.0,4,0
40,69102,문보경,LG,144,13,7,6,53.8,2,2
40,64006,심우준,KT,53,8,7,1,87.5,1,0
40,50054,천성호,KT,75,7,7,0,100,2,1
40,69992,최정원,NC,65,10,7,3,70.0,4,0
40,68205,전민재,두산,100,10,7,3,70.0,4,0
40,63260,이우성,KIA,112,8,7,1,87.5,5,0
40,50150,손호영,롯데,102,11,7,4,63.6,2,2
40,52591,윤동희,롯데,141,15,7,8,46.7,8,0
40,54730,페라자,한화,122,12,7,5,58.3,5,0
49,76290,김현수,LG,137,7,6,1,85.7,7,1
49,52103,최원영,LG,57,10,6,4,60.0,1,1
49,68050,강백호,KT,144,8,6,2,75.0,6,0
49,64007,문상철,KT,125,7,6,1,85.7,1,1
49,69802,최경모,SSG,50,9,6,3,66.7,0,0
49,77532,손아섭,NC,84,8,6,2,75.0,4,0
49,69737,노시환,한화,136,6,6,0,100,3,0
49,65703,이도윤,한화,134,10,6,4,60.0,2,1
49,50167,이주형,키움,115,6,6,0,100,2,0
58,78548,장성우,KT,131,5,5,0,100,3,0
58,64868,조용호,KT,60,6,5,1,83.3,1,1
58,75847,최정,SSG,129,6,5,1,83.3,4,0
58,51817,추신수,SSG,78,6,5,1,83.3,3,0
58,64153,양석환,두산,142,8,5,3,62.5,2,0
58,79240,허경민,두산,115,6,5,1,83.3,3,0
58,78603,김선빈,KIA,116,6,5,1,83.3,1,0
58,50600,홍종표,KIA,100,7,5,2,71.4,0,0
58,69517,고승민,롯데,120,9,5,4,55.6,6,0
58,54529,레이예스,롯데,144,5,5,0,100,5,1
58,66704,김태연,한화,126,7,5,2,71.4,5,0
58,52704,이상혁,한화,43,7,5,2,71.4,0,1
70,64004,김민혁,KT,115,6,4,2,66.7,3,0
70,76313,황재균,KT,137,10,4,6,40.0,4,0
70,53827,에레디아,SSG,136,7,4,3,57.1,7,0
70,63963,권희동,NC,123,4,4,0,100,3,1
70,51344,김휘집,NC,140,7,4,3,57.1,4,2
70,79215,박건우,NC,89,4,4,0,100,0,0
70,62244,박세혁,NC,82,4,4,0,100,1,0
70,54295,제러드,두산,38,4,4,0,100,3,0
70,64560,이창진,KIA,103,7,4,3,57.1,1,0
70,62802,박승욱,롯데,139,9,4,5,44.4,7,0
70,53400,김재상,삼성,35,4,4,0,100,1,0
70,61404,김헌곤,삼성,117,6,4,2,66.7,1,0
70,75125,박병호,삼성,120,4,4,0,100,1,0
70,66406,안주형,삼성,82,6,4,2,66.7,2,0
70,54795,황영묵,한화,123,11,4,7,36.4,2,0
85,79402,김상수,KT,113,5,3,2,60.0,1,0
85,51868,고명준,SSG,106,7,3,4,42.9,1,1
85,50996,박시원,NC,55,3,3,0,100,1,1
85,52025,라모스,두산,80,6,3,3,50.0,4,0
85,54205,여동건,두산,9,3,3,0,100,2,0
85,65653,김호령,KIA,64,5,3,2,60.0,1,0
85,78168,서건창,KIA,94,4,3,1,75.0,5,0
85,52504,김동혁,롯데,39,4,3,1,75.0,0,2
85,53554,김민석,롯데,41,4,3,1,75.0,0,0
85,78513,전준우,롯데,109,4,3,1,75.0,3,1
85,74540,강민호,삼성,136,3,3,0,100,7,0
85,67449,김성윤,삼성,32,4,3,1,75.0,0,0
85,53764,문현빈,한화,103,8,3,5,37.5,4,1
85,79608,안치홍,한화,128,5,3,2,60.0,2,0
85,50707,최인호,한화,82,3,3,0,100,3,0
85,52305,박수종,키움,80,3,3,0,100,2,0
101,54164,김대원,LG,19,3,2,1,66.7,1,0
101,65115,안익훈,LG,37,2,2,0,100,0,0
101,67025,로하스,KT,144,3,2,1,66.7,7,0
101,62556,신본기,KT,84,2,2,0,100,0,0
101,76802,김성현,SSG,71,2,2,0,100,0,0
101,68805,최상민,SSG,43,3,2,1,66.7,0,0
101,50906,박영빈,NC,19,3,2,1,66.7,0,0
101,64101,한석현,NC,40,3,2,1,66.7,1,0
101,66928,박준영,두산,65,2,2,0,100,1,0
101,76232,양의지,두산,119,3,2,1,66.7,8,0
101,52424,김재혁,삼성,35,4,2,2,50.0,2,0
101,51417,김현준,삼성,79,2,2,0,100,1,0
101,52415,이재현,삼성,109,3,2,1,66.7,2,0
101,68743,정은원,한화,27,2,2,0,100,1,0
101,53327,도슨,키움,95,4,2,2,50.0,5,0
101,50357,박주홍,키움,25,2,2,0,100,0,0
101,54307,원성준,키움,51,2,2,0,100,0,0
101,74163,이용규,키움,60,4,2,2,50.0,3,0
119,79365,박동원,LG,130,1,1,0,100,6,0
119,68110,송찬의,LG,10,1,1,0,100,0,0
119,69825,김창평,SSG,6,1,1,0,100,0,0
119,66864,안상현,SSG,37,2,1,1,50.0,0,0
119,54815,정현승,SSG,23,1,1,0,100,1,0
119,66965,도태훈,NC,100,1,1,0,100,1,0
119,69995,서호철,NC,141,4,1,3,25.0,9,0
119,69238,김대한,두산,61,2,1,1,50.0,3,0
119,78224,김재환,두산,136,2,1,1,50.0,1,0
119,64468,박계범,두산,24,1,1,0,100,1,0
119,54214,전다민,두산,25,2,1,1,50.0,1,0
119,66233,홍성호,두산,15,1,1,0,100,0,0
119,66614,김규성,KIA,27,1,1,0,100,0,0
119,69727,변우혁,KIA,69,1,1,0,100,1,0
119,52667,윤도현,KIA,6,1,1,0,100,0,0
119,72443,최형우,KIA,116,2,1,1,50.0,1,0
119,51551,나승엽,롯데,121,1,1,0,100,3,0
119,60523,정훈,롯데,109,2,1,1,50.0,2,1
119,68362,추재현,롯데,2,1,1,0,100,0,0
119,54424,맥키넌,삼성,72,1,1,0,100,2,0
119,68463,윤정빈,삼성,69,4,1,3,25.0,0,0
119,66707,박상언,한화,27,1,1,0,100,0,0
119,79192,채은성,한화,124,2,1,1,50.0,6,0
119,62700,하주석,한화,64,3,1,2,33.3,2,0
119,62332,김재현,키움,110,2,1,1,50.0,0,0
119,78135,이형종,키움,35,1,1,0,100,1,0
119,64346,임병욱,키움,42,1,1,0,100,0,0
146,66145,김대현,LG,3,0,0,0,-,0,0
146,67504,김정율,LG,19,0,0,0,-,0,0
146,53144,김범석,LG,70,0,0,0,-,1,0
146,52105,김성우,LG,4,0,0,0,-,0,0
146,69105,김성진,LG,14,0,0,0,-,1,0
