season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2026,KIA,4.802,1.4,132.0,111,3.44,1.3619999999999997
2026,KT,3.4519999999999995,1.376,149.0,140,3.89,-0.4380000000000006
2026,LG,3.846,1.456,123.33333333333333,88,1.16,2.686
2026,NC,4.37,1.304,127.33333333333333,92,2.88,1.4900000000000002
2026,SSG,3.3559999999999994,1.3639999999999999,118.66666666666667,96,4.11,-0.7540000000000009
2026,두산,3.586,1.374,137.33333333333331,129,3.75,-0.16400000000000015
2026,롯데,3.496,1.3199999999999998,141.66666666666669,137,4.19,-0.6940000000000004
2026,삼성,3.818,1.37,118.0,93,1.62,2.198
2026,키움,3.4979999999999998,1.482,126.66666666666667,116,3.35,0.1479999999999997
2026,한화,4.5280000000000005,1.4640000000000002,121.66666666666666,95,2.45,2.0780000000000003
