date,rank,team,games,wins,losses,draws,win_rate,games_behind,recent_10,streak,home_record,away_record,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,streak_type,streak_count,games_played_ratio,remaining_games,home_away_win_diff,month,win_rate_delta_30d,rank_delta_30d,recent20_win_rate,recent30_win_rate,games_behind_5th,wins_to_5th
2026-03-28,6,KIA,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1,2026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1,1,0.006944444444444444,143,0.0,3,,,,,,
2026-03-29,7,KIA,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2,2026,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1,2,0.013888888888888888,142,0.0,3,,,,,1.0,1.0
2026-03-31,7,KIA,3,1,2,0,0.333,2.0,1승0무2패,1승,0-0-0,1-0-2,2026,1.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.3333333333333333,1,1,0.020833333333333332,141,-0.3333333333333333,3,,,,,,
2026-04-01,8,KIA,4,1,3,0,0.25,3.0,1승0무3패,1패,0-0-0,1-0-3,2026,1.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.25,-1,1,0.027777777777777776,140,-0.25,4,,,,,,
2026-04-02,9,KIA,5,1,4,0,0.2,4.0,1승0무4패,2패,0-0-0,1-0-4,2026,1.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.2,-1,2,0.034722222222222224,139,-0.2,4,,,,,1.0,1.0
2026-04-03,10,KIA,6,1,5,0,0.167,4.0,1승0무5패,3패,0-0-1,1-0-4,2026,1.0,0.0,5.0,0.16666666666666666,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.2,-1,3,0.041666666666666664,138,-0.2,4,,,,,2.0,2.0
2026-04-04,10,KIA,7,1,6,0,0.143,5.0,1승0무6패,4패,0-0-2,1-0-4,2026,1.0,0.0,6.0,0.14285714285714285,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.2,-1,4,0.04861111111111111,137,-0.2,4,,,,,3.0,3.0
2026-04-05,8,KIA,8,2,6,0,0.25,5.0,2승0무6패,1승,1-0-2,1-0-4,2026,2.0,0.0,6.0,0.25,1.0,0.0,2.0,0.3333333333333333,1.0,0.0,4.0,0.2,1,1,0.05555555555555555,136,0.1333333333333333,4,,,,,2.0,2.0
2026-04-07,9,KIA,9,2,7,0,0.222,5.0,2승0무7패,1패,1-0-3,1-0-4,2026,2.0,0.0,7.0,0.2222222222222222,1.0,0.0,3.0,0.25,1.0,0.0,4.0,0.2,-1,1,0.0625,135,0.04999999999999999,4,,,,,3.0,3.0
2026-04-08,8,KIA,10,3,7,0,0.3,4.0,3승0무7패,1승,2-0-3,1-0-4,2026,3.0,0.0,7.0,0.3,2.0,0.0,3.0,0.4,1.0,0.0,4.0,0.2,1,1,0.06944444444444445,134,0.2,4,,,,,,
