season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate
2026,KT,0.279,163,265,22,154,388,1105,950,0.367,0.408,0.775,125,207,3.75,1.38,114,102,19,84,216,245.0,20,0.981,32,0,26,6,18.8,23,14,9,60.9,7,0,49,0.6715278655377227,2.5714285714285716,0.12899999999999995,0.11312217194570136
2026,LG,0.273,119,238,14,115,322,1039,873,0.369,0.369,0.738,122,176,3.55,1.35,99,92,17,88,189,233.33333333333334,15,0.984,18,0,23,10,30.3,28,21,7,75.0,14,1,20,0.5909773808530173,2.147727272727273,0.09599999999999997,0.11742059672762271
2026,삼성,0.265,126,241,18,118,357,1058,908,0.361,0.393,0.754,125,190,4.23,1.45,115,109,23,105,177,232.0,13,0.987,23,3,21,6,22.2,23,17,6,73.9,4,2,11,0.5455482629462906,1.6857142857142857,0.128,0.11814744801512288
2026,SSG,0.265,141,235,28,132,373,1039,886,0.36,0.421,0.781,123,195,4.12,1.46,124,106,21,120,194,231.66666666666666,22,0.978,27,2,13,6,31.6,28,22,6,78.6,6,0,17,0.563888022236719,1.6166666666666667,0.15599999999999997,0.11838306063522618
2026,KIA,0.262,135,240,28,131,374,1075,917,0.351,0.408,0.759,119,203,4.46,1.39,129,119,27,104,197,240.0,18,0.982,17,2,23,6,20.7,14,11,3,78.6,4,2,6,0.522715539494063,1.8942307692307692,0.14599999999999996,0.11069767441860465
2026,한화,0.259,146,238,21,136,346,1060,919,0.344,0.376,0.72,106,202,5.27,1.68,156,137,18,137,202,234.0,26,0.973,34,3,10,7,41.2,23,15,8,65.2,4,2,-10,0.4669236835187944,1.4744525547445255,0.11699999999999999,0.1
2026,NC,0.258,120,227,26,109,346,1014,879,0.349,0.394,0.743,98,198,4.34,1.32,118,110,30,109,184,228.0,16,0.983,19,1,11,4,26.7,47,37,10,78.7,12,1,2,0.5084027679706257,1.688073394495413,0.136,0.09664694280078895
2026,두산,0.254,118,234,21,110,349,1063,921,0.331,0.379,0.71,95,204,4.35,1.49,135,117,17,115,228,242.0,17,0.983,22,1,17,1,5.6,26,21,5,80.8,3,1,-17,0.4331083392951569,1.982608695652174,0.125,0.08936970837253057
2026,롯데,0.246,83,220,21,78,330,989,895,0.307,0.369,0.676,76,202,4.51,1.47,129,116,19,117,216,231.33333333333334,17,0.982,17,2,18,9,33.3,21,17,4,81.0,13,0,-46,0.29277518062048447,1.8461538461538463,0.123,0.07684529828109202
2026,키움,0.237,96,214,14,87,305,1028,903,0.315,0.338,0.653,87,220,4.43,1.56,128,117,22,97,194,237.66666666666666,24,0.975,23,0,17,4,19.0,8,7,1,87.5,7,0,-32,0.36,2.0,0.10100000000000003,0.08463035019455253
