season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko
2024,KIA,0.301,858,1542,163,812,2353,5812,5124,0.369,0.459,0.828,529,915,4.4,1.48,759,629,141,539,1125,1288.0,146,0.973,133,10,108,31,22.3,169,125,44,74.0,45,4
2024,롯데,0.285,802,1454,125,757,2196,5766,5110,0.352,0.43,0.782,494,1079,5.05,1.53,791,719,139,523,1131,1280.6666666666667,123,0.977,143,3,89,36,28.8,147,105,42,71.4,54,13
2024,LG,0.283,808,1394,115,765,2035,5725,4919,0.366,0.414,0.78,616,969,4.63,1.49,728,657,126,529,1082,1277.0,102,0.981,135,10,126,40,24.1,250,171,79,68.4,61,12
2024,KT,0.279,767,1413,145,722,2114,5808,5072,0.355,0.417,0.772,580,1123,5.11,1.47,804,729,155,443,1118,1284.3333333333333,116,0.978,110,14,142,38,21.1,88,61,27,69.3,37,4
2024,두산,0.276,789,1375,150,743,2110,5680,4975,0.35,0.424,0.774,510,1077,4.82,1.49,748,688,135,585,1083,1283.6666666666667,84,0.984,109,15,97,28,22.4,234,184,50,78.6,56,4
2024,NC,0.274,773,1371,172,737,2143,5757,5009,0.353,0.428,0.781,513,1200,5.0,1.51,801,708,137,531,1061,1275.6666666666667,108,0.979,115,8,86,51,37.2,137,104,33,75.9,47,10
2024,SSG,0.273,756,1367,152,724,2102,5647,5001,0.342,0.42,0.762,470,1095,5.25,1.55,814,740,163,630,1195,1269.6666666666667,119,0.977,123,11,119,40,25.2,188,149,39,79.3,32,3
2024,한화,0.27,745,1351,127,698,1992,5702,5005,0.347,0.398,0.745,530,1077,4.98,1.53,780,706,128,511,1130,1274.6666666666667,105,0.98,132,12,110,43,28.1,110,69,41,62.7,44,7
2024,삼성,0.269,770,1336,185,734,2129,5697,4975,0.346,0.428,0.774,531,1150,4.68,1.45,719,667,164,477,980,1282.6666666666667,81,0.984,105,8,114,50,30.5,142,113,29,79.6,39,4
2024,키움,0.264,672,1326,104,641,1908,5671,5015,0.337,0.38,0.717,492,1141,5.16,1.5,796,729,150,497,921,1272.6666666666667,104,0.98,129,10,117,40,25.5,84,71,13,84.5,33,3
