season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2024,KIA,3.8400000000000007,1.3960000000000001,581.0,481,2.53,1.310000000000001
2024,KT,4.752,1.362,661.0,623,3.52,1.2319999999999998
2024,LG,4.116,1.394,686.6666666666666,577,2.97,1.1459999999999995
2024,NC,4.279999999999999,1.3199999999999998,601.3333333333334,516,2.49,1.7899999999999991
2024,SSG,4.746,1.44,622.6666666666667,595,2.9,1.8460000000000005
2024,두산,4.582000000000001,1.3539999999999999,490.33333333333326,418,2.08,2.5020000000000007
2024,롯데,4.494000000000001,1.388,681.6666666666666,619,3.35,1.1440000000000006
2024,삼성,4.216,1.34,629.6666666666666,515,3.43,0.786
2024,키움,4.598,1.42,667.3333333333334,534,3.36,1.238
2024,한화,4.659999999999999,1.4860000000000002,526.0,482,2.65,2.0099999999999993
