순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,62415,박해민,LG,144,63,49,14,77.8,5,0
2,51907,김주원,NC,144,55,44,11,80.0,1,3
3,54812,정준재,SSG,132,45,37,8,82.2,4,0
4,66209,조수행,두산,108,37,30,7,81.1,3,1
4,69992,최정원,NC,91,36,30,6,83.3,2,0
6,50854,최지훈,SSG,140,35,28,7,80.0,6,2
6,62907,박민우,NC,117,36,28,8,77.8,8,2
8,64646,박찬호,KIA,134,33,27,6,81.8,5,0
9,67449,김성윤,삼성,127,33,26,7,78.8,8,0
9,79231,정수빈,두산,132,39,26,13,66.7,2,1
9,66606,최원준,NC,126,34,26,8,76.5,7,3
12,60558,오태곤,SSG,122,33,25,8,75.8,2,0
12,50500,황성빈,롯데,79,29,25,4,86.2,1,0
12,65357,송성문,키움,144,27,25,2,92.6,6,2
15,50458,김지찬,삼성,90,25,22,3,88.0,5,0
15,68700,이원석,한화,129,25,22,3,88.0,3,3
17,55208,케이브,두산,136,18,17,1,94.4,8,0
17,66864,안상현,SSG,102,23,17,6,73.9,2,0
17,68507,장두성,롯데,118,22,17,5,77.3,5,1
17,53764,문현빈,한화,141,23,17,6,73.9,4,2
21,65207,신민재,LG,135,24,15,9,62.5,4,1
21,67905,천재환,NC,129,20,15,5,75.0,1,0
21,50167,이주형,키움,127,16,15,1,93.8,2,2
24,63123,강승호,두산,115,17,14,3,82.4,3,1
24,69737,노시환,한화,144,19,14,5,73.7,9,1
26,52504,김동혁,롯데,93,17,13,4,76.5,2,0
26,55734,플로리얼,한화,65,16,13,3,81.3,4,2
26,64340,임지열,키움,102,19,13,6,68.4,3,0
29,65653,김호령,KIA,105,13,12,1,92.3,7,0
29,67207,이유찬,두산,89,14,12,2,85.7,3,0
31,62234,류지혁,삼성,129,17,11,6,64.7,11,2
31,64004,김민혁,KT,106,14,11,3,78.6,2,0
31,64006,심우준,한화,94,12,11,1,91.7,3,1
31,50357,박주홍,키움,102,12,11,1,91.7,2,1
35,69100,구본혁,LG,131,15,10,5,66.7,2,1
35,55252,박준순,두산,91,12,10,2,83.3,5,0
35,51344,김휘집,NC,142,12,10,2,83.3,2,1
38,79109,오지환,LG,127,16,9,7,56.3,7,0
39,52103,최원영,LG,119,12,8,4,66.7,1,2
40,78224,김재환,두산,103,9,7,2,77.8,7,0
40,52001,안현민,KT,112,8,7,1,87.5,3,2
40,54529,레이예스,롯데,144,8,7,1,87.5,6,0
40,50150,손호영,롯데,97,7,7,0,100,4,0
40,69995,서호철,NC,103,10,7,3,70.0,7,0
45,52430,김영웅,삼성,125,8,6,2,75.0,3,0
45,52415,이재현,삼성,139,7,6,1,85.7,2,0
45,64166,배정대,KT,99,9,6,3,66.7,2,0
45,79215,박건우,NC,124,10,6,4,60.0,2,0
49,66614,김규성,KIA,133,7,5,2,71.4,0,0
49,69418,박승규,삼성,64,9,5,4,55.6,0,0
49,54408,양도근,삼성,116,6,5,1,83.3,3,0
49,50208,오명진,두산,107,8,5,3,62.5,4,1
49,67893,박성한,SSG,127,11,5,6,45.5,4,1
49,69517,고승민,롯데,121,6,5,1,83.3,4,0
49,66704,김태연,한화,120,8,5,3,62.5,2,0
49,63963,권희동,NC,136,10,5,5,50.0,4,0
57,78603,김선빈,KIA,84,4,4,0,100,3,0
57,55636,박재현,KIA,58,7,4,3,57.1,0,0
57,62404,구자욱,삼성,142,5,4,1,80.0,7,0
57,76290,김현수,LG,140,4,4,0,100,4,0
57,68119,문성주,LG,135,7,4,3,57.1,8,0
57,79365,박동원,LG,139,4,4,0,100,7,0
57,76232,양의지,두산,130,6,4,2,66.7,5,1
57,79240,허경민,KT,114,5,4,1,80.0,4,0
57,52591,윤동희,롯데,97,6,4,2,66.7,1,1
57,50906,박영빈,NC,16,6,4,2,66.7,0,1
57,55397,전태현,키움,77,4,4,0,100,1,0
57,69332,주성원,키움,58,4,4,0,100,3,0
69,52605,김도영,KIA,30,3,3,0,100,1,0
69,55645,위즈덤,KIA,119,3,3,0,100,0,2
69,55438,심재훈,삼성,31,4,3,1,75.0,1,0
69,69102,문보경,LG,141,4,3,1,75.0,3,0
69,53123,오스틴,LG,116,3,3,0,100,2,0
69,50054,천성호,LG,83,4,3,1,75.0,2,2
69,66108,홍창기,LG,51,3,3,0,100,1,0
69,53554,김민석,두산,95,5,3,2,60.0,3,1
69,64468,박계범,두산,94,4,3,1,75.0,5,1
69,66928,박준영,두산,41,3,3,0,100,1,0
69,54214,전다민,두산,22,3,3,0,100,0,1
69,51003,권동진,KT,123,4,3,1,75.0,1,1
69,79402,김상수,KT,113,4,3,1,75.0,1,0
69,76313,황재균,KT,112,4,3,1,75.0,6,0
69,68205,전민재,롯데,101,6,3,3,50.0,4,0
69,52568,한태양,롯데,108,5,3,2,60.0,3,0
69,79608,안치홍,한화,66,3,3,0,100,2,0
69,52704,이상혁,한화,39,7,3,4,42.9,0,1
69,68912,김형준,NC,127,3,3,0,100,7,0
69,66965,도태훈,NC,61,3,3,0,100,1,1
69,68904,오영수,NC,67,5,3,2,60.0,0,1
90,61353,고종욱,KIA,46,3,2,1,66.7,3,0
90,67609,박정우,KIA,53,3,2,1,66.7,2,0
90,52667,윤도현,KIA,40,3,2,1,66.7,1,0
90,74540,강민호,삼성,127,4,2,2,50.0,5,0
90,61404,김헌곤,삼성,77,3,2,1,66.7,0,0
90,66409,이성규,삼성,68,4,2,2,50.0,1,0
90,68110,송찬의,LG,66,4,2,2,50.0,0,1
90,51203,안재석,두산,35,3,2,1,66.7,2,0
90,68050,강백호,KT,95,6,2,4,33.3,1,2
90,55013,스티븐슨,KT,39,2,2,0,100,5,1
90,51013,유준규,KT,35,3,2,1,66.7,1,0
90,51868,고명준,SSG,130,2,2,0,100,1,0
90,79456,이지영,SSG,76,3,2,1,66.7,2,0
90,69804,채현우,SSG,41,2,2,0,100,0,0
90,68868,최준우,SSG,78,2,2,0,100,1,0
90,78513,전준우,롯데,114,3,2,1,66.7,4,0
90,50704,임종찬,한화,17,2,2,0,100,1,0
90,62700,하주석,한화,95,3,2,1,66.7,3,0
90,54908,고승완,NC,17,3,2,1,66.7,0,0
90,51996,오태양,NC,14,3,2,1,66.7,0,0
90,63260,이우성,NC,105,3,2,1,66.7,5,1
90,53312,김건희,키움,105,3,2,1,66.7,1,0
112,50657,박민,KIA,71,1,1,0,100,0,0
112,78168,서건창,KIA,10,1,1,0,100,0,0
