순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,55730,폰세,한화,1.89,29,17,0,0,0,0,14,145,122,1.19
2,54640,네일,KIA,2.25,27,8,0,0,0,0,18,204,110,1.85
3,54833,앤더슨,SSG,2.25,30,12,0,0,0,0,7,130,134,0.97
4,53375,후라도,삼성,2.60,30,15,0,3,0,0,23,249,173,1.44
5,55239,잭로그,두산,2.81,29,10,0,0,1,0,15,204,149,1.37
6,54755,와이스,한화,2.87,30,16,0,0,0,0,7,168,150,1.12
7,61101,임찬규,LG,3.03,27,11,0,1,0,0,19,175,174,1.01
8,69446,원태인,삼성,3.24,27,12,0,0,0,0,18,173,189,0.92
9,64001,고영표,KT,3.30,26,11,0,2,0,0,14,190,119,1.60
10,50030,소형준,KT,3.30,24,10,0,1,1,0,13,189,112,1.69
11,55146,치리노스,LG,3.31,30,13,0,0,0,0,11,251,123,2.04
12,67143,손주영,LG,3.41,27,11,0,0,0,0,23,187,114,1.64
13,55903,라일리,NC,3.45,30,17,0,0,0,0,5,134,160,0.84
14,51111,송승기,LG,3.50,27,11,0,0,0,0,6,109,191,0.57
15,55633,올러,KIA,3.62,26,11,0,1,0,0,5,123,143,0.86
16,54354,헤이수스,KT,3.96,30,9,0,0,0,0,7,171,143,1.20
17,55257,콜어빈,두산,4.48,28,8,0,0,0,0,16,147,121,1.21
18,55912,로건,NC,4.53,31,7,0,0,0,0,13,188,173,1.09
19,64021,박세웅,롯데,4.93,28,11,0,0,0,0,9,171,142,1.20
20,64350,하영민,키움,4.99,28,7,0,0,0,0,8,144,164,0.88
21,77829,김광현,SSG,5.00,28,10,0,0,0,0,15,149,126,1.18
22,77637,양현종,KIA,5.06,30,7,0,0,0,0,15,153,175,0.87
1,50904,이종준,LG,0.00,0,0,0,2,0,0,0,3,0,-
2,77263,김강률,LG,1.46,0,0,1,4,4,0,2,16,10,1.60
3,61145,이우찬,LG,1.89,0,0,0,6,4,0,0,18,19,0.95
4,55167,김영우,LG,2.40,0,0,3,11,14,0,6,53,59,0.90
5,50106,유영찬,LG,2.63,0,0,2,35,23,7,3,37,30,1.23
6,55130,톨허스트,LG,2.86,8,6,0,0,0,0,4,43,38,1.13
10,75867,김진성,LG,3.44,0,0,6,2,35,0,3,51,90,0.57
12,65109,백승현,LG,3.90,0,0,1,9,5,0,1,30,30,1.00
13,54119,에르난데스,LG,4.23,14,4,0,0,0,0,2,49,72,0.68
14,63950,장현식,LG,4.35,0,0,3,14,18,1,7,63,39,1.62
15,51526,우강훈,LG,4.66,0,0,0,4,0,0,4,13,8,1.63
16,53139,박명근,LG,4.89,0,0,3,13,14,0,3,36,43,0.84
17,69134,이정용,LG,5.03,0,0,6,3,12,0,7,30,36,0.83
18,68419,최지명,LG,5.28,4,0,0,3,1,0,2,24,37,0.65
19,69108,이지강,LG,5.32,1,0,1,7,9,0,4,53,44,1.20
20,55122,김종운,LG,5.40,0,0,0,2,0,0,1,2,1,2.00
21,63145,배재준,LG,5.54,0,0,0,5,2,0,0,12,13,0.92
22,63248,함덕주,LG,6.00,0,0,2,5,1,0,1,15,36,0.42
23,55138,코엔 윈,LG,7.04,5,1,0,0,0,0,1,31,29,1.07
24,51154,김진수,LG,9.00,0,0,0,3,0,0,0,4,5,0.80
24,68159,성동현,LG,9.00,0,0,0,6,0,0,0,10,9,1.11
26,64596,김유영,LG,12.46,0,0,0,4,0,0,0,2,5,0.40
27,55121,박시원,LG,13.50,0,0,0,1,0,0,0,1,3,0.33
28,69159,정우영,LG,20.25,0,0,0,1,0,0,1,4,0,-
29,65411,김주온,LG,27.00,1,0,0,0,0,0,0,0,0,-
2,65769,김범수,한화,2.25,0,0,2,9,14,2,6,48,48,1.00
2,61666,한승혁,한화,2.25,0,0,3,10,28,1,4,79,49,1.61
4,55743,정우주,한화,2.85,2,0,3,15,5,0,0,27,51,0.53
6,51715,김기중,한화,3.07,2,0,0,2,0,0,1,17,18,0.94
7,53754,김서현,한화,3.14,0,0,2,52,38,2,4,62,51,1.22
8,76715,류현진,한화,3.23,26,9,0,0,0,0,13,156,118,1.32
9,63765,김종수,한화,3.25,0,0,4,10,5,0,4,50,72,0.69
10,52731,박준영,한화,3.60,1,0,0,0,0,0,0,3,9,0.33
11,69213,윤산흠,한화,3.78,1,0,0,4,0,0,2,21,11,1.91
12,60768,이태양,한화,3.97,0,0,0,4,1,0,1,11,11,1.00
13,52701,문동주,한화,4.02,23,11,0,2,0,0,2,109,108,1.01
14,54768,조동욱,한화,4.05,2,1,2,12,9,2,10,75,53,1.42
15,67703,박상원,한화,4.19,0,0,4,1,32,0,1,64,78,0.82
16,65707,주현상,한화,5.18,0,0,5,10,8,0,2,36,46,0.78
17,54729,황준서,한화,5.30,12,1,1,1,2,0,3,53,50,1.06
18,65056,엄상백,한화,6.58,16,1,1,0,1,0,5,62,88,0.70
19,65117,이상규,한화,8.00,0,0,0,4,0,0,1,12,10,1.20
20,55764,권민규,한화,8.44,0,0,0,2,0,0,0,4,8,0.50
21,50705,강재민,한화,9.00,0,0,0,3,0,0,0,1,5,0.20
22,54702,원종혁,한화,16.20,0,0,0,1,0,0,0,0,4,0.00
23,50711,김승일,한화,23.63,0,0,0,2,0,0,0,2,3,0.67
1,50848,김성민,SSG,0.00,0,0,1,1,0,0,0,1,1,1.00
1,55860,신지환,SSG,0.00,0,0,0,0,0,0,0,1,1,1.00
3,51897,조병현,SSG,1.60,0,0,5,55,32,2,3,41,74,0.55
4,53892,이로운,SSG,1.99,0,0,6,5,31,0,5,65,88,0.74
5,73211,노경은,SSG,2.14,0,0,3,6,36,0,2,76,79,0.96
7,65343,김택형,SSG,2.78,0,0,0,13,0,0,4,27,21,1.29
8,55855,화이트,SSG,2.87,24,11,0,0,0,0,8,162,96,1.69
9,68043,김민,SSG,2.97,0,0,5,6,22,1,11,77,37,2.08
10,54802,박기호,SSG,3.00,1,0,0,6,0,0,5,33,18,1.83
11,50812,박시후,SSG,3.27,1,0,6,6,1,0,6,65,50,1.30
12,51867,김건우,SSG,3.82,13,4,1,5,3,0,5,51,71,0.72
13,68856,최민준,SSG,3.97,8,0,2,10,2,0,9,67,70,0.96
14,52809,전영준,SSG,4.61,5,0,1,6,1,0,4,35,56,0.63
15,68092,한두솔,SSG,4.95,0,0,2,7,4,1,5,38,36,1.06
17,62869,문승원,SSG,5.13,21,4,0,0,0,0,13,105,128,0.82
18,53898,송영진,SSG,5.83,8,2,0,2,0,0,12,72,62,1.16
19,54803,최현석,SSG,6.23,0,0,0,8,0,0,2,25,12,2.08
20,61895,서진용,SSG,6.75,0,0,0,1,0,0,1,1,2,0.50
21,60841,박종훈,SSG,7.11,5,0,0,0,0,0,4,24,17,1.41
22,66858,정동윤,SSG,8.31,0,0,0,7,0,0,2,17,14,1.21
1,61365,김대우,삼성,0.00,0,0,0,0,1,0,0,0,2,0.00
1,61268,양현,삼성,0.00,0,0,0,3,1,0,0,7,2,3.50
1,63960,이상민,삼성,0.00,0,0,0,1,0,0,0,1,1,1.00
4,63492,이재익,삼성,1.23,0,0,1,1,0,0,1,11,4,2.75
5,77446,백정현,삼성,1.95,1,0,2,8,8,0,0,34,33,1.03
7,55460,가라비토,삼성,2.64,15,4,0,0,0,0,6,80,60,1.33
8,51460,이재희,삼성,3.00,0,0,0,1,3,0,0,5,13,0.38
10,68415,양창섭,삼성,3.43,6,0,3,6,3,0,8,69,64,1.08
11,50464,이승민,삼성,3.78,1,0,3,11,7,0,2,66,66,1.00
12,55455,배찬승,삼성,3.91,0,0,2,5,19,0,5,49,37,1.32
13,54443,레예스,삼성,4.14,10,4,0,0,0,0,1,53,58,0.91
14,62360,김태훈,삼성,4.48,0,0,2,9,29,0,7,51,67,0.76
15,73801,송은범,삼성,4.50,0,0,0,3,0,0,3,7,6,1.17
15,50430,홍원표,삼성,4.50,0,0,0,2,0,0,0,0,4,0.00
17,78352,임창민,삼성,4.85,0,0,1,1,3,0,2,12,19,0.63
18,65320,최원태,삼성,4.92,24,7,1,1,0,0,7,122,120,1.02
19,65062,김재윤,삼성,4.99,0,0,4,34,19,2,2,47,79,0.59
20,54401,김대호,삼성,5.14,4,0,0,5,0,0,2,23,21,1.10
21,54404,육선엽,삼성,5.34,1,0,0,8,2,0,3,28,36,0.78
22,51454,이승현,삼성,5.42,23,4,0,0,0,0,7,115,99,1.16
23,60146,이승현,삼성,6.31,0,0,2,7,9,0,0,29,42,0.69
24,53455,이호성,삼성,6.34,0,0,7,24,17,1,5,41,54,0.76
25,50441,황동재,삼성,6.97,1,0,0,5,0,0,1,22,17,1.29
26,75421,오승환,삼성,8.00,0,0,0,4,1,0,0,10,10,1.00
27,62146,최성훈,삼성,9.00,0,0,0,1,0,0,0,1,1,1.00
28,54467,정민성,삼성,36.00,1,0,0,0,0,0,0,0,2,0.00
29,66451,최충연,삼성,37.80,0,0,0,1,0,0,0,2,2,1.00
1,54944,데이비슨,NC,0.00,0,0,0,1,0,0,0,0,1,0.00
2,65933,구창모,NC,2.51,3,0,1,0,0,0,1,11,13,0.85
3,68900,김영규,NC,2.86,0,0,4,1,21,0,6,48,40,1.20
4,65949,류진욱,NC,3.27,0,0,4,51,31,5,8,79,53,1.49
5,67954,김진호,NC,3.36,0,0,4,11,30,0,5,62,75,0.83
7,52902,임지민,NC,3.86,0,0,0,3,2,0,0,2,5,0.40
8,69969,전사민,NC,4.26,0,0,7,6,17,1,9,108,62,1.74
9,54904,손주환,NC,4.35,0,0,6,7,5,0,5,61,52,1.17
10,64995,배재환,NC,4.48,0,0,2,6,32,0,5,42,76,0.55
12,68902,신민혁,NC,4.77,28,6,0,1,0,0,6,118,182,0.65
13,63959,임정호,NC,4.82,0,0,1,3,6,0,1,22,17,1.29
14,55995,김태훈,NC,5.21,0,0,0,8,0,0,0,26,24,1.08
15,67962,소이현,NC,5.63,0,0,0,4,0,0,1,7,12,0.58
16,53973,목지훈,NC,6.05,15,3,0,0,0,0,3,60,58,1.03
17,64580,김재열,NC,6.23,0,0,0,10,3,0,2,20,24,0.83
17,66920,최성영,NC,6.23,6,1,1,2,4,0,8,53,45,1.18
19,52995,김녹원,NC,6.56,16,3,0,1,0,0,7,67,93,0.72
20,68639,하준영,NC,6.75,0,0,1,2,0,0,1,4,7,0.57
21,52903,조민석,NC,6.92,2,0,0,1,0,0,3,16,16,1.00
22,52992,이준혁,NC,7.30,3,0,1,5,1,0,9,39,30,1.30
23,53919,신영우,NC,7.53,3,0,1,2,0,0,0,10,11,0.91
24,54913,김민규,NC,7.71,0,0,0,1,0,0,0,7,5,1.40
25,54903,최우석,NC,8.16,0,0,0,4,0,0,1,14,13,1.08
26,66965,도태훈,NC,9.00,0,0,0,1,0,0,0,1,1,1.00
27,77211,이용찬,NC,10.57,3,0,1,1,1,0,1,14,16,0.88
28,50992,김태경,NC,10.64,4,0,0,0,1,0,0,8,13,0.62
29,67956,김태현,NC,12.00,0,0,0,0,1,0,0,3,2,1.50
30,54900,임상현,NC,18.00,0,0,0,0,0,0,0,0,3,0.00
1,50650,최용준,KT,2.00,0,0,1,1,0,0,2,5,14,0.36
2,73117,우규민,KT,2.44,0,0,1,10,14,0,2,52,53,0.98
3,69054,이상동,KT,2.49,0,0,3,5,10,0,2,32,58,0.55
4,55046,박건우,KT,2.70,0,0,0,4,0,0,0,3,8,0.38
5,55032,패트릭,KT,3.12,9,3,0,0,4,0,4,75,60,1.25
6,67419,문용익,KT,3.14,2,1,0,5,0,0,2,27,21,1.29
9,52060,박영현,KT,3.39,0,0,5,53,43,3,3,37,83,0.45
10,50859,오원석,KT,3.67,25,11,0,0,0,0,10,132,127,1.04
11,69041,손동현,KT,3.84,0,0,5,7,17,0,0,43,74,0.58
12,69047,전용주,KT,3.95,0,0,0,0,7,0,1,20,10,2.00
14,65060,주권,KT,4.43,0,0,0,14,1,0,10,56,37,1.51
15,65048,김민수,KT,4.96,0,0,4,12,21,0,3,56,57,0.98
16,69113,임준형,KT,5.19,0,0,0,3,0,0,3,10,6,1.67
17,54063,원상현,KT,5.21,0,0,0,5,17,0,2,62,58,1.07
18,64768,조이현,KT,5.40,3,1,0,0,0,0,2,9,20,0.45
18,69032,쿠에바스,KT,5.40,18,3,0,0,0,0,8,108,118,0.92
20,65516,배제성,KT,5.67,5,1,1,0,1,0,1,26,28,0.93
21,68896,이채호,KT,6.17,1,0,0,2,0,0,1,13,12,1.08
22,79140,최동환,KT,8.68,0,0,1,9,0,0,2,20,22,0.91
23,55043,김재원,KT,10.38,0,0,0,3,0,0,1,4,4,1.00
24,55040,김동현,KT,13.50,0,0,0,2,0,0,1,1,4,0.25
25,51058,한차현,KT,16.20,0,0,0,1,0,0,0,2,2,1.00
26,67048,이정현,KT,16.62,0,0,0,6,0,0,0,5,5,1.00
27,68050,강백호,KT,18.00,0,0,0,1,0,0,0,1,1,1.00
28,53006,강건,KT,24.55,1,0,0,1,0,0,0,3,5,0.60
1,62528,김원중,롯데,2.67,0,0,4,43,38,3,3,58,48,1.21
2,64017,심재민,롯데,3.00,0,0,1,2,0,0,0,5,2,2.50
3,50596,홍민기,롯데,3.09,2,0,0,2,5,0,7,33,20,1.65
4,55532,감보아,롯데,3.58,19,7,0,0,0,0,7,121,81,1.49
5,55536,데이비슨,롯데,3.65,22,10,0,0,0,0,12,120,110,1.09
6,68556,정성종,롯데,3.86,0,0,0,0,0,0,0,4,3,1.33
7,67539,나균안,롯데,3.87,26,2,1,1,0,0,8,140,140,1.00
8,54537,정현수,롯데,3.97,0,0,2,9,15,0,5,45,46,0.98
9,65522,김강현,롯데,4.00,0,0,2,19,1,0,6,95,76,1.25
9,51594,송재영,롯데,4.00,0,0,1,6,4,0,5,24,25,0.96
11,68242,정철원,롯데,4.24,0,0,8,4,27,0,7,73,74,0.99
12,55566,김태현,롯데,4.50,0,0,0,0,0,0,0,2,3,0.67
14,52530,이민석,롯데,5.26,17,2,0,0,0,0,8,105,86,1.22
15,50556,최준용,롯데,5.30,0,0,4,4,17,0,1,43,53,0.81
16,52528,반즈,롯데,5.32,8,3,0,0,0,0,2,55,43,1.28
17,69594,박진,롯데,5.32,5,0,3,11,5,1,8,70,82,0.85
18,51546,정우준,롯데,5.40,0,0,0,2,0,0,1,2,4,0.50
19,62363,한현희,롯데,6.23,2,0,0,0,0,0,1,5,12,0.42
20,76430,김태혁,롯데,6.38,0,0,0,14,7,1,2,44,38,1.16
21,63543,구승민,롯데,7.00,0,0,0,5,2,0,0,10,8,1.25
22,67588,윤성빈,롯데,7.67,1,0,1,9,1,0,0,14,22,0.64
23,54503,박준우,롯데,8.03,1,0,1,1,1,0,0,13,12,1.08
24,55526,벨라스케즈,롯데,8.23,7,1,0,1,0,0,2,33,37,0.89
25,63512,박진형,롯데,8.44,0,0,0,4,0,0,0,7,5,1.40
26,55503,이영재,롯데,9.00,0,0,0,2,0,0,1,2,1,2.00
27,51516,김진욱,롯데,10.00,6,1,0,0,2,0,2,27,23,1.17
28,60559,박시영,롯데,11.05,0,0,1,2,1,0,0,7,5,1.40
29,55568,박세현,롯데,14.73,0,0,0,3,0,0,0,2,5,0.40
1,54608,김민재,KIA,0.00,0,0,0,1,0,0,0,3,2,1.50
1,50604,유지성,KIA,0.00,0,0,0,1,0,0,0,2,1,2.00
3,54610,성영탁,KIA,1.55,0,0,3,5,5,0,7,69,46,1.50
5,69516,김현수,KIA,2.45,0,0,0,12,0,0,0,16,27,0.59
6,69620,김기훈,KIA,3.25,0,0,1,2,1,0,0,15,38,0.39
7,66609,전상현,KIA,3.34,0,0,7,5,31,0,7,75,78,0.96
9,50662,정해영,KIA,3.79,0,0,3,50,35,2,6,59,47,1.26
10,63342,조상우,KIA,3.90,0,0,6,7,33,0,4,58,55,1.05
11,68619,윤중현,KIA,4.35,0,0,1,6,0,0,0,12,11,1.09
12,67640,유승철,KIA,4.50,0,0,0,1,0,0,0,1,2,0.50
13,55610,김태형,KIA,4.56,3,0,0,1,0,0,1,28,25,1.12
14,65665,이준영,KIA,4.76,0,0,3,5,10,0,5,35,27,1.30
15,69745,김도현,KIA,4.81,24,4,0,0,0,0,8,148,143,1.03
17,52641,황동하,KIA,5.30,3,0,1,3,1,0,1,32,38,0.84
18,53613,윤영철,KIA,5.58,13,2,0,0,0,0,7,48,52,0.92
19,50641,장재혁,KIA,6.00,0,0,0,1,0,0,1,1,4,0.25
20,51994,한재승,KIA,6.48,0,0,1,8,4,0,6,31,22,1.41
21,52639,최지민,KIA,6.58,0,0,2,10,10,0,5,47,64,0.73
22,76225,김건국,KIA,6.85,6,0,0,6,2,0,1,51,52,0.98
23,53615,이도현,KIA,6.92,2,1,0,1,0,0,1,16,14,1.14
24,51648,이의리,KIA,7.94,10,1,0,0,0,0,3,38,35,1.09
25,68928,김시훈,KIA,8.06,0,0,1,10,1,0,2,29,28,1.04
26,55663,이호민,KIA,8.59,0,0,1,6,0,0,3,15,16,0.94
27,60337,김대유,KIA,9.72,0,0,0,2,0,0,0,11,12,0.92
28,62951,이형범,KIA,11.70,0,0,0,5,0,0,0,14,9,1.56
29,54645,김민주,KIA,12.00,0,0,0,0,0,0,0,2,5,0.40
30,62754,임기영,KIA,13.00,0,0,1,2,0,0,1,6,13,0.46
31,53609,곽도규,KIA,13.50,0,0,0,1,4,0,1,3,3,1.00
32,55632,이성원,KIA,16.88,0,0,0,2,0,0,0,1,5,0.20
33,55646,김정엽,KIA,18.00,0,0,0,1,0,0,0,3,0,-
34,69643,홍원빈,KIA,27.00,0,0,0,1,0,0,0,1,3,0.33
1,55221,김한중,두산,0.00,0,0,0,2,0,0,0,3,4,0.75
2,69205,이교훈,두산,1.17,0,0,1,3,0,0,3,5,7,0.71
4,68249,박신지,두산,2.85,0,0,2,7,8,0,4,58,79,0.73
5,54263,김택연,두산,3.53,0,0,4,43,34,3,3,42,73,0.58
6,67266,박치국,두산,3.75,0,0,4,11,23,0,2,66,57,1.16
7,68830,김정우,두산,3.86,0,0,0,9,2,0,1,26,23,1.13
8,66291,이영하,두산,4.05,0,0,4,8,23,0,6,66,48,1.38
9,65639,박정수,두산,4.10,0,0,1,5,5,0,3,32,26,1.23
10,68220,곽빈,두산,4.20,19,5,0,0,0,0,4,109,108,1.01
11,55215,양재훈,두산,4.24,0,0,0,8,2,0,2,14,33,0.42
12,55268,최민석,두산,4.40,15,3,0,0,0,0,9,90,76,1.18
13,51264,최승용,두산,4.41,23,5,0,0,0,0,10,120,148,0.81
15,55267,홍민규,두산,4.59,2,0,2,11,1,0,2,30,51,0.59
16,68200,김민규,두산,4.66,1,0,1,5,0,0,0,6,16,0.38
17,67263,최원준,두산,4.71,16,1,3,1,9,0,6,96,147,0.65
18,50211,제환유,두산,4.96,3,0,0,0,0,0,1,19,20,0.95
19,67246,김명신,두산,5.40,0,0,0,1,0,0,0,10,10,1.00
19,50206,최종인,두산,5.40,0,0,0,2,0,0,0,0,0,-
21,61643,홍건희,두산,6.19,0,0,2,7,0,0,0,22,11,2.00
22,52204,이병헌,두산,6.23,0,0,0,2,6,0,1,8,18,0.44
23,52206,최지강,두산,6.34,0,0,2,9,13,0,3,39,13,3.00
24,68269,김호준,두산,6.75,0,0,0,3,2,0,2,22,4,5.50
24,52202,윤태호,두산,6.75,1,0,0,2,0,0,1,14,20,0.70
26,72523,고효준,두산,6.86,0,0,2,2,15,0,3,23,16,1.44
27,53259,최준호,두산,8.44,3,0,1,2,0,0,1,14,20,0.70
28,53262,김유성,두산,8.83,4,0,0,1,0,0,0,11,17,0.65
1,52330,주승우,키움,2.45,0,0,2,25,25,1,6,37,51,0.73
2,55348,웰스,키움,3.15,4,1,0,0,0,0,1,18,26,0.69
3,55322,로젠버그,키움,3.23,13,4,0,0,0,0,2,69,76,0.91
