날짜,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
20170331,1,두산,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20170331,1,NC,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20170331,1,LG,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
20170331,1,KIA,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
20170331,1,KT,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
20170331,6,넥센,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
20170331,6,SK,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
20170331,6,한화,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20170331,6,롯데,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20170331,6,삼성,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
20170401,1,LG,2,2,0,0,1.000,0,2승0무0패,2승,0-0-0,2-0-0
20170401,1,KIA,2,2,0,0,1.000,0,2승0무0패,2승,0-0-0,2-0-0
20170401,1,KT,2,2,0,0,1.000,0,2승0무0패,2승,0-0-0,2-0-0
20170401,4,두산,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20170401,4,NC,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20170401,4,한화,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20170401,4,롯데,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20170401,8,넥센,2,0,2,0,0.000,2,0승0무2패,2패,0-0-2,0-0-0
20170401,8,SK,2,0,2,0,0.000,2,0승0무2패,2패,0-0-2,0-0-0
20170401,8,삼성,2,0,2,0,0.000,2,0승0무2패,2패,0-0-2,0-0-0
20170402,1,LG,3,3,0,0,1.000,0,3승0무0패,3승,0-0-0,3-0-0
20170402,1,KT,3,3,0,0,1.000,0,3승0무0패,3승,0-0-0,3-0-0
20170402,3,두산,3,2,1,0,0.667,1,2승0무1패,1승,2-0-1,0-0-0
20170402,3,KIA,3,2,1,0,0.667,1,2승0무1패,1패,0-0-0,2-0-1
20170402,3,롯데,3,2,1,0,0.667,1,2승0무1패,2승,0-0-0,2-0-1
20170402,6,NC,3,1,2,0,0.333,2,1승0무2패,2패,1-0-2,0-0-0
20170402,6,한화,3,1,2,0,0.333,2,1승0무2패,1패,0-0-0,1-0-2
20170402,6,삼성,3,1,2,0,0.333,2,1승0무2패,1승,1-0-2,0-0-0
20170402,9,넥센,3,0,3,0,0.000,3,0승0무3패,3패,0-0-3,0-0-0
20170402,9,SK,3,0,3,0,0.000,3,0승0무3패,3패,0-0-3,0-0-0
20170403,1,LG,3,3,0,0,1.000,0,3승0무0패,3승,0-0-0,3-0-0
20170403,1,KT,3,3,0,0,1.000,0,3승0무0패,3승,0-0-0,3-0-0
20170403,3,두산,3,2,1,0,0.667,1,2승0무1패,1승,2-0-1,0-0-0
20170403,3,KIA,3,2,1,0,0.667,1,2승0무1패,1패,0-0-0,2-0-1
20170403,3,롯데,3,2,1,0,0.667,1,2승0무1패,2승,0-0-0,2-0-1
20170403,6,NC,3,1,2,0,0.333,2,1승0무2패,2패,1-0-2,0-0-0
20170403,6,한화,3,1,2,0,0.333,2,1승0무2패,1패,0-0-0,1-0-2
20170403,6,삼성,3,1,2,0,0.333,2,1승0무2패,1승,1-0-2,0-0-0
20170403,9,넥센,3,0,3,0,0.000,3,0승0무3패,3패,0-0-3,0-0-0
20170403,9,SK,3,0,3,0,0.000,3,0승0무3패,3패,0-0-3,0-0-0
20170404,1,LG,4,4,0,0,1.000,0,4승0무0패,4승,1-0-0,3-0-0
20170404,2,두산,4,3,1,0,0.750,1,3승0무1패,2승,2-0-1,1-0-0
20170404,2,KIA,4,3,1,0,0.750,1,3승0무1패,1승,1-0-0,2-0-1
20170404,2,롯데,4,3,1,0,0.750,1,3승0무1패,3승,1-0-0,2-0-1
20170404,2,KT,4,3,1,0,0.750,1,3승0무1패,1패,0-0-1,3-0-0
20170404,6,한화,4,2,2,0,0.500,2,2승0무2패,1승,1-0-0,1-0-2
20170404,7,NC,4,1,3,0,0.250,3,1승0무3패,3패,1-0-2,0-0-1
20170404,7,삼성,4,1,3,0,0.250,3,1승0무3패,1패,1-0-2,0-0-1
20170404,9,넥센,4,0,4,0,0.000,4,0승0무4패,4패,0-0-3,0-0-1
20170404,9,SK,4,0,4,0,0.000,4,0승0무4패,4패,0-0-3,0-0-1
20170406,1,LG,5,5,0,0,1.000,0,5승0무0패,5승,2-0-0,3-0-0
20170406,2,KIA,5,4,1,0,0.800,1,4승0무1패,2승,2-0-0,2-0-1
20170406,2,롯데,5,4,1,0,0.800,1,4승0무1패,4승,2-0-0,2-0-1
20170406,2,KT,5,4,1,0,0.800,1,4승0무1패,1승,1-0-1,3-0-0
20170406,5,두산,5,3,2,0,0.600,2,3승0무2패,1패,2-0-1,1-0-1
20170406,6,NC,5,2,3,0,0.400,3,2승0무3패,1승,1-0-2,1-0-1
20170406,6,한화,5,2,3,0,0.400,3,2승0무3패,1패,1-0-1,1-0-2
20170406,8,삼성,5,1,4,0,0.200,4,1승0무4패,2패,1-0-2,0-0-2
20170406,9,넥센,5,0,5,0,0.000,5,0승0무5패,5패,0-0-3,0-0-2
20170406,9,SK,5,0,5,0,0.000,5,0승0무5패,5패,0-0-3,0-0-2
20170407,1,LG,6,6,0,0,1.000,0,6승0무0패,6승,2-0-0,4-0-0
20170407,2,KIA,6,5,1,0,0.833,1,5승0무1패,3승,3-0-0,2-0-1
20170407,2,KT,6,5,1,0,0.833,1,5승0무1패,2승,2-0-1,3-0-0
20170407,4,롯데,6,4,2,0,0.667,2,4승0무2패,1패,2-0-1,2-0-1
20170407,5,두산,6,3,3,0,0.500,3,3승0무3패,2패,2-0-2,1-0-1
20170407,5,NC,6,3,3,0,0.500,3,3승0무3패,2승,1-0-2,2-0-1
20170407,7,한화,6,2,4,0,0.333,4,2승0무4패,2패,1-0-1,1-0-3
20170407,8,넥센,6,1,5,0,0.167,5,1승0무5패,1승,0-0-3,1-0-2
20170407,8,삼성,6,1,5,0,0.167,5,1승0무5패,3패,1-0-2,0-0-3
20170407,10,SK,6,0,6,0,0.000,6,0승0무6패,6패,0-0-4,0-0-2
20170408,1,LG,7,6,1,0,0.857,0,6승0무1패,1패,2-0-0,4-0-1
20170408,1,KT,7,6,1,0,0.857,0,6승0무1패,3승,3-0-1,3-0-0
20170408,3,KIA,7,5,2,0,0.714,1,5승0무2패,1패,3-0-1,2-0-1
20170408,3,롯데,7,5,2,0,0.714,1,5승0무2패,1승,3-0-1,2-0-1
20170408,5,두산,7,3,4,0,0.429,3,3승0무4패,3패,2-0-3,1-0-1
20170408,5,NC,7,3,4,0,0.429,3,3승0무4패,1패,1-0-2,2-0-2
20170408,5,한화,7,3,4,0,0.429,3,3승0무4패,1승,1-0-1,2-0-3
20170408,8,넥센,7,2,5,0,0.286,4,2승0무5패,2승,0-0-3,2-0-2
20170408,9,SK,7,1,6,0,0.143,5,1승0무6패,1승,1-0-4,0-0-2
20170408,9,삼성,7,1,6,0,0.143,5,1승0무6패,4패,1-0-2,0-0-4
20170409,1,KT,8,7,1,0,0.875,0,7승0무1패,4승,4-0-1,3-0-0
20170409,2,LG,8,6,2,0,0.750,1,6승0무2패,2패,2-0-0,4-0-2
20170409,2,KIA,8,6,2,0,0.750,1,6승0무2패,1승,4-0-1,2-0-1
20170409,2,롯데,8,6,2,0,0.750,1,6승0무2패,2승,4-0-1,2-0-1
20170409,5,두산,8,3,5,0,0.375,4,3승0무5패,4패,2-0-4,1-0-1
20170409,5,NC,8,3,5,0,0.375,4,3승0무5패,2패,1-0-2,2-0-3
20170409,5,넥센,8,3,5,0,0.375,4,3승0무5패,3승,0-0-3,3-0-2
20170409,5,한화,8,3,5,0,0.375,4,3승0무5패,1패,1-0-1,2-0-4
20170409,9,SK,8,2,6,0,0.250,5,2승0무6패,2승,2-0-4,0-0-2
20170409,10,삼성,8,1,7,0,0.125,6,1승0무7패,5패,1-0-2,0-0-5
20170411,1,롯데,9,7,2,0,0.778,0,7승0무2패,3승,4-0-1,3-0-1
20170411,1,KT,9,7,2,0,0.778,0,7승0무2패,1패,4-0-1,3-0-1
20170411,3,LG,9,6,3,0,0.667,1,6승0무3패,3패,2-0-0,4-0-3
20170411,3,KIA,9,6,3,0,0.667,1,6승0무3패,1패,4-0-1,2-0-2
20170411,5,두산,9,4,5,0,0.444,3,4승0무5패,1승,3-0-4,1-0-1
20170411,5,NC,9,4,5,0,0.444,3,4승0무5패,1승,2-0-2,2-0-3
20170411,5,넥센,9,4,5,0,0.444,3,4승0무5패,4승,1-0-3,3-0-2
20170411,5,한화,9,4,5,0,0.444,3,4승0무5패,1승,1-0-1,3-0-4
20170411,9,SK,9,2,7,0,0.222,5,2승0무7패,1패,2-0-5,0-0-2
20170411,10,삼성,9,1,8,0,0.111,6,1승0무8패,6패,1-0-3,0-0-5
20170412,1,KIA,10,7,3,0,0.700,0,7승0무3패,1승,4-0-1,3-0-2
20170412,1,롯데,10,7,3,0,0.700,0,7승0무3패,1패,4-0-1,3-0-2
20170412,1,KT,10,7,3,0,0.700,0,7승0무3패,2패,4-0-1,3-0-2
20170412,4,LG,10,6,4,0,0.600,1,6승0무4패,4패,2-0-0,4-0-4
20170412,5,NC,10,5,5,0,0.500,2,5승0무5패,2승,3-0-2,2-0-3
20170412,5,넥센,10,5,5,0,0.500,2,5승0무5패,5승,2-0-3,3-0-2
20170412,5,한화,10,5,5,0,0.500,2,5승0무5패,2승,1-0-1,4-0-4
20170412,8,두산,10,4,6,0,0.400,3,4승0무6패,1패,3-0-5,1-0-1
20170412,9,SK,10,3,7,0,0.300,4,3승0무7패,1승,3-0-5,0-0-2
20170412,10,삼성,10,1,9,0,0.100,6,1승0무9패,7패,1-0-4,0-0-5
20170413,1,KIA,11,8,3,0,0.727,0,7승0무3패,2승,4-0-1,4-0-2
20170413,1,KT,11,8,3,0,0.727,0,7승0무3패,1승,4-0-1,4-0-2
20170413,3,롯데,11,7,4,0,0.636,1,7승0무3패,2패,4-0-1,3-0-3
20170413,4,NC,11,6,5,0,0.545,2,5승0무5패,3승,4-0-2,2-0-3
20170413,4,LG,11,6,5,0,0.545,2,5승0무5패,5패,2-0-0,4-0-5
20170413,6,넥센,11,5,6,0,0.455,3,5승0무5패,1패,2-0-4,3-0-2
20170413,6,한화,11,5,6,0,0.455,3,5승0무5패,1패,1-0-1,4-0-5
20170413,8,두산,11,4,7,0,0.364,4,3승0무7패,2패,3-0-6,1-0-1
20170413,8,SK,11,4,7,0,0.364,4,4승0무6패,2승,4-0-5,0-0-2
20170413,10,삼성,11,2,9,0,0.182,6,2승0무8패,1승,2-0-4,0-0-5
20170414,1,KIA,12,9,3,0,0.750,0,7승0무3패,3승,5-0-1,4-0-2
20170414,2,롯데,12,8,4,0,0.667,1,7승0무3패,1승,5-0-1,3-0-3
20170414,2,KT,12,8,4,0,0.667,1,6승0무4패,1패,4-0-1,4-0-3
20170414,4,LG,12,7,5,0,0.583,2,5승0무5패,1승,3-0-0,4-0-5
20170414,5,NC,12,6,6,0,0.500,3,5승0무5패,1패,4-0-3,2-0-3
20170414,6,두산,12,5,7,0,0.417,4,4승0무6패,1승,3-0-6,2-0-1
20170414,6,넥센,12,5,7,0,0.417,4,5승0무5패,2패,2-0-4,3-0-3
20170414,6,SK,12,5,7,0,0.417,4,5승0무5패,3승,4-0-5,1-0-2
20170414,6,한화,12,5,7,0,0.417,4,4승0무6패,2패,1-0-2,4-0-5
20170414,10,삼성,12,2,10,0,0.167,7,2승0무8패,1패,2-0-4,0-0-6
20170415,1,KIA,13,10,3,0,0.769,0,8승0무2패,4승,6-0-1,4-0-2
20170415,2,롯데,13,9,4,0,0.692,1,7승0무3패,2승,6-0-1,3-0-3
20170415,2,KT,13,9,4,0,0.692,1,6승0무4패,1승,4-0-1,5-0-3
20170415,4,LG,13,7,6,0,0.538,3,4승0무6패,1패,3-0-1,4-0-5
20170415,5,두산,13,6,7,0,0.462,4,4승0무6패,2승,3-0-6,3-0-1
20170415,5,NC,13,6,7,0,0.462,4,5승0무5패,2패,4-0-4,2-0-3
