순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,62415,박해민,삼성,144,52,40,12,76.9,3,2
2,67650,버나디나,KIA,139,39,32,7,82.1,8,1
3,77532,손아섭,롯데,144,33,25,8,75.8,4,0
4,73153,이대형,KT,100,27,23,4,85.2,0,2
5,79215,박건우,두산,131,23,20,3,87.0,3,1
5,66508,나경민,롯데,97,23,20,3,87.0,9,1
7,64006,심우준,KT,103,23,18,5,78.3,2,2
8,62947,나성범,NC,125,24,17,7,70.8,3,2
9,61353,고종욱,넥센,123,20,16,4,80.0,4,0
9,64300,김하성,넥센,141,24,16,8,66.7,6,0
9,63704,노수광,SK,131,25,16,9,64.0,2,1
12,78168,서건창,넥센,139,21,15,6,71.4,4,0
12,60558,오태곤,KT,135,24,15,9,62.5,5,1
14,60566,이상호,NC,95,14,12,2,85.7,4,1
14,67341,이정후,넥센,144,16,12,4,75.0,6,0
14,64610,강한울,삼성,135,19,12,7,63.2,4,0
17,62907,박민우,NC,106,12,11,1,91.7,4,0
17,78135,이형종,LG,128,17,11,6,64.7,2,0
17,64868,조용호,SK,69,13,11,2,84.6,3,1
17,61404,김헌곤,삼성,123,13,11,2,84.6,3,2
21,62934,김성욱,NC,124,14,10,4,71.4,2,0
21,79109,오지환,LG,107,15,10,5,66.7,4,1
21,71837,김강민,SK,88,14,10,4,71.4,0,1
21,66740,로사리오,한화,119,15,10,5,66.7,6,1
21,74163,이용규,한화,57,13,10,3,76.9,1,2
21,67598,번즈,롯데,116,17,10,7,58.8,12,2
21,62404,구자욱,삼성,144,14,10,4,71.4,3,0
28,78813,모창민,NC,136,15,9,6,60.0,6,1
28,66968,이재율,NC,52,10,9,1,90.0,2,1
28,73339,이종욱,NC,107,11,9,2,81.8,4,0
28,78217,김용의,LG,60,13,9,4,69.2,2,0
28,70410,김주찬,KIA,122,11,9,2,81.8,5,0
28,76509,김문호,롯데,131,13,9,4,69.2,5,0
28,78517,하준호,KT,101,14,9,5,64.3,3,1
35,79240,허경민,두산,130,12,8,4,66.7,3,0
35,61186,이천웅,LG,75,11,8,3,72.7,2,0
35,76849,이명기,KIA,115,15,8,7,53.3,2,0
35,71347,장민석,한화,88,12,8,4,66.7,3,1
39,74206,김재호,두산,91,8,7,1,87.5,4,2
39,62234,류지혁,두산,125,12,7,5,58.3,2,0
39,77248,오재원,두산,127,14,7,7,50.0,4,1
39,79608,안치홍,KIA,132,7,7,0,100,2,0
39,62700,하주석,한화,111,13,7,6,53.8,7,0
44,75808,정근우,한화,105,12,6,6,50.0,3,2
45,79192,채은성,LG,114,11,5,6,45.5,4,1
45,62556,신본기,롯데,128,7,5,2,71.4,2,2
45,67025,로하스,KT,83,13,5,8,38.5,4,0
48,78224,김재환,두산,144,5,4,1,80.0,4,0
48,67935,스크럭스,NC,115,4,4,0,100,7,1
48,72133,박용택,LG,138,6,4,2,66.7,7,0
48,72456,손주인,LG,115,4,4,0,100,2,0
48,99606,정성훈,LG,115,7,4,3,57.1,3,0
48,78603,김선빈,KIA,137,8,4,4,50.0,4,0
48,61869,정진기,SK,90,4,4,0,100,0,0
48,62797,양성우,한화,118,8,4,4,50.0,8,1
48,66702,이시원,한화,67,6,4,2,66.7,0,0
48,61204,김동한,롯데,81,7,4,3,57.1,0,0
48,78566,황진수,롯데,60,4,4,0,100,0,0
48,66462,김성훈,삼성,47,6,4,2,66.7,1,0
48,79456,이지영,삼성,105,7,4,3,57.1,1,0
48,63450,정현,KT,124,6,4,2,66.7,3,1
62,76249,민병헌,두산,123,7,3,4,42.9,2,0
62,66209,조수행,두산,80,5,3,2,60.0,2,0
62,76267,최주환,두산,129,5,3,2,60.0,2,1
62,63963,권희동,NC,141,6,3,3,50.0,4,0
62,62353,박정음,넥센,81,7,3,4,42.9,4,0
62,65115,안익훈,LG,108,5,3,2,60.0,4,1
62,64153,양석환,LG,132,10,3,7,30.0,5,1
62,63913,최재원,LG,69,6,3,3,50.0,3,0
62,65103,히메네스,LG,51,8,3,5,37.5,2,0
62,62864,김민식,KIA,137,6,3,3,50.0,4,0
62,65653,김호령,KIA,98,5,3,2,60.0,0,0
62,76368,유재신,KIA,25,4,3,1,75.0,0,0
62,66606,최원준,KIA,72,5,3,2,60.0,4,1
62,72860,이대수,SK,58,3,3,0,100,2,0
62,78756,오선진,한화,65,8,3,5,37.5,0,0
62,73136,이성열,한화,81,3,3,0,100,4,1
62,60523,정훈,롯데,68,4,3,1,75.0,0,0
62,61463,김정혁,삼성,31,4,3,1,75.0,0,0
62,72466,조동찬,삼성,122,3,3,0,100,4,1
81,62244,박세혁,두산,97,3,2,1,66.7,2,0
81,66244,에반스,두산,138,2,2,0,100,1,0
81,63920,김준완,NC,104,4,2,2,50.0,2,0
81,62016,윤병호,NC,49,2,2,0,100,0,0
81,79365,박동원,넥센,103,3,2,1,66.7,7,0
81,64346,임병욱,넥센,21,2,2,0,100,1,0
81,63123,강승호,LG,85,4,2,2,50.0,1,2
81,61102,유강남,LG,118,2,2,0,100,1,0
81,63077,황목치승,LG,45,2,2,0,100,1,0
81,72559,신종길,KIA,64,3,2,1,66.7,0,1
81,66838,김동엽,SK,125,6,2,4,33.3,2,2
81,76802,김성현,SK,130,3,2,1,66.7,2,0
