순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,65331,피어밴드,KT,3.04,26,8,0,1,0,0,15,159,168,0.95
2,74513,장원준,두산,3.14,29,14,0,1,0,0,19,235,152,1.55
3,63938,해커,NC,3.42,26,12,0,1,0,0,17,191,168,1.14
4,76455,차우찬,LG,3.43,28,10,0,0,0,0,11,154,201,0.77
5,77637,양현종,KIA,3.44,31,20,0,1,0,0,22,190,199,0.95
6,66643,헥터,KIA,3.48,30,20,0,1,0,0,17,225,204,1.10
7,65856,켈리,SK,3.60,30,16,0,0,0,0,16,223,138,1.62
8,64021,박세웅,롯데,3.68,28,12,0,0,0,0,17,213,152,1.40
9,65546,레일리,롯데,3.80,30,13,0,1,0,0,19,211,166,1.27
10,62698,소사,LG,3.88,29,11,0,3,1,1,17,172,208,0.83
11,61240,니퍼트,두산,4.06,30,14,0,0,0,0,14,167,181,0.92
12,60841,박종훈,SK,4.10,28,12,0,0,0,0,12,178,143,1.24
13,67645,팻딘,KIA,4.14,29,9,0,1,0,0,21,173,173,1.00
14,74454,윤성환,삼성,4.28,28,12,0,1,0,0,16,168,195,0.86
15,67313,브리검,넥센,4.38,24,10,0,0,0,0,20,188,124,1.52
16,65320,최원태,넥센,4.46,25,11,0,0,0,0,16,162,136,1.19
17,79229,유희관,두산,4.53,29,11,0,2,1,0,20,198,226,0.88
18,67033,로치,KT,4.69,28,4,0,1,0,0,22,238,125,1.90
19,62869,문승원,SK,5.33,29,6,0,1,0,0,14,176,178,0.99
1,65616,이민우,KIA,2.84,2,1,0,1,0,0,0,11,18,0.61
2,60634,임기준,KIA,3.27,4,0,0,3,2,1,1,30,21,1.43
5,65696,김명찬,KIA,3.60,0,0,0,0,0,0,0,9,3,3.00
6,62754,임기영,KIA,3.65,19,8,0,3,1,0,14,142,119,1.19
7,95657,임창용,KIA,3.78,0,0,8,23,20,1,3,45,42,1.07
9,72523,고효준,KIA,4.28,1,0,3,4,4,0,4,41,37,1.11
10,62648,김윤동,KIA,4.59,1,0,7,28,27,3,6,78,87,0.90
11,76350,김세현,KIA,5.40,0,0,1,29,33,3,3,48,51,0.94
12,60636,심동섭,KIA,5.68,2,1,1,6,18,1,2,41,53,0.77
13,79617,정용운,KIA,5.92,11,3,0,5,0,0,10,52,85,0.61
14,61643,홍건희,KIA,6.41,2,0,1,4,2,0,11,50,70,0.71
15,67646,박진태,KIA,6.55,2,0,0,10,7,0,7,74,67,1.10
