date,rank,team,games,wins,losses,draws,win_rate,games_behind,recent_10,streak,home_record,away_record,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,streak_type,streak_count,games_played_ratio,remaining_games,home_away_win_diff,month,win_rate_delta_30d,rank_delta_30d,recent20_win_rate,recent30_win_rate,games_behind_5th,wins_to_5th
2025-03-22,1,KIA,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,2025,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.006944444444444444,143,1.0,3,,,,,,
2025-03-23,4,KIA,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0,2025,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-1,1,0.013888888888888888,142,0.5,3,,,,,,
2025-03-25,3,KIA,3,2,1,0,0.667,1.0,2승0무1패,1승,2-0-1,0-0-0,2025,2.0,0.0,1.0,0.6666666666666666,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1,1,0.020833333333333332,141,0.6666666666666666,3,,,,,,
2025-03-26,4,KIA,4,2,2,0,0.5,2.0,2승0무2패,1패,2-0-2,0-0-0,2025,2.0,0.0,2.0,0.5,2.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,-1,1,0.027777777777777776,140,0.5,3,,,,,,
2025-03-27,6,KIA,5,2,3,0,0.4,3.0,2승0무3패,2패,2-0-3,0-0-0,2025,2.0,0.0,3.0,0.4,2.0,0.0,3.0,0.4,0.0,0.0,0.0,0.0,-1,2,0.034722222222222224,139,0.4,3,,,,,,
2025-03-28,7,KIA,6,2,4,0,0.333,4.0,2승0무4패,3패,2-0-3,0-0-1,2025,2.0,0.0,4.0,0.3333333333333333,2.0,0.0,3.0,0.4,0.0,0.0,1.0,0.0,-1,3,0.041666666666666664,138,0.4,3,,,,,,
2025-03-29,8,KIA,7,2,5,0,0.286,5.0,2승0무5패,4패,2-0-3,0-0-2,2025,2.0,0.0,5.0,0.2857142857142857,2.0,0.0,3.0,0.4,0.0,0.0,2.0,0.0,-1,4,0.04861111111111111,137,0.4,3,,,,,,
2025-03-30,7,KIA,8,3,5,0,0.375,4.5,3승0무5패,1승,2-0-3,1-0-2,2025,3.0,0.0,5.0,0.375,2.0,0.0,3.0,0.4,1.0,0.0,2.0,0.3333333333333333,1,1,0.05555555555555555,136,0.06666666666666671,3,,,,,1.0,1.0
2025-04-02,8,KIA,9,3,6,0,0.333,4.5,3승0무6패,1패,2-0-4,1-0-2,2025,3.0,0.0,6.0,0.3333333333333333,2.0,0.0,4.0,0.3333333333333333,1.0,0.0,2.0,0.3333333333333333,-1,1,0.0625,135,0.0,4,,,,,1.0,1.0
2025-04-03,7,KIA,10,4,6,0,0.4,4.5,4승0무6패,1승,3-0-4,1-0-2,2025,4.0,0.0,6.0,0.4,3.0,0.0,4.0,0.42857142857142855,1.0,0.0,2.0,0.3333333333333333,1,1,0.06944444444444445,134,0.09523809523809523,4,,,,,0.5,0.0
2025-04-04,9,KIA,11,4,7,0,0.364,5.5,3승0무7패,1패,3-0-4,1-0-3,2025,3.0,0.0,7.0,0.3,3.0,0.0,4.0,0.42857142857142855,1.0,0.0,3.0,0.25,-1,1,0.0763888888888889,133,0.17857142857142855,4,,,,,1.0,1.0
2025-04-05,9,KIA,11,4,7,0,0.364,5.5,3승0무7패,1패,3-0-4,1-0-3,2025,3.0,0.0,7.0,0.3,3.0,0.0,4.0,0.42857142857142855,1.0,0.0,3.0,0.25,-1,1,0.0763888888888889,133,0.17857142857142855,4,,,,,1.0,1.0
2025-04-06,9,KIA,12,4,8,0,0.333,6.5,3승0무7패,2패,3-0-4,1-0-4,2025,3.0,0.0,7.0,0.3,3.0,0.0,4.0,0.42857142857142855,1.0,0.0,4.0,0.2,-1,2,0.08333333333333333,132,0.22857142857142854,4,,,,,1.5,2.0
2025-04-08,7,KIA,13,5,8,0,0.385,6.5,3승0무7패,1승,3-0-4,2-0-4,2025,3.0,0.0,7.0,0.3,3.0,0.0,4.0,0.42857142857142855,2.0,0.0,4.0,0.3333333333333333,1,1,0.09027777777777778,131,0.09523809523809523,4,,,,,,
2025-04-09,6,KIA,14,6,8,0,0.429,5.5,4승0무6패,2승,3-0-4,3-0-4,2025,4.0,0.0,6.0,0.4,3.0,0.0,4.0,0.42857142857142855,3.0,0.0,4.0,0.42857142857142855,1,2,0.09722222222222222,130,0.0,4,,,,,0.5,1.0
2025-04-10,7,KIA,15,6,9,0,0.4,6.5,4승0무6패,1패,3-0-4,3-0-5,2025,4.0,0.0,6.0,0.4,3.0,0.0,4.0,0.42857142857142855,3.0,0.0,5.0,0.375,-1,1,0.10416666666666667,129,0.05357142857142855,4,,,,,1.0,0.0
