season,team,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg
2025,KIA,0.27559999999999996,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.45780000000000004
2025,KT,0.2786,52,277,0.7694,0.816,1.0605666753314271,0.36560000000000004,0.40380000000000005
2025,LG,0.29359999999999997,43,372,0.7778,0.7873333333333333,1.0122567926630668,0.38079999999999997,0.39699999999999996
2025,NC,0.2656,47,271,0.7572,0.8029999999999999,1.060486001056524,0.3588,0.3984
2025,SSG,0.27080000000000004,46,253,0.7232000000000001,0.7496666666666667,1.0365966076696165,0.3438,0.3794
2025,두산,0.27419999999999994,63,301,0.7776,0.8186666666666667,1.05281207133059,0.3536,0.42399999999999993
2025,롯데,0.2802,43,319,0.7752,0.7833333333333333,1.0104919160646715,0.36760000000000004,0.40759999999999996
2025,삼성,0.2934,113,454,0.8802,0.91,1.033855941831402,0.377,0.5032
2025,키움,0.26539999999999997,67,301,0.7565999999999999,0.7923333333333332,1.0472288307339852,0.34120000000000006,0.4154
2025,한화,0.28600000000000003,75,362,0.7956,0.8293333333333334,1.0423998659292777,0.3546,0.441
