순위,선수ID,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
110,65869,이현석,SK,포수,58,28,283 1/3,2,0,202,22,1,0.991,0,33,10,23.3
110,76118,원종현,NC,투수,58,0,57,1,0,4,7,0,0.917,0,0,0,-
110,67737,김진영,한화,투수,58,0,54,0,1,2,7,1,1.000,0,0,0,-
110,62528,김원중,롯데,투수,58,0,59 1/3,1,0,5,7,1,0.923,0,0,0,-
115,63894,김사윤,SK,투수,57,0,47 1/3,0,0,0,3,0,1.000,0,0,0,-
115,64893,박민호,SK,투수,57,0,52,0,2,1,11,0,1.000,0,0,0,-
115,78247,홍상삼,KIA,투수,57,0,48,0,0,1,4,0,1.000,0,0,0,-
115,63543,구승민,롯데,투수,57,0,60 1/3,0,0,2,2,1,1.000,0,0,0,-
119,73801,송은범,LG,투수,56,1,56,0,0,2,5,1,1.000,0,0,0,-
119,65643,문경찬,NC,투수,56,0,52,0,0,0,2,0,1.000,0,0,0,-
119,65062,김재윤,KT,투수,56,0,60 2/3,0,0,1,5,0,1.000,0,0,0,-
122,64300,김하성,키움,3루수,55,41,360 1/3,6,0,21,93,11,0.950,0,0,0,-
122,64012,송민섭,KT,좌익수,55,0,93 2/3,0,0,19,1,0,1.000,0,0,0,-
122,64012,송민섭,KT,우익수,55,0,85 1/3,0,0,15,1,0,1.000,0,0,0,-
122,62404,구자욱,삼성,좌익수,55,53,445,1,0,114,6,0,0.992,0,0,0,-
122,63464,윤대경,한화,투수,55,0,51,1,0,3,4,2,0.875,0,0,0,-
122,71564,이대호,롯데,1루수,55,53,443 1/3,2,0,460,38,46,0.996,0,0,0,-
128,78168,서건창,키움,2루수,54,52,440 2/3,3,0,124,145,40,0.989,0,0,0,-
128,79140,최동환,LG,투수,54,0,57,2,0,3,2,0,0.714,0,0,0,-
128,64047,조현우,KT,투수,54,0,46 1/3,0,0,5,10,0,1.000,0,0,0,-
128,61404,김헌곤,삼성,우익수,54,41,358,0,0,111,3,2,1.000,0,0,0,-
128,61700,강경학,한화,2루수,54,42,329 1/3,1,0,93,108,31,0.995,0,0,0,-
128,63765,김종수,한화,투수,54,0,50,2,1,4,7,0,0.846,0,0,0,-
134,65898,김웅빈,키움,1루수,53,44,381 1/3,3,0,364,24,37,0.992,0,0,0,-
134,62360,김태훈,키움,투수,53,2,64,1,3,2,14,2,0.941,0,0,0,-
134,63342,조상우,키움,투수,53,0,54 1/3,0,0,2,2,0,1.000,0,0,0,-
134,60768,이태양,SK,투수,53,0,56,0,0,2,4,0,1.000,0,0,0,-
134,64995,배재환,NC,투수,53,0,43,0,0,4,4,0,1.000,0,0,0,-
134,75566,이원석,삼성,1루수,53,49,387 1/3,2,0,322,29,28,0.994,0,0,0,-
134,71752,김태균,한화,1루수,53,51,402,0,0,352,21,31,1.000,0,0,0,-
134,63512,박진형,롯데,투수,53,0,42 2/3,0,0,4,4,0,1.000,0,0,0,-
142,64051,이영준,키움,투수,52,0,40,0,1,3,5,2,1.000,0,0,0,-
142,69100,구본혁,LG,3루수,52,9,157 2/3,3,0,7,38,8,0.938,0,0,0,-
142,73117,우규민,삼성,투수,52,0,48,0,0,2,12,2,1.000,0,0,0,-
142,60523,정훈,롯데,1루수,52,42,373 2/3,1,0,342,30,29,0.997,0,0,0,-
142,60523,정훈,롯데,중견수,52,49,394 1/3,1,0,95,3,1,0.990,0,0,0,-
147,62895,한유섬,SK,우익수,51,48,392,2,0,78,1,1,0.975,0,0,0,-
147,61457,임현준,삼성,투수,51,0,25 1/3,1,0,6,2,1,0.889,0,0,0,-
147,67421,최지광,삼성,투수,51,0,44 1/3,1,0,3,5,0,0.889,0,0,0,-
150,67304,김혜성,키움,유격수,50,35,322,3,0,58,114,39,0.983,0,0,0,-
