순위,선수ID,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,72443,최형우,KIA,0.354,140,600,522,93,185,37,1,28,308,115,0,3,70,5,5,101,9,0.590,0.433,1.023,55,0.374,1.000
2,77532,손아섭,롯데,0.352,141,611,540,98,190,43,0,11,266,85,1,7,61,4,2,56,9,0.493,0.415,0.908,59,0.333,0.667
3,67025,로하스,KT,0.349,142,628,550,116,192,39,1,47,374,135,0,8,65,5,5,132,11,0.680,0.417,1.097,58,0.351,0.000
4,62907,박민우,NC,0.345,126,530,467,82,161,27,5,8,222,63,2,10,36,2,15,48,12,0.475,0.402,0.877,47,0.388,0.600
5,69209,페르난데스,두산,0.340,144,668,586,104,199,29,0,21,291,105,0,11,58,1,13,42,26,0.497,0.404,0.901,62,0.327,0.000
6,67341,이정후,키움,0.333,140,617,544,85,181,49,5,15,285,101,2,8,59,6,4,47,16,0.524,0.397,0.921,52,0.354,0.500
7,79240,허경민,두산,0.332,117,487,437,70,145,25,1,7,193,58,3,7,35,2,5,28,10,0.442,0.382,0.824,45,0.375,0.000
8,76290,김현수,LG,0.331,142,619,547,98,181,35,2,22,286,119,0,7,63,7,2,53,9,0.523,0.397,0.920,51,0.446,0.000
9,68050,강백호,KT,0.330,129,574,500,95,165,36,1,23,272,89,0,3,66,9,5,93,7,0.544,0.411,0.955,48,0.320,0.500
10,76232,양의지,NC,0.328,130,528,461,86,151,26,1,33,278,124,1,6,46,7,14,47,11,0.603,0.400,1.003,45,0.425,0.222
11,62947,나성범,NC,0.324,130,584,525,115,170,37,2,34,313,112,0,1,49,2,9,148,6,0.596,0.390,0.986,53,0.338,1.000
12,76313,황재균,KT,0.312,134,600,541,108,169,35,5,21,277,97,3,4,47,0,5,98,12,0.512,0.370,0.882,49,0.324,0.500
13,66838,김동엽,삼성,0.312,115,451,413,60,129,21,0,20,210,74,1,4,29,0,4,79,14,0.508,0.360,0.868,32,0.315,0.400
14,75334,오재일,두산,0.312,127,534,471,62,147,32,0,16,227,89,0,2,61,1,0,92,12,0.482,0.390,0.872,43,0.376,0.000
15,62404,구자욱,삼성,0.307,118,510,446,70,137,27,2,15,213,78,1,4,51,3,8,91,4,0.478,0.385,0.863,40,0.336,0.000
16,76267,최주환,두산,0.306,140,574,509,63,156,29,4,16,241,88,1,10,47,5,7,66,7,0.473,0.366,0.839,41,0.349,0.750
17,69652,터커,KIA,0.306,142,631,542,100,166,40,0,32,302,113,0,4,76,3,9,67,12,0.557,0.398,0.955,44,0.300,0.000
18,74465,박석민,NC,0.306,123,448,356,58,109,15,0,14,166,63,2,4,75,2,10,62,11,0.466,0.436,0.902,20,0.327,0.533
19,76849,이명기,NC,0.306,136,540,477,82,146,18,3,2,176,45,5,4,50,0,4,78,6,0.369,0.374,0.743,41,0.311,0.154
20,64300,김하성,키움,0.306,138,622,533,111,163,24,1,30,279,109,3,3,75,3,8,68,12,0.523,0.397,0.920,45,0.319,0.333
21,79402,김상수,삼성,0.304,120,471,404,71,123,18,3,5,162,47,2,2,55,1,8,55,16,0.401,0.397,0.798,33,0.311,0.000
22,79215,박건우,두산,0.304,129,551,487,103,148,40,0,14,230,70,3,7,42,2,12,65,9,0.472,0.369,0.841,43,0.280,0.500
23,79109,오지환,LG,0.300,141,591,527,95,158,41,7,10,243,71,5,5,45,1,9,116,4,0.461,0.362,0.823,41,0.293,0.333
24,79231,정수빈,두산,0.298,141,559,490,84,146,17,8,5,194,59,7,5,55,3,2,56,10,0.396,0.368,0.764,39,0.265,1.000
25,64868,조용호,KT,0.296,132,482,409,73,121,15,0,0,136,32,5,2,64,1,2,83,6,0.333,0.392,0.725,29,0.317,0.364
26,60523,정훈,롯데,0.295,111,476,410,72,121,19,1,11,175,58,2,4,56,0,4,85,8,0.427,0.382,0.809,36,0.357,0.000
27,79192,채은성,LG,0.293,109,464,416,59,122,17,2,15,188,88,0,7,32,1,9,69,12,0.452,0.351,0.803,35,0.352,0.200
28,71564,이대호,롯데,0.292,144,611,542,67,158,27,0,20,245,110,0,11,53,9,5,68,21,0.452,0.354,0.806,40,0.323,0.667
29,78629,나지완,KIA,0.291,137,556,468,73,136,19,1,17,208,92,0,6,64,1,18,114,6,0.444,0.392,0.836,32,0.338,0.250
30,62415,박해민,삼성,0.290,132,541,489,84,142,18,5,11,203,55,7,3,39,1,3,77,7,0.415,0.345,0.760,46,0.294,0.600
31,64166,배정대,KT,0.289,144,615,533,88,154,25,3,13,224,65,5,4,68,0,5,142,9,0.420,0.372,0.792,42,0.277,0.000
32,74206,김재호,두산,0.289,120,458,402,48,116,15,1,2,139,39,2,5,45,1,4,45,17,0.346,0.362,0.708,29,0.252,0.000
33,79608,안치홍,롯데,0.286,124,460,412,49,118,28,0,8,170,54,4,2,35,2,7,47,11,0.413,0.351,0.764,30,0.288,0.286
34,74163,이용규,한화,0.286,120,487,419,60,120,14,2,1,141,32,2,1,59,0,6,36,9,0.337,0.381,0.718,31,0.294,0.000
35,67304,김혜성,키움,0.285,142,553,499,80,142,24,6,7,199,61,2,4,46,0,2,94,6,0.399,0.345,0.744,36,0.366,0.333
36,67872,로맥,SK,0.282,139,586,485,85,137,32,0,32,265,91,0,4,91,5,6,116,5,0.546,0.399,0.945,35,0.316,0.000
37,50506,마차도,롯데,0.280,144,560,486,79,136,31,1,12,205,67,4,8,54,2,8,60,20,0.422,0.356,0.778,36,0.281,0.000
38,66108,홍창기,LG,0.279,135,507,408,87,114,29,6,5,170,39,3,3,83,1,10,87,8,0.417,0.411,0.828,31,0.266,0.143
39,78513,전준우,롯데,0.279,143,628,562,95,157,34,1,26,271,96,3,3,52,0,8,79,21,0.482,0.347,0.829,42,0.272,0.667
40,50165,라모스,LG,0.278,117,494,431,74,120,17,2,38,255,86,0,4,55,5,4,136,7,0.592,0.362,0.954,32,0.274,0.000
41,50923,알테어,NC,0.278,136,546,482,90,134,20,7,31,261,108,0,6,46,3,12,149,10,0.541,0.352,0.893,38,0.333,0.000
42,68525,한동희,롯데,0.278,135,531,461,62,128,22,0,17,201,67,5,3,57,0,5,97,15,0.436,0.361,0.797,34,0.243,0.500
43,78548,장성우,KT,0.278,130,455,400,39,111,15,0,13,165,79,10,6,38,0,1,64,15,0.413,0.337,0.750,30,0.310,0.286
44,78168,서건창,키움,0.277,135,595,484,79,134,28,5,5,187,52,5,10,91,1,5,58,8,0.386,0.390,0.776,36,0.300,0.750
45,62931,노진혁,NC,0.274,132,484,427,70,117,22,3,20,205,82,3,0,49,3,5,106,8,0.480,0.356,0.836,34,0.351,0.125
46,75847,최정,SK,0.270,133,553,452,90,122,22,0,33,243,96,0,6,75,1,20,98,7,0.538,0.392,0.930,32,0.276,0.500
47,75566,이원석,삼성,0.268,121,467,403,46,108,17,0,13,164,74,1,12,49,1,2,82,7,0.407,0.341,0.748,27,0.336,0.000
48,78224,김재환,두산,0.266,140,614,516,82,137,26,1,30,255,113,0,6,91,3,1,154,14,0.494,0.373,0.867,33,0.278,1.000
49,61102,유강남,LG,0.261,137,478,429,51,112,18,0,16,178,74,2,2,32,1,13,84,18,0.415,0.330,0.745,23,0.352,0.375
50,50854,최지훈,SK,0.258,127,520,466,66,120,19,5,1,152,27,8,3,38,0,5,80,4,0.326,0.318,0.644,30,0.218,1.000
51,62265,유민상,KIA,0.246,126,456,391,38,96,23,0,8,143,65,2,4,53,1,6,80,14,0.366,0.341,0.707,15,0.308,0.273
52,64006,심우준,KT,0.235,144,535,476,58,112,16,3,3,143,51,16,4,37,0,2,98,7,0.300,0.291,0.591,28,0.258,0.000
53,64646,박찬호,KIA,0.223,141,531,480,63,107,16,0,3,132,36,12,3,36,0,0,87,14,0.275,0.276,0.551,30,0.185,0.000
1,65462,김기환,NC,0.500,4,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,0.500,1.500,0,0.000,1.000
2,66968,이재율,NC,0.444,25,10,9,9,4,1,0,0,5,3,0,0,1,0,0,1,1,0.556,0.500,1.056,1,0.600,0.667
6,62925,강진성,NC,0.309,121,432,395,53,122,25,0,12,183,70,2,6,20,0,9,46,11,0.463,0.351,0.814,32,0.348,0.375
9,68912,김형준,NC,0.306,44,82,72,12,22,1,0,3,32,11,0,0,10,0,0,21,1,0.444,0.390,0.834,4,0.250,0.364
10,78813,모창민,NC,0.301,62,149,136,10,41,10,2,2,61,13,2,2,8,1,1,22,5,0.449,0.340,0.789,11,0.282,0.308
11,66917,김찬형,NC,0.297,56,72,64,10,19,6,0,0,25,7,2,1,4,0,1,11,0,0.391,0.343,0.734,2,0.316,0.167
12,78122,김태군,NC,0.292,80,131,113,16,33,6,0,1,42,18,7,1,6,0,4,14,3,0.372,0.347,0.719,6,0.323,0.333
14,69992,최정원,NC,0.275,49,48,40,18,11,3,1,0,16,2,1,0,7,0,0,13,1,0.400,0.383,0.783,0,0.222,0.429
16,63963,권희동,NC,0.260,123,426,346,67,90,16,0,12,142,50,6,5,58,0,11,72,6,0.410,0.379,0.789,19,0.286,0.316
17,62025,이원재,NC,0.258,73,146,132,15,34,5,2,4,55,17,2,1,11,1,0,26,3,0.417,0.313,0.730,8,0.242,0.222
18,62537,윤수강,NC,0.250,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.250,0.250,0.500,0,0.000,0.000
19,62934,김성욱,NC,0.221,104,225,195,32,43,4,1,8,73,26,7,2,17,0,4,40,0,0.374,0.294,0.668,9,0.297,0.059
20,63920,김준완,NC,0.215,45,75,65,8,14,1,0,1,18,5,0,0,10,0,0,9,3,0.277,0.320,0.597,0,0.158,0.333
21,73306,지석훈,NC,0.207,87,142,121,22,25,8,0,1,36,12,2,2,15,0,2,33,4,0.298,0.300,0.598,5,0.214,0.333
22,66965,도태훈,NC,0.182,11,13,11,0,2,0,0,0,2,1,0,0,2,0,0,3,0,0.182,0.308,0.490,0,0.333,0.000
23,66928,박준영,NC,0.152,32,51,46,4,7,4,0,0,11,3,0,0,2,0,3,17,2,0.239,0.235,0.474,1,0.231,0.111
24,60566,이상호,NC,0.131,82,65,61,18,8,1,0,0,9,4,1,0,3,0,0,5,2,0.148,0.172,0.320,0,0.267,0.143
25,50996,박시원,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
25,69995,서호철,NC,0.000,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
25,63903,유영준,NC,0.000,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
7,64213,최용제,두산,0.295,28,49,44,9,13,0,1,0,15,9,1,0,4,0,0,8,2,0.341,0.354,0.695,1,0.353,0.333
9,50202,안권수,두산,0.270,68,41,37,10,10,0,0,0,10,3,1,1,2,0,0,5,1,0.270,0.300,0.570,2,0.091,0.000
10,62244,박세혁,두산,0.269,124,423,360,47,97,18,2,4,131,51,9,7,35,0,12,45,7,0.364,0.348,0.712,18,0.298,0.077
12,66209,조수행,두산,0.263,44,40,38,12,10,0,0,0,10,4,0,0,2,0,0,6,0,0.263,0.300,0.563,2,0.400,0.000
13,68204,권민석,두산,0.260,55,57,50,6,13,2,0,0,15,7,2,2,3,0,0,15,0,0.300,0.291,0.591,2,0.357,1.000
14,67207,이유찬,두산,0.258,101,108,89,30,23,2,1,0,27,6,2,1,14,0,2,25,2,0.303,0.368,0.671,3,0.219,1.000
15,64086,신성현,두산,0.250,9,7,4,2,1,1,0,0,2,0,0,0,3,0,0,3,0,0.500,0.571,1.071,0,0.000,0.333
15,63202,장승현,두산,0.250,23,22,20,5,5,3,0,0,8,3,0,0,1,0,1,6,2,0.400,0.318,0.718,1,0.286,0.000
17,66203,서예일,두산,0.240,40,29,25,4,6,2,0,0,8,1,0,1,3,0,0,7,0,0.320,0.310,0.630,0,0.000,0.500
18,79290,국해성,두산,0.233,46,94,86,10,20,1,0,3,30,17,0,1,6,2,1,21,2,0.349,0.287,0.636,3,0.296,0.278
19,77248,오재원,두산,0.232,85,174,155,25,36,7,1,5,60,27,1,2,16,0,0,49,3,0.387,0.301,0.688,8,0.214,0.250
20,50293,양찬열,두산,0.227,17,26,22,5,5,0,0,0,5,3,0,0,3,0,1,2,0,0.227,0.346,0.573,1,0.400,0.000
21,63257,김인태,두산,0.202,77,110,84,15,17,5,0,1,25,13,2,1,21,0,2,13,3,0.298,0.370,0.668,1,0.200,0.214
22,63559,백동훈,두산,0.188,27,19,16,5,3,1,0,0,4,0,0,0,1,0,2,4,0,0.250,0.316,0.566,0,0.000,0.000
23,71842,정상호,두산,0.163,42,92,86,3,14,6,0,0,20,8,3,1,2,0,0,29,4,0.233,0.180,0.413,4,0.154,0.500
24,50204,박지훈,두산,0.000,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
24,50208,오명진,두산,0.000,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
24,68211,이승민,두산,0.000,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
6,73113,박경수,KT,0.281,119,391,324,33,91,17,0,13,147,59,3,7,48,2,9,96,14,0.454,0.381,0.835,20,0.268,0.111
7,74339,유한준,KT,0.280,119,428,386,48,108,17,0,11,158,64,1,1,40,2,0,51,9,0.409,0.347,0.756,25,0.309,0.278
9,77243,허도환,KT,0.264,52,62,53,2,14,1,0,0,15,5,1,0,6,0,2,15,2,0.283,0.361,0.644,2,0.333,0.200
10,62802,박승욱,KT,0.264,97,128,110,23,29,3,2,1,39,10,2,1,11,0,4,37,1,0.355,0.349,0.704,3,0.208,0.400
11,64007,문상철,KT,0.260,74,172,154,24,40,3,2,8,71,25,3,2,11,0,2,43,4,0.461,0.314,0.775,11,0.191,0.150
12,64004,김민혁,KT,0.239,108,249,222,35,53,5,2,5,77,25,2,1,22,0,2,42,4,0.347,0.312,0.659,13,0.210,0.143
14,64906,강민국,KT,0.224,81,120,107,16,24,3,0,0,27,9,6,0,7,0,0,20,0,0.252,0.272,0.524,4,0.357,0.250
15,50054,천성호,KT,0.203,66,77,69,9,14,3,0,0,17,1,0,0,7,0,1,15,0,0.246,0.286,0.532,2,0.167,0.000
16,50066,강현우,KT,0.200,26,32,30,2,6,2,0,1,11,3,0,0,2,0,0,11,1,0.367,0.250,0.617,1,0.286,0.000
17,64012,송민섭,KT,0.195,114,51,41,21,8,1,1,1,14,5,3,1,5,0,1,13,0,0.341,0.292,0.633,0,0.100,0.000
18,63634,이홍구,KT,0.190,49,96,84,5,16,2,0,3,27,8,2,1,6,0,3,26,3,0.321,0.266,0.587,3,0.231,0.333
19,64014,김병희,KT,0.143,29,22,21,4,3,0,0,1,6,2,0,1,0,0,0,7,0,0.286,0.136,0.422,1,0.000,0.000
20,65040,김태훈,KT,0.000,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
20,67063,문상인,KT,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
20,68003,박준혁,KT,0.000,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
20,65096,정주후,KT,0.000,10,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.000,0.000
20,67005,홍현빈,KT,0.000,40,24,18,5,0,0,0,0,0,1,1,0,5,1,0,5,0,0.000,0.217,0.217,0,0.000,0.000
1,50150,손호영,LG,0.367,23,31,30,9,11,2,0,0,13,3,0,0,1,0,0,6,2,0.433,0.387,0.820,3,0.500,0.000
3,65207,신민재,LG,0.308,68,32,26,26,8,1,0,0,9,5,2,0,4,0,0,4,1,0.346,0.400,0.746,1,0.400,0.000
5,72133,박용택,LG,0.300,97,236,217,22,65,15,0,2,86,35,0,4,15,1,0,34,7,0.396,0.339,0.735,12,0.328,0.250
6,78135,이형종,LG,0.296,81,323,287,41,85,17,2,17,157,50,0,2,27,1,7,61,7,0.547,0.368,0.915,23,0.288,0.143
10,78217,김용의,LG,0.271,101,75,70,28,19,1,1,1,25,12,1,1,3,0,0,15,2,0.357,0.297,0.654,2,0.304,0.375
11,64100,박재욱,LG,0.267,15,17,15,0,4,0,0,0,4,1,1,0,0,0,1,4,2,0.267,0.313,0.580,1,0.333,0.000
12,77564,김민성,LG,0.266,87,333,297,29,79,20,0,5,114,47,4,4,24,2,4,66,8,0.384,0.325,0.709,20,0.321,0.000
14,61186,이천웅,LG,0.256,89,359,312,44,80,11,2,3,104,36,2,6,35,0,4,44,7,0.333,0.333,0.666,26,0.279,0.000
15,65109,백승현,LG,0.250,27,39,28,5,7,1,0,0,8,2,6,0,4,0,1,8,0,0.286,0.364,0.650,1,0.500,0.000
16,79150,정주현,LG,0.247,134,371,328,50,81,10,4,4,111,30,9,2,29,0,3,63,6,0.338,0.312,0.650,20,0.253,0.000
17,64153,양석환,LG,0.246,40,132,118,8,29,5,0,3,43,13,2,0,10,0,2,25,1,0.364,0.315,0.679,7,0.313,1.000
18,66113,김호은,LG,0.243,69,112,103,12,25,5,0,2,36,11,0,0,7,0,2,14,2,0.350,0.304,0.654,4,0.276,0.235
19,75808,정근우,LG,0.240,72,177,154,23,37,4,0,1,44,14,3,1,17,1,2,23,4,0.286,0.322,0.608,6,0.209,0.231
20,71184,이성우,LG,0.234,72,88,77,7,18,1,0,3,28,11,5,0,6,0,0,14,3,0.364,0.289,0.653,3,0.316,0.000
21,64115,장준원,LG,0.217,46,68,60,10,13,3,0,1,19,6,1,1,6,0,0,7,2,0.317,0.284,0.601,3,0.154,1.000
22,78361,전민수,LG,0.200,4,6,5,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0.200,0.333,0.533,0,0.000,0.000
23,69100,구본혁,LG,0.163,125,98,86,20,14,0,1,1,19,7,3,0,7,0,2,18,2,0.221,0.242,0.463,3,0.208,0.000
24,68106,이재원,LG,0.050,16,22,20,1,1,0,0,0,1,0,0,0,2,0,0,11,0,0.050,0.136,0.186,0,0.000,0.000
25,63913,최재원,LG,0.000,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.000,0.000,0.000,0,0.000,0.000
25,64101,한석현,LG,0.000,9,3,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0.000,0.333,0.333,0,0.000,0.000
1,64340,임지열,키움,1.000,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,0,0.000,1.000
