순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
5,50662,정해영,KIA,3.29,47,5,4,1,11,0.556,38 1/3,41,2,24,2,32,15,14,1.70
6,62263,변시원,KIA,3.60,4,1,0,0,0,1.000,5,8,0,3,0,1,4,2,2.20
7,66660,남하준,KIA,4.02,8,0,0,0,0,-,15 2/3,20,1,11,1,8,12,7,1.98
9,65618,황인준,KIA,4.50,3,0,0,0,0,-,4,6,1,2,0,1,2,2,2.00
11,78247,홍상삼,KIA,5.06,57,4,5,0,17,0.444,48,32,5,54,3,61,27,27,1.79
12,62754,임기영,KIA,5.15,25,9,10,0,0,0.474,127 2/3,152,12,33,9,106,80,73,1.45
13,65665,이준영,KIA,5.32,48,0,2,0,13,0.000,23 2/3,31,1,13,0,22,14,14,1.86
14,69620,김기훈,KIA,5.37,22,0,4,0,1,0.000,52,58,8,31,2,39,35,31,1.71
15,65696,김명찬,KIA,6.23,21,0,1,0,1,0.000,8 2/3,13,2,12,2,11,7,6,2.88
16,65616,이민우,KIA,6.79,22,6,10,0,0,0.375,106,129,11,47,6,67,87,80,1.66
17,63628,고영창,KIA,6.83,48,1,1,1,2,0.500,58,88,3,17,5,23,46,44,1.81
18,69516,김현수,KIA,7.24,15,1,2,0,0,0.333,32 1/3,41,3,31,2,19,27,26,2.23
19,64580,김재열,KIA,7.27,14,0,1,0,2,0.000,17 1/3,23,3,12,3,13,16,14,2.02
20,69646,양승철,KIA,7.85,15,0,0,0,0,-,28 2/3,41,4,24,3,13,26,25,2.27
21,66663,서덕원,KIA,8.53,11,0,0,0,0,-,12 2/3,14,5,4,3,6,12,12,1.42
22,68616,김승범,KIA,9.00,1,0,0,0,0,-,1,1,0,2,0,0,1,1,3.00
23,63950,장현식,KIA,10.76,37,4,4,0,6,0.500,41,64,8,22,3,26,52,49,2.10
24,66630,김현준,KIA,12.56,15,1,0,0,1,1.000,14 1/3,20,2,13,1,12,20,20,2.30
25,67646,박진태,KIA,13.02,12,0,0,0,0,-,18 2/3,32,9,16,4,14,27,27,2.57
26,64615,차명진,KIA,135.00,1,0,0,0,0,-,1/3,3,0,0,2,0,5,5,9.00
2,78536,김대우,롯데,3.10,46,0,1,0,0,0.000,49 1/3,48,1,26,2,43,22,17,1.50
3,63543,구승민,롯데,3.58,57,5,2,0,20,0.714,60 1/3,40,8,26,0,58,25,24,1.09
4,79293,오현택,롯데,3.75,48,3,1,0,7,0.750,36,37,5,8,2,17,15,15,1.25
5,62528,김원중,롯데,3.94,58,5,4,25,0,0.556,59 1/3,52,8,23,0,57,29,26,1.26
6,64565,이인복,롯데,3.97,47,1,4,0,2,0.200,45 1/3,57,2,12,1,21,22,20,1.52
7,76225,김건국,롯데,3.98,32,3,2,0,1,0.600,31 2/3,30,2,9,3,31,14,14,1.23
8,68529,이승헌,롯데,4.66,8,3,2,0,0,0.600,36 2/3,34,1,11,2,34,25,19,1.23
10,50556,최준용,롯데,4.85,31,0,2,0,8,0.000,29 2/3,31,3,11,2,26,16,16,1.42
11,73211,노경은,롯데,4.87,25,5,10,0,0,0.333,133,139,19,40,3,77,76,72,1.35
12,64596,김유영,롯데,4.91,12,0,0,0,0,-,7 1/3,4,0,7,0,5,4,4,1.50
13,66557,한승혁,롯데,5.14,9,1,0,0,0,1.000,7,8,0,4,0,3,4,4,1.71
14,69539,서준원,롯데,5.18,31,7,6,0,0,0.538,107 2/3,130,16,31,5,60,71,62,1.50
15,50524,샘슨,롯데,5.40,25,9,12,0,0,0.429,130,167,14,36,6,87,87,78,1.56
16,63512,박진형,롯데,5.70,53,1,4,0,17,0.200,42 2/3,56,7,13,4,50,27,27,1.62
17,72523,고효준,롯데,5.74,24,1,0,0,0,1.000,15 2/3,14,3,11,3,11,10,10,1.60
18,77591,송승준,롯데,6.20,22,2,2,0,1,0.500,24 2/3,30,2,14,3,25,17,17,1.78
19,64718,최설우,롯데,6.30,6,0,1,0,0,0.000,10,19,4,3,1,7,11,7,2.20
20,79545,진명호,롯데,7.18,37,0,1,0,2,0.000,31 1/3,29,3,22,2,32,25,25,1.63
21,67591,강동호,롯데,7.36,7,1,0,0,0,1.000,11,13,3,6,0,8,9,9,1.73
22,76355,장원삼,롯데,7.68,13,0,3,0,0,0.000,34,49,6,10,3,15,32,29,1.74
23,60559,박시영,롯데,8.01,36,1,1,0,1,0.500,30 1/3,32,5,23,1,21,27,27,1.81
24,62595,정태승,롯데,21.60,1,0,0,0,0,-,1 2/3,4,1,2,0,1,4,4,3.60
25,50592,박명현,롯데,27.00,2,0,0,0,0,-,2/3,3,0,1,0,0,2,2,6.00
1,50430,홍원표,삼성,0.00,1,0,0,0,0,-,1,1,0,1,1,0,0,0,2.00
2,61457,임현준,삼성,1.78,51,1,1,0,5,0.500,25 1/3,24,2,7,6,18,7,5,1.22
3,75421,오승환,삼성,2.64,45,3,2,18,2,0.600,47 2/3,44,2,15,2,39,14,14,1.24
4,68415,양창섭,삼성,2.70,7,0,0,0,0,-,6 2/3,6,1,3,0,4,2,2,1.35
6,60146,이승현,삼성,3.48,65,1,2,0,14,0.333,54 1/3,45,11,25,0,52,22,21,1.29
8,69439,라이블리,삼성,4.26,21,6,7,0,0,0.462,112,98,11,39,12,95,54,53,1.22
9,62920,노건우,삼성,4.46,45,2,3,0,10,0.400,36 1/3,28,3,29,2,34,23,18,1.57
10,68403,김무신,삼성,4.66,61,3,5,0,12,0.375,58,66,6,31,1,41,34,30,1.67
11,50449,허윤동,삼성,4.80,11,2,1,0,0,0.667,45,43,4,31,2,18,26,24,1.64
12,67421,최지광,삼성,4.87,51,1,3,0,15,0.250,44 1/3,34,2,31,3,45,24,24,1.47
13,69446,원태인,삼성,4.89,27,6,10,0,0,0.375,140,162,19,56,5,78,84,76,1.56
14,61365,김대우,삼성,5.10,28,3,7,0,1,0.300,77 2/3,95,9,26,6,37,49,44,1.56
15,77446,백정현,삼성,5.19,11,4,4,0,0,0.500,59,67,13,17,1,46,43,34,1.42
16,77927,장필준,삼성,5.75,31,0,3,0,4,0.000,36,46,6,16,0,26,24,23,1.72
17,74454,윤성환,삼성,5.79,5,0,2,0,0,0.000,18 2/3,19,0,11,3,4,14,12,1.61
18,73117,우규민,삼성,6.19,52,3,3,7,11,0.500,48,61,3,9,1,30,34,33,1.46
19,63960,이상민,삼성,6.43,17,0,1,0,1,0.000,14,17,4,11,1,13,10,10,2.00
20,65496,홍정우,삼성,6.60,30,0,0,0,1,-,30,37,5,12,1,29,23,22,1.63
21,50464,이승민,삼성,6.84,7,1,3,0,0,0.250,26 1/3,34,5,19,0,16,21,20,2.01
