순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,69343,요키시,키움,2.14,27,12,0,0,0,0,16,219,129,1.70
2,50558,스트레일리,롯데,2.50,31,15,0,0,0,0,8,153,207,0.74
3,50636,브룩스,KIA,2.50,23,11,0,1,0,0,20,217,76,2.86
4,69045,알칸타라,두산,2.54,31,20,0,1,0,0,10,186,212,0.88
5,69940,루친스키,NC,3.05,30,19,0,0,0,0,14,183,169,1.08
6,69103,켈리,LG,3.32,28,15,0,1,0,0,21,190,167,1.14
7,50404,뷰캐넌,삼성,3.45,27,15,0,1,0,0,35,211,159,1.33
8,68419,최지명,삼성,3.58,26,11,0,1,0,0,9,131,172,0.76
9,62869,문승원,SK,3.65,25,6,0,1,0,0,10,134,167,0.80
10,61101,임찬규,LG,4.08,26,9,1,0,0,0,11,140,148,0.95
11,69032,쿠에바스,KT,4.10,27,10,0,0,0,0,16,176,170,1.04
12,50040,데스파이네,KT,4.33,34,15,0,0,0,0,25,269,170,1.58
13,50640,가뇽,KIA,4.34,28,11,0,0,0,0,14,162,158,1.03
14,68135,윌슨,LG,4.42,25,10,0,0,0,0,13,172,134,1.28
15,50912,라이트,NC,4.68,29,11,0,0,0,0,13,138,191,0.72
16,77637,양현종,KIA,4.70,31,11,0,0,0,0,15,157,182,0.86
17,64021,박세웅,롯데,4.70,28,8,0,0,0,0,14,168,147,1.14
18,60841,박종훈,SK,4.81,28,12,1,0,0,0,19,160,149,1.07
19,69744,서폴드,한화,4.91,28,10,0,1,0,0,19,211,163,1.29
20,50835,핀토,SK,6.17,30,6,0,0,0,0,18,215,138,1.56
1,50992,김태경,NC,0.00,0,0,0,0,0,0,0,1,2,0.50
1,50901,안인산,NC,0.00,0,0,0,0,0,0,0,2,1,2.00
4,62655,홍성민,NC,1.04,0,0,1,4,10,0,4,38,23,1.65
5,65933,구창모,NC,1.74,14,9,0,0,0,0,8,91,77,1.18
6,75867,김진성,NC,2.66,0,0,3,10,6,0,3,22,60,0.37
8,69962,송명기,NC,3.70,12,8,1,5,3,0,6,66,108,0.61
9,64995,배재환,NC,3.98,0,0,1,7,16,0,3,40,51,0.78
10,76118,원종현,NC,4.26,0,0,3,45,37,5,6,77,44,1.75
11,63959,임정호,NC,4.61,0,0,2,1,28,0,6,42,34,1.24
12,65639,박정수,NC,4.64,3,1,0,4,1,0,4,33,26,1.27
14,60339,김건태,NC,4.89,0,0,1,9,5,0,4,15,45,0.33
15,65643,문경찬,NC,5.02,0,0,0,23,30,0,2,32,81,0.40
16,63991,박진우,NC,5.23,1,0,2,8,12,0,4,50,52,0.96
17,63914,손정욱,NC,5.25,0,0,0,3,1,0,1,14,15,0.93
18,78352,임창민,NC,5.26,0,0,7,4,10,0,1,25,43,0.58
19,68900,김영규,NC,5.45,13,2,0,3,0,0,7,68,73,0.93
20,68902,신민혁,NC,5.79,7,2,0,3,0,0,3,39,58,0.67
21,61295,강동연,NC,6.00,0,0,1,8,2,0,1,16,33,0.48
