연도,리그_ERA,리그_WHIP,규정투수수,리그_K9
2022,4.062,1.3820000000000001,10,7.329711648169276
2023,4.141,1.411,10,6.9914032672778745
2024,4.9079999999999995,1.5,10,7.618578465869106
2025,4.3100000000000005,1.404,10,7.767229456433809
2026,4.332,1.457,10,7.6385773317591505
