season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2022,KIA,0.272,720,1361,113,677,1988,5703,5000,0.349,0.398,0.747,542,983,4.2,1.42,679,597,120,526,1042,1279.6666666666667,107,0.98,111,8,64,41,39.0,137,103,34,75.2,57,5,41,0.529281498324044,1.9809885931558935,0.126,0.09503769945642644,0.2908,59,351,0.7906,0.7726666666666667,0.977316805801501,0.3678,0.42279999999999995,3.855,1.28,329.33333333333337,302,3.85,0.004999999999999893
2022,삼성,0.27,663,1358,103,627,1946,5647,5023,0.334,0.387,0.721,446,1029,4.29,1.44,695,613,129,478,971,1287.0,118,0.978,125,6,51,35,40.7,118,91,27,77.1,50,6,-32,0.47644901224157105,2.0313807531380754,0.11699999999999999,0.07897998937488933,0.30500000000000005,49,203,0.9059999999999999,0.9059999999999999,1.0,0.378,0.528,3.15,1.2633333333333334,499.0,406,2.49,0.6599999999999997
2022,LG,0.269,715,1325,118,674,1953,5627,4927,0.346,0.396,0.742,501,924,3.33,1.27,521,476,94,451,1031,1288.0,89,0.983,139,7,113,26,18.7,148,102,46,68.9,46,10,194,0.6531841168518883,2.286031042128603,0.127,0.08903500977430247,0.2852,64,376,0.7851999999999999,0.7966666666666665,1.0146034980472065,0.3646,0.4206,2.465,1.045,328.33333333333337,302,2.39,0.07499999999999973
2022,롯데,0.267,605,1320,106,570,1897,5534,4948,0.328,0.383,0.711,417,991,4.45,1.46,712,633,84,492,1199,1280.6666666666667,114,0.979,124,11,99,39,28.3,100,61,39,61.0,54,6,-107,0.4192875119276859,2.436991869918699,0.11599999999999999,0.07535236718467654,0.3065,62,292,0.8207500000000001,0.8220000000000001,1.0015229972586048,0.3605,0.46025,3.755,1.27,343.6666666666667,306,3.62,0.1349999999999998
2022,NC,0.257,646,1260,105,613,1835,5585,4899,0.334,0.375,0.709,501,981,3.9,1.36,642,557,111,515,1168,1286.6666666666667,127,0.976,115,9,60,42,41.2,139,100,39,71.9,56,7,4,0.5031055601099484,2.267961165048544,0.118,0.08970456580125336,0.2944,65,363,0.8148,0.7999999999999999,0.9818360333824251,0.3706,0.44420000000000004,2.97,1.13,193.66666666666666,194,2.97,0.0
2022,두산,0.255,638,1249,101,592,1786,5510,4891,0.324,0.365,0.689,450,1007,4.45,1.48,721,632,117,555,977,1279.3333333333333,117,0.978,128,13,95,34,26.4,130,90,40,69.2,55,4,-83,0.4391526456895947,1.7603603603603604,0.10999999999999999,0.08166969147005444,0.27379999999999993,50,312,0.7348,0.7703333333333333,1.0483578297949554,0.3372,0.3976,3.66,1.3933333333333333,477.66666666666663,389,3.6,0.06000000000000005
2022,SSG,0.254,720,1245,138,682,1937,5642,4893,0.336,0.396,0.732,530,1075,3.87,1.29,622,560,130,457,1023,1301.3333333333333,109,0.98,138,4,107,31,22.5,137,98,39,71.5,42,4,98,0.572637978800023,2.238512035010941,0.14200000000000002,0.09393831974477136,0.2782,75,362,0.8182,0.7959999999999999,0.9728672696162306,0.37540000000000007,0.44279999999999997,3.106666666666667,1.1733333333333333,501.33333333333337,435,2.13,0.976666666666667
2022,KT,0.254,631,1237,119,588,1824,5547,4864,0.33,0.375,0.705,519,1183,3.51,1.25,562,502,92,364,1074,1287.3333333333333,97,0.982,132,8,69,26,27.4,123,89,34,72.4,38,6,69,0.5576445543098437,2.9505494505494507,0.121,0.09356408869659276,0.27020000000000005,58,296,0.7384,0.722,0.9777898158179849,0.3426,0.39580000000000004,3.6133333333333333,1.2766666666666666,516.6666666666667,396,3.05,0.5633333333333335
2022,키움,0.252,621,1250,94,578,1801,5655,4953,0.333,0.364,0.697,527,1032,3.79,1.34,610,546,96,490,1010,1296.3333333333333,118,0.979,134,7,85,42,33.1,83,63,20,75.9,42,8,11,0.5089351110735726,2.061224489795918,0.11199999999999999,0.0931918656056587,0.29159999999999997,63,350,0.784,0.8150000000000001,1.0395408163265307,0.3532,0.43079999999999996,2.34,1.02,381.33333333333337,378,2.11,0.22999999999999998
2022,한화,0.245,564,1196,88,520,1715,5513,4878,0.319,0.352,0.671,497,1264,4.83,1.51,759,680,112,602,974,1268.3333333333333,134,0.975,111,8,121,51,29.7,142,93,49,65.5,49,6,-195,0.35574164846557227,1.6179401993355482,0.10699999999999998,0.09015055323780156,0.26839999999999997,38,262,0.7182000000000001,0.7593333333333333,1.0572728116587764,0.34639999999999993,0.3718,4.36,1.39,163.0,129,4.36,0.0
