season,team,final_rank,postseason
2022,SSG,1,1
2022,키움,2,1
2022,LG,3,1
2022,KT,4,1
2022,KIA,5,1
2022,NC,6,0
2022,삼성,7,0
2022,롯데,8,0
2022,두산,9,0
2022,한화,10,0
