season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2022,KIA,3.855,1.28,329.33333333333337,302,3.85,0.004999999999999893
2022,KT,3.6133333333333333,1.2766666666666666,516.6666666666667,396,3.05,0.5633333333333335
2022,LG,2.465,1.045,328.33333333333337,302,2.39,0.07499999999999973
2022,NC,2.97,1.13,193.66666666666666,194,2.97,0.0
2022,SSG,3.106666666666667,1.1733333333333333,501.33333333333337,435,2.13,0.976666666666667
2022,두산,3.66,1.3933333333333333,477.66666666666663,389,3.6,0.06000000000000005
2022,롯데,3.755,1.27,343.6666666666667,306,3.62,0.1349999999999998
2022,삼성,3.15,1.2633333333333334,499.0,406,2.49,0.6599999999999997
2022,키움,2.34,1.02,381.33333333333337,378,2.11,0.22999999999999998
2022,한화,4.36,1.39,163.0,129,4.36,0.0
