season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko
2022,KIA,0.272,720,1361,113,677,1988,5703,5000,0.349,0.398,0.747,542,983,4.2,1.42,679,597,120,526,1042,1279.6666666666667,107,0.98,111,8,64,41,39.0,137,103,34,75.2,57,5
2022,삼성,0.27,663,1358,103,627,1946,5647,5023,0.334,0.387,0.721,446,1029,4.29,1.44,695,613,129,478,971,1287.0,118,0.978,125,6,51,35,40.7,118,91,27,77.1,50,6
2022,LG,0.269,715,1325,118,674,1953,5627,4927,0.346,0.396,0.742,501,924,3.33,1.27,521,476,94,451,1031,1288.0,89,0.983,139,7,113,26,18.7,148,102,46,68.9,46,10
2022,롯데,0.267,605,1320,106,570,1897,5534,4948,0.328,0.383,0.711,417,991,4.45,1.46,712,633,84,492,1199,1280.6666666666667,114,0.979,124,11,99,39,28.3,100,61,39,61.0,54,6
2022,NC,0.257,646,1260,105,613,1835,5585,4899,0.334,0.375,0.709,501,981,3.9,1.36,642,557,111,515,1168,1286.6666666666667,127,0.976,115,9,60,42,41.2,139,100,39,71.9,56,7
2022,두산,0.255,638,1249,101,592,1786,5510,4891,0.324,0.365,0.689,450,1007,4.45,1.48,721,632,117,555,977,1279.3333333333333,117,0.978,128,13,95,34,26.4,130,90,40,69.2,55,4
2022,SSG,0.254,720,1245,138,682,1937,5642,4893,0.336,0.396,0.732,530,1075,3.87,1.29,622,560,130,457,1023,1301.3333333333333,109,0.98,138,4,107,31,22.5,137,98,39,71.5,42,4
2022,KT,0.254,631,1237,119,588,1824,5547,4864,0.33,0.375,0.705,519,1183,3.51,1.25,562,502,92,364,1074,1287.3333333333333,97,0.982,132,8,69,26,27.4,123,89,34,72.4,38,6
2022,키움,0.252,621,1250,94,578,1801,5655,4953,0.333,0.364,0.697,527,1032,3.79,1.34,610,546,96,490,1010,1296.3333333333333,118,0.979,134,7,85,42,33.1,83,63,20,75.9,42,8
2022,한화,0.245,564,1196,88,520,1715,5513,4878,0.319,0.352,0.671,497,1264,4.83,1.51,759,680,112,602,974,1268.3333333333333,134,0.975,111,8,121,51,29.7,142,93,49,65.5,49,6
