순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,65543,린드블럼,두산,2.88,26,15,4,0,0,0.789,168 2/3,142,16,38,8,157,56,54,1.07
2,68135,윌슨,LG,3.07,26,9,4,0,0,0.692,170,158,11,35,6,149,63,58,1.14
3,62698,소사,LG,3.52,27,9,9,0,0,0.500,181 1/3,192,16,28,4,181,83,71,1.21
4,77211,이용찬,두산,3.63,25,15,3,0,0,0.833,144,151,14,36,8,102,62,58,1.30
5,68240,후랭코프,두산,3.74,28,18,3,0,0,0.857,149 1/3,118,12,55,22,134,64,62,1.16
6,67313,브리검,넥센,3.84,31,11,7,0,1,0.611,199,188,19,50,19,175,89,85,1.20
7,65856,켈리,SK,4.09,28,12,7,0,0,0.632,158 1/3,152,18,47,13,161,78,72,1.26
8,77637,양현종,KIA,4.15,29,13,11,0,0,0.542,184 1/3,199,21,43,2,152,88,85,1.31
9,60841,박종훈,SK,4.18,30,14,8,0,0,0.636,159 1/3,158,16,54,20,133,81,74,1.33
10,61240,니퍼트,KT,4.25,29,8,8,0,0,0.500,175 2/3,209,26,39,9,165,88,83,1.41
11,65331,피어밴드,KT,4.30,27,8,8,0,0,0.500,163 1/3,186,24,38,6,141,90,78,1.37
12,62869,문승원,SK,4.60,31,8,9,1,1,0.471,150 2/3,180,24,37,4,122,86,77,1.44
13,66643,헥터,KIA,4.60,29,11,10,0,0,0.524,174,209,25,36,4,137,102,89,1.41
14,68748,샘슨,한화,4.68,30,13,8,0,0,0.619,161 2/3,144,17,79,5,195,91,84,1.38
15,65546,레일리,롯데,4.74,30,11,13,0,0,0.458,178 1/3,180,24,54,18,178,106,94,1.31
16,60263,이재학,NC,4.79,29,5,13,0,0,0.278,152 1/3,157,13,49,10,116,87,81,1.35
17,62363,한현희,넥센,4.79,30,11,7,0,0,0.611,169,208,22,49,20,105,98,90,1.52
18,68815,산체스,SK,4.89,29,8,8,0,1,0.500,145 1/3,161,26,39,7,124,90,79,1.38
19,68435,아델만,삼성,5.05,31,8,12,0,0,0.400,171,202,20,54,11,137,101,96,1.50
20,68953,베렛,NC,5.28,29,6,10,0,0,0.375,155,178,24,59,9,144,94,91,1.53
21,68400,보니야,삼성,5.30,29,7,10,0,0,0.412,168,193,23,63,12,151,111,99,1.52
22,75258,금민철,KT,5.41,29,8,12,0,0,0.400,156 1/3,212,19,68,7,79,104,94,1.79
23,61101,임찬규,LG,5.77,29,11,11,1,0,0.500,146 2/3,195,23,47,13,125,104,94,1.65
24,76455,차우찬,LG,6.09,29,12,10,0,0,0.545,170,177,27,79,10,136,119,115,1.51
25,62528,김원중,롯데,6.94,30,8,7,0,0,0.533,145 1/3,173,28,77,11,137,115,112,1.72
1,75138,신재웅,SK,2.77,54,2,3,16,6,0.400,52,49,5,28,1,43,23,16,1.48
2,77829,김광현,SK,2.98,25,11,8,0,0,0.579,136,125,16,30,2,130,48,45,1.14
3,76858,박희수,SK,3.27,35,1,2,0,4,0.333,33,35,1,15,3,30,14,12,1.52
4,66858,정동윤,SK,3.38,2,0,0,0,0,-,2 2/3,3,1,1,0,3,1,1,1.50
5,79847,김태훈,SK,3.83,61,9,3,0,10,0.750,94,88,8,36,2,93,44,40,1.32
8,64805,이승진,SK,4.57,34,0,1,0,0,0.000,41 1/3,41,6,20,4,37,25,21,1.48
10,71845,채병용,SK,4.80,29,2,1,1,3,0.667,30,33,8,8,1,15,16,16,1.37
12,74838,윤희상,SK,5.12,46,1,2,1,7,0.333,51,55,8,7,2,44,29,29,1.22
13,67840,남윤성,SK,5.19,6,0,1,0,0,0.000,8 2/3,12,1,4,0,3,5,5,1.85
14,62056,정영일,SK,5.32,51,3,0,0,13,1.000,44,48,7,21,5,33,33,26,1.57
15,75340,전유수,SK,5.50,16,0,1,0,0,0.000,18,21,3,8,2,15,11,11,1.61
16,75250,박정배,SK,5.84,49,1,3,9,2,0.250,44 2/3,51,9,12,2,44,30,29,1.41
17,61895,서진용,SK,6.12,48,3,2,1,12,0.600,50,52,14,23,2,58,36,34,1.50
18,65802,봉민호,SK,6.75,1,0,0,0,0,-,1 1/3,1,1,0,0,2,1,1,0.75
19,73632,임준혁,SK,7.36,6,0,0,0,0,-,7 1/3,12,0,3,0,2,6,6,2.05
20,65343,김택형,SK,7.71,14,1,2,0,2,0.333,11 2/3,9,1,10,0,11,10,10,1.63
21,78819,백청훈,SK,9.42,18,1,2,0,1,0.333,14 1/3,17,4,9,3,14,15,15,1.81
22,66859,김주한,SK,13.50,7,1,0,0,1,1.000,6,9,2,6,0,5,10,9,2.50
23,68856,최민준,SK,14.40,2,0,0,0,0,-,5,11,5,0,0,3,9,8,2.20
24,64893,박민호,SK,15.43,3,0,0,0,0,-,2 1/3,4,1,1,1,0,4,4,2.14
25,79130,강지광,SK,21.00,4,0,0,0,0,-,3,8,1,4,0,3,7,7,4.00
26,68848,조성훈,SK,27.00,1,0,0,0,0,-,2/3,3,0,0,0,0,2,2,4.50
27,67863,이원준,SK,29.45,3,0,1,0,0,0.000,3 2/3,13,3,1,0,2,12,12,3.82
28,74748,정재원,SK,30.86,2,0,1,0,0,0.000,2 1/3,8,0,1,0,0,8,8,3.86
2,63248,함덕주,두산,2.96,62,6,3,27,3,0.667,67,58,4,37,4,75,23,22,1.42
3,68249,박신지,두산,3.00,17,1,2,0,0,0.333,21,14,4,9,1,16,7,7,1.10
4,73248,김승회,두산,3.46,55,3,4,3,11,0.429,54 2/3,54,6,23,5,34,26,21,1.41
6,67266,박치국,두산,3.63,67,1,5,3,17,0.167,67,80,5,15,9,60,30,27,1.42
7,61962,김정후,두산,3.63,13,0,1,0,0,0.000,17 1/3,12,3,12,1,12,8,7,1.38
9,78247,홍상삼,두산,4.30,17,1,0,0,0,1.000,14 2/3,13,1,12,2,13,7,7,1.70
10,77263,김강률,두산,4.62,65,5,0,6,11,1.000,76,72,7,24,3,81,42,39,1.26
11,76329,이현승,두산,4.99,39,1,0,0,6,1.000,30 2/3,39,4,14,1,21,18,17,1.73
12,66291,이영하,두산,5.28,40,10,3,0,2,0.769,122 2/3,140,15,54,9,90,75,72,1.58
13,61295,강동연,두산,5.40,8,1,0,0,0,1.000,11 2/3,10,2,5,0,5,8,7,1.29
14,61214,이현호,두산,6.11,15,0,0,1,0,-,28,37,4,13,1,23,19,19,1.79
