순위,선수ID,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
7,61329,윤지웅,LG,4.26,0,0,0,3,0,0,0,10,4,2.50
8,68130,김영준,LG,4.35,2,0,2,5,0,0,1,24,22,1.09
9,63145,배재준,LG,4.42,5,1,0,2,0,0,1,35,43,0.81
10,79140,최동환,LG,4.62,0,0,1,5,1,0,3,32,47,0.68
11,79825,여건욱,LG,4.76,1,0,0,9,0,0,2,17,31,0.55
11,79339,전인환,LG,4.76,0,0,0,1,0,0,1,3,8,0.38
13,78148,정찬헌,LG,4.85,0,0,5,55,33,6,3,70,70,1.00
14,60181,김지용,LG,5.36,0,0,5,11,17,0,4,36,56,0.64
15,67122,김태형,LG,5.40,0,0,0,1,0,0,0,2,2,1.00
17,60140,신정락,LG,5.86,1,0,3,8,7,0,7,44,40,1.10
18,67119,고우석,LG,5.91,0,0,3,23,8,0,4,75,79,0.95
20,76650,진해수,LG,7.21,0,0,2,3,19,0,0,44,45,0.98
21,66145,김대현,LG,7.54,21,2,0,0,0,0,14,104,123,0.85
22,71118,이동현,LG,7.93,0,0,2,7,4,0,2,43,39,1.10
23,67143,손주영,LG,8.49,3,0,0,0,0,0,2,14,12,1.17
24,60845,문광은,LG,12.15,0,0,0,0,0,0,1,8,6,1.33
25,64155,임지섭,LG,25.07,2,0,0,0,0,0,0,5,5,1.00
26,62918,김태형,LG,36.00,0,0,0,0,0,0,0,0,2,0.00
27,61145,이우찬,LG,54.00,0,0,0,0,0,0,0,1,1,1.00
1,65516,배제성,KT,0.00,0,0,0,1,0,0,0,7,4,1.75
2,79191,배우열,KT,1.59,0,0,0,2,1,0,0,5,4,1.25
3,77563,이상화,KT,2.61,0,0,0,2,7,0,0,5,12,0.42
4,65058,정성곤,KT,2.96,0,0,1,0,7,0,2,21,25,0.84
7,65062,김재윤,KT,4.57,0,0,7,42,24,2,3,44,65,0.68
8,64017,심재민,KT,4.61,0,0,4,6,8,1,11,45,29,1.55
9,67066,이종혁,KT,4.66,0,0,0,8,9,0,5,58,43,1.35
10,64029,류희운,KT,4.91,2,1,0,11,0,0,4,41,57,0.72
11,68043,김민,KT,5.06,9,4,0,0,0,0,7,47,35,1.34
12,64001,고영표,KT,5.13,23,6,0,3,0,0,19,190,75,2.53
13,75149,홍성용,KT,5.40,0,0,2,12,8,1,1,36,51,0.71
15,65056,엄상백,KT,5.44,0,0,1,18,18,0,3,34,53,0.64
16,99563,김사율,KT,5.76,3,0,1,8,2,0,3,44,56,0.79
17,66064,김태오,KT,6.00,4,0,1,0,0,0,1,23,22,1.05
18,78248,고창성,KT,6.69,0,0,2,12,8,0,3,44,43,1.02
19,68067,신병률,KT,7.01,1,0,0,10,1,0,3,34,25,1.36
20,65060,주권,KT,8.39,10,1,2,5,8,0,10,113,86,1.31
