순위,선수ID,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,76290,김현수,LG,0.362,61,136,102,1.33,8,0.77,3.66,0.227,99.3,0.334
2,76232,양의지,두산,0.358,53,95,153,0.62,6,1.13,3.65,0.228,99.0,0.338
3,67341,이정후,넥센,0.355,42,114,132,0.86,4,0.72,3.75,0.122,87.3,0.305
4,75125,박병호,넥센,0.345,63,73,78,0.94,9,0.60,4.12,0.373,114.8,0.385
5,79608,안치홍,KIA,0.342,62,113,164,0.69,15,0.63,3.43,0.221,100.0,0.317
6,78513,전준우,롯데,0.342,71,146,140,1.04,4,0.59,3.78,0.250,115.4,0.328
7,70410,김주찬,KIA,0.340,41,108,128,0.84,8,0.40,3.30,0.179,78.2,0.299
8,72443,최형우,KIA,0.339,60,123,147,0.84,11,0.76,4.06,0.210,110.3,0.324
9,74339,유한준,KT,0.339,42,109,122,0.89,9,0.89,3.86,0.194,83.9,0.316
10,78224,김재환,두산,0.334,81,102,122,0.84,16,0.44,3.83,0.323,128.6,0.347
11,76267,최주환,두산,0.333,71,103,164,0.63,13,0.57,4.17,0.249,113.6,0.324
11,71564,이대호,롯데,0.333,67,130,161,0.81,17,0.57,3.66,0.260,112.0,0.326
13,62404,구자욱,삼성,0.333,51,94,117,0.80,9,0.39,4.05,0.201,94.4,0.310
14,79192,채은성,LG,0.331,63,130,132,0.98,7,0.36,3.74,0.217,99.9,0.308
15,67450,러프,삼성,0.330,69,114,126,0.90,9,0.61,4.12,0.275,117.2,0.340
16,76812,이재원,SK,0.329,41,106,107,0.99,2,0.66,3.98,0.184,79.1,0.311
17,77532,손아섭,롯데,0.329,63,182,91,2.00,9,0.69,3.99,0.217,112.2,0.318
18,79215,박건우,두산,0.326,42,126,140,0.90,11,0.43,3.49,0.148,77.9,0.286
19,79240,허경민,두산,0.324,45,152,153,0.99,8,0.62,3.70,0.136,86.6,0.284
20,62907,박민우,NC,0.324,32,134,97,1.38,2,0.63,3.85,0.114,68.9,0.282
21,62947,나성범,NC,0.318,62,146,107,1.36,12,0.34,3.74,0.200,104.0,0.301
