순위,선수ID,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,79109,오지환,LG,유격수,143,142,1198 2/3,24,0,211,409,74,0.963,0,0,0,-
2,62947,나성범,NC,우익수,142,142,1220,3,0,288,9,2,0.990,0,0,0,-
3,62700,하주석,한화,유격수,141,132,1142 2/3,18,0,194,348,80,0.968,0,0,0,-
3,62415,박해민,삼성,중견수,141,134,1198 2/3,2,0,344,4,1,0.994,0,0,0,-
5,79192,채은성,LG,우익수,135,134,1147 2/3,3,0,264,8,1,0.989,0,0,0,-
6,74163,이용규,한화,중견수,133,128,1069 2/3,6,0,260,5,2,0.978,0,0,0,-
7,79240,허경민,두산,3루수,132,121,1046,7,0,87,226,29,0.978,0,0,0,-
7,67598,번즈,롯데,2루수,132,127,1073,22,0,260,360,81,0.966,0,0,0,-
7,67872,로맥,SK,1루수,132,124,1078 2/3,8,0,1026,68,90,0.993,0,0,0,-
7,67025,로하스,KT,중견수,132,130,1127 2/3,3,0,258,7,0,0.989,0,0,0,-
11,68730,호잉,한화,우익수,130,129,1098 2/3,3,0,240,9,1,0.988,0,0,0,-
11,61404,김헌곤,삼성,좌익수,130,115,1039 1/3,0,0,232,14,5,1.000,0,0,0,-
13,67650,버나디나,KIA,중견수,129,124,1026 2/3,3,0,250,5,1,0.988,0,0,0,-
13,74206,김재호,두산,유격수,129,114,939,12,0,154,285,66,0.973,0,0,0,-
15,77532,손아섭,롯데,우익수,127,125,1068 2/3,4,0,245,5,2,0.984,0,0,0,-
15,73113,박경수,KT,2루수,127,122,1016,14,0,283,381,111,0.979,0,0,0,-
17,78603,김선빈,KIA,유격수,126,115,962,12,0,163,293,62,0.974,0,0,0,-
17,61102,유강남,LG,포수,126,109,952,7,0,783,53,9,0.992,6,78,26,25.0
17,64300,김하성,넥센,유격수,126,124,1071 2/3,13,0,206,396,69,0.979,0,0,0,-
17,64346,임병욱,넥센,중견수,126,97,911 2/3,5,0,227,2,0,0.979,0,0,0,-
17,78288,최재훈,한화,포수,126,95,830 2/3,5,0,747,48,14,0.994,7,52,25,32.5
22,76313,황재균,KT,3루수,125,123,1040 1/3,17,0,68,221,32,0.944,0,0,0,-
23,77248,오재원,두산,2루수,122,116,966,16,0,236,305,81,0.971,0,0,0,-
23,78548,장성우,KT,포수,122,107,894 2/3,9,0,744,50,5,0.989,17,64,21,24.7
25,62864,김민식,KIA,포수,121,100,844,4,1,708,51,6,0.995,6,71,19,21.1
26,79402,김상수,삼성,유격수,120,120,989,16,0,164,288,68,0.966,0,0,0,-
26,74215,윤석민,KT,1루수,120,115,954 1/3,7,0,881,54,108,0.993,0,0,0,-
28,76812,이재원,SK,포수,119,109,846 2/3,11,2,774,48,6,0.987,5,72,18,20.0
28,75566,이원석,삼성,3루수,119,117,965 2/3,9,0,87,173,13,0.967,0,0,0,-
30,76232,양의지,두산,포수,118,108,861 2/3,3,0,703,52,8,0.996,5,46,28,37.8
31,78513,전준우,롯데,좌익수,117,109,929 2/3,3,0,174,3,0,0.983,0,0,0,-
32,78224,김재환,두산,좌익수,116,116,926 2/3,4,0,181,8,0,0.979,0,0,0,-
32,62332,김재현,넥센,포수,116,69,625,4,0,525,26,5,0.993,5,34,12,26.1
34,75334,오재일,두산,1루수,115,107,939 2/3,4,0,878,53,92,0.996,0,0,0,-
34,67935,스크럭스,NC,1루수,115,113,962 1/3,11,0,848,55,94,0.988,0,0,0,-
36,64006,심우준,KT,유격수,114,92,793,13,0,174,270,72,0.972,0,0,0,-
37,64153,양석환,LG,3루수,113,109,882,11,0,72,171,15,0.957,0,0,0,-
37,67450,러프,삼성,1루수,113,111,953 1/3,6,0,847,65,88,0.993,0,0,0,-
39,72443,최형우,KIA,좌익수,112,108,840 2/3,4,0,189,3,1,0.980,0,0,0,-
40,67304,김혜성,넥센,2루수,111,94,818 2/3,12,0,192,312,72,0.977,0,0,0,-
41,79608,안치홍,KIA,2루수,110,105,867 2/3,8,0,204,276,68,0.984,0,0,0,-
41,72546,문규현,롯데,유격수,110,83,726 1/3,13,0,105,237,46,0.963,0,0,0,-
41,62934,김성욱,NC,중견수,110,88,788,0,0,217,8,2,1.000,0,0,0,-
44,75847,최정,SK,3루수,109,104,901 2/3,11,0,64,184,17,0.958,0,0,0,-
44,77564,김민성,넥센,3루수,109,104,895 2/3,7,0,69,163,27,0.971,0,0,0,-
44,74540,강민호,삼성,포수,109,106,857 2/3,8,1,753,35,7,0.990,4,63,20,24.1
47,62907,박민우,NC,2루수,106,102,827 2/3,8,0,242,257,73,0.984,0,0,0,-
48,67539,나균안,롯데,포수,105,62,548 1/3,4,0,537,30,7,0.993,7,40,19,32.2
49,76720,정범모,NC,포수,103,78,619 2/3,4,0,526,40,4,0.993,6,39,19,32.8
50,62895,한유섬,SK,우익수,102,92,755 1/3,1,0,186,5,0,0.995,0,0,0,-
51,70756,이범호,KIA,3루수,101,92,728,4,0,51,142,12,0.980,0,0,0,-
51,75125,박병호,넥센,1루수,101,101,841 2/3,11,0,821,57,77,0.988,0,0,0,-
