season,team,final_rank,postseason
2020,NC,1,1
2020,두산,2,1
2020,KT,3,1
2020,LG,4,1
2020,키움,5,1
2020,KIA,6,0
2020,롯데,7,0
2020,삼성,8,0
2020,SK,9,0
2020,한화,10,0
