season,team,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg
2020,KIA,0.284,88,421,0.8144,0.9379999999999998,1.1517681728880156,0.368,0.4464
2020,KT,0.30300000000000005,107,437,0.8634000000000001,0.9236666666666666,1.0698015597251176,0.3722,0.49119999999999997
2020,LG,0.28980000000000006,91,389,0.8539999999999999,0.8569999999999999,1.0035128805620608,0.3724,0.4816
2020,NC,0.31620000000000004,108,452,0.9004,0.874,0.9706796979120391,0.38360000000000005,0.5167999999999999
2020,SK,0.26680000000000004,80,284,0.7842,0.8396666666666667,1.0707302558871037,0.3536,0.4306
2020,두산,0.30280000000000007,86,435,0.8424000000000001,0.8690000000000001,1.031576448243115,0.376,0.4664
2020,롯데,0.2962,86,425,0.8236000000000001,0.8476666666666667,1.0292213048405374,0.3666,0.457
2020,삼성,0.2962,64,328,0.8074000000000001,0.807,0.9995045826108495,0.3656,0.4418
2020,키움,0.2892,62,352,0.8161999999999999,0.8723333333333333,1.0687739933022953,0.38360000000000005,0.43260000000000004
2020,한화,0.267,19,151,0.704,0.723,1.0269886363636365,0.3484,0.3556
