season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate
2020,두산,0.293,816,1477,125,778,2155,5776,5046,0.365,0.427,0.792,551,796,4.31,1.46,695,616,109,478,1046,1285.6666666666667,85,0.984,126,6,91,25,21.6,125,88,37,70.4,63,4,121,0.5795691633859381,2.188284518828452,0.134,0.09539473684210527
2020,NC,0.291,888,1483,187,845,2358,5833,5102,0.366,0.462,0.828,529,997,4.58,1.42,714,660,153,547,1049,1296.6666666666667,87,0.983,120,10,49,42,46.2,139,101,38,72.7,49,7,174,0.6073478441702481,1.9177330895795246,0.17100000000000004,0.09069089662266415
2020,KT,0.284,813,1432,163,767,2201,5762,5047,0.358,0.436,0.794,554,1097,4.54,1.46,715,651,118,523,848,1290.3333333333333,102,0.981,154,10,75,21,21.9,156,106,50,67.9,49,6,98,0.5638733861459793,1.621414913957935,0.15200000000000002,0.09614717112113849
2020,LG,0.277,802,1384,149,760,2142,5681,4999,0.349,0.428,0.777,509,969,4.37,1.42,694,627,123,493,1019,1292.6666666666667,80,0.985,156,9,89,36,28.8,122,83,39,68.0,64,5,108,0.5718182141460119,2.0669371196754565,0.15099999999999997,0.08959690195388136
2020,롯데,0.276,750,1366,131,711,2023,5669,4958,0.353,0.408,0.761,569,875,4.64,1.41,720,659,143,447,1002,1277.3333333333333,94,0.982,124,7,95,28,22.8,121,90,31,74.4,52,3,30,0.5203996669442131,2.2416107382550337,0.13199999999999995,0.10037043570294585
2020,KIA,0.274,724,1355,130,692,1995,5642,4937,0.351,0.404,0.755,535,957,5.13,1.54,795,724,120,559,1038,1270.0,100,0.981,169,10,82,46,35.9,72,47,25,65.3,47,6,-71,0.4533606180932208,1.8568872987477638,0.13,0.09482453030840128
2020,키움,0.269,759,1332,127,713,2017,5721,4945,0.355,0.408,0.763,608,1030,4.39,1.39,692,624,126,446,950,1280.3333333333333,112,0.98,143,8,87,39,31.0,140,113,27,80.7,40,11,67,0.5460768096915005,2.1300448430493275,0.13899999999999996,0.10627512672609683
2020,삼성,0.268,699,1317,129,658,1939,5574,4923,0.338,0.394,0.732,486,990,4.78,1.47,745,676,151,542,931,1272.3333333333333,102,0.98,126,6,57,38,40.0,181,132,49,72.9,42,14,-46,0.4681763390333319,1.7177121771217712,0.126,0.08719052744886975
2020,SK,0.25,634,1212,143,595,1852,5502,4839,0.329,0.383,0.712,511,981,5.57,1.6,846,780,162,670,953,1259.3333333333333,99,0.981,139,6,129,57,30.6,126,81,45,64.3,44,16,-212,0.35963681652577856,1.4223880597014926,0.133,0.09287531806615776
2020,한화,0.245,551,1189,79,523,1645,5483,4862,0.32,0.338,0.658,462,1163,5.28,1.59,820,742,158,609,1019,1265.0,100,0.981,133,10,120,45,27.3,87,51,36,58.6,43,4,-269,0.3110662796452053,1.6732348111658457,0.09300000000000003,0.08426044136421668
