season,team,final_rank,postseason
2017,KIA,1,1
2017,두산,2,1
2017,롯데,3,1
2017,NC,4,1
2017,SK,5,1
2017,LG,6,0
2017,넥센,7,0
2017,한화,8,0
2017,삼성,9,0
2017,KT,10,0
