season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2017,KIA,3.8599999999999994,1.366,769.6666666666667,589,3.44,0.4199999999999995
2017,KT,5.506,1.488,655.9999999999999,475,3.04,2.466
2017,LG,3.9339999999999997,1.246,741.3333333333334,628,2.38,1.5539999999999998
2017,NC,4.674000000000001,1.432,641.3333333333334,538,3.42,1.2540000000000013
2017,SK,4.6899999999999995,1.434,751.0000000000001,523,3.57,1.1199999999999997
2017,넥센,4.324,1.2799999999999998,663.3333333333334,517,3.77,0.5539999999999998
2017,두산,3.768,1.366,775.0,604,3.14,0.6279999999999997
2017,롯데,4.5,1.442,684.3333333333334,568,2.18,2.32
2017,삼성,5.532,1.53,626.0,485,4.18,1.3520000000000003
2017,한화,4.828,1.436,556.6666666666666,375,3.93,0.8980000000000001
