season,team,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg
2017,KIA,0.3298,106,482,0.932,0.9590000000000001,1.0289699570815452,0.404,0.528
2017,KT,0.2926,63,323,0.796,0.8093333333333333,1.016750418760469,0.3532,0.44279999999999997
2017,LG,0.2822,47,291,0.7654,0.7986666666666666,1.0434631129692535,0.3572,0.4082
2017,NC,0.3216,98,433,0.9168,0.8913333333333333,0.9722222222222222,0.398,0.5187999999999999
2017,SK,0.288,97,316,0.8326,0.8676666666666666,1.0421170630154535,0.352,0.4806
2017,넥센,0.3104,54,369,0.8250000000000002,0.8443333333333335,1.0234343434343434,0.3736,0.4514
2017,두산,0.3224,122,443,0.9346,0.9666666666666668,1.0343105785006064,0.3984,0.5361999999999999
2017,롯데,0.31279999999999997,109,385,0.8868,0.9003333333333333,1.015260863028116,0.38059999999999994,0.5062
2017,삼성,0.29080000000000006,101,434,0.8485999999999999,0.8686666666666666,1.023646790792678,0.3574,0.49119999999999997
2017,한화,0.31160000000000004,74,324,0.8545999999999999,0.8916666666666666,1.0433731180279273,0.37060000000000004,0.484
