season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2017,KIA,0.302,906,1554,170,868,2414,5841,5142,0.37,0.469,0.839,499,891,4.79,1.51,743,687,137,434,985,1290.0,98,0.982,153,12,69,45,39.5,110,76,34,69.1,46,8,163,0.597891301893458,2.269585253456221,0.16699999999999998,0.08543057695600069,0.3298,106,482,0.932,0.9590000000000001,1.0289699570815452,0.404,0.528,3.8599999999999994,1.366,769.6666666666667,589,3.44,0.4199999999999995
2017,두산,0.294,849,1499,178,812,2343,5833,5102,0.369,0.459,0.828,541,960,4.38,1.45,678,627,125,464,956,1288.0,90,0.983,138,5,64,36,36.0,102,69,33,67.6,36,8,171,0.6105973392292151,2.060344827586207,0.16500000000000004,0.092748157037545,0.3224,122,443,0.9346,0.9666666666666668,1.0343105785006064,0.3984,0.5361999999999999,3.768,1.366,775.0,604,3.14,0.6279999999999997
2017,NC,0.293,786,1489,149,739,2251,5790,5079,0.365,0.443,0.808,471,979,4.71,1.41,745,673,169,470,1097,1284.6666666666667,108,0.98,134,4,64,42,39.6,125,93,32,74.4,59,7,41,0.5267606906765824,2.3340425531914892,0.15000000000000002,0.08134715025906736,0.3216,98,433,0.9168,0.8913333333333333,0.9722222222222222,0.398,0.5187999999999999,4.674000000000001,1.432,641.3333333333334,538,3.42,1.2540000000000013
2017,넥센,0.29,789,1479,141,748,2229,5712,5098,0.357,0.437,0.794,468,1066,5.03,1.48,764,710,149,388,1005,1271.0,91,0.983,125,8,73,43,37.1,104,70,34,67.3,55,2,25,0.5160937045324349,2.5902061855670104,0.14700000000000002,0.0819327731092437,0.3104,54,369,0.8250000000000002,0.8443333333333335,1.0234343434343434,0.3736,0.4514,4.324,1.2799999999999998,663.3333333333334,517,3.77,0.5539999999999998
2017,한화,0.287,737,1445,150,684,2188,5665,5030,0.35,0.435,0.785,416,974,5.28,1.51,820,747,166,446,914,1273.0,91,0.983,151,11,78,42,35.0,108,64,44,59.3,58,12,-83,0.44684341242660847,2.0493273542600896,0.14800000000000002,0.0734333627537511,0.31160000000000004,74,324,0.8545999999999999,0.8916666666666666,1.0433731180279273,0.37060000000000004,0.484,4.828,1.436,556.6666666666666,375,3.93,0.8980000000000001
2017,롯데,0.285,743,1425,151,697,2162,5671,4994,0.356,0.433,0.789,457,1018,4.56,1.42,701,652,162,477,1096,1287.3333333333333,86,0.984,132,14,87,45,34.1,136,92,44,67.6,52,10,42,0.529061287076525,2.29769392033543,0.14800000000000002,0.08058543466760712,0.31279999999999997,109,385,0.8868,0.9003333333333333,1.015260863028116,0.38059999999999994,0.5062,4.5,1.442,684.3333333333334,568,2.18,2.32
2017,LG,0.281,699,1390,110,663,1976,5614,4944,0.348,0.4,0.748,438,1021,4.3,1.32,677,611,124,379,1040,1279.0,103,0.981,127,9,62,37,37.4,133,77,56,57.9,50,9,22,0.5159842860612717,2.7440633245382586,0.119,0.07801923762023513,0.2822,47,291,0.7654,0.7986666666666666,1.0434631129692535,0.3572,0.4082,3.9339999999999997,1.246,741.3333333333334,628,2.38,1.5539999999999998
2017,삼성,0.279,757,1419,145,703,2181,5707,5095,0.34,0.428,0.768,429,983,5.88,1.63,911,837,187,548,1063,1281.3333333333333,95,0.982,152,14,64,35,35.4,135,98,37,72.6,53,6,-154,0.4084542078590419,1.9397810218978102,0.14899999999999997,0.07517084282460136,0.29080000000000006,101,434,0.8485999999999999,0.8686666666666666,1.023646790792678,0.3574,0.49119999999999997,5.532,1.53,626.0,485,4.18,1.3520000000000003
2017,KT,0.275,655,1360,119,625,2025,5485,4937,0.332,0.41,0.742,374,1017,5.75,1.56,876,803,174,433,913,1256.0,112,0.979,134,10,109,43,28.3,137,86,51,62.8,54,8,-221,0.35859632347348425,2.1085450346420322,0.13499999999999995,0.06818596171376481,0.2926,63,323,0.796,0.8093333333333333,1.016750418760469,0.3532,0.44279999999999997,5.506,1.488,655.9999999999999,475,3.04,2.466
2017,SK,0.271,761,1337,234,733,2291,5564,4925,0.341,0.465,0.806,427,1100,5.02,1.51,767,709,154,481,940,1270.6666666666667,108,0.98,139,8,80,39,32.8,95,53,42,55.8,33,7,-6,0.49607335897413934,1.9542619542619544,0.194,0.07674335010783609,0.288,97,316,0.8326,0.8676666666666666,1.0421170630154535,0.352,0.4806,4.6899999999999995,1.434,751.0000000000001,523,3.57,1.1199999999999997
