순위,선수ID,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,67341,이정후,키움,0.360,55,131,138,0.95,7,1.68,3.94,0.162,100.8,0.328
2,78513,전준우,롯데,0.348,53,145,152,0.95,10,0.75,3.64,0.121,98.9,0.300
3,68050,강백호,KT,0.347,57,131,129,1.02,11,1.21,4.20,0.174,117.6,0.333
4,66108,홍창기,LG,0.328,32,138,121,1.14,8,1.15,4.17,0.080,106.4,0.307
5,79215,박건우,두산,0.325,39,111,132,0.84,3,0.69,3.70,0.116,78.9,0.290
6,76232,양의지,NC,0.325,61,84,190,0.44,17,1.15,3.74,0.256,110.1,0.332
7,77532,손아섭,롯데,0.319,34,179,124,1.44,9,0.91,3.65,0.077,79.5,0.275
8,69209,페르난데스,두산,0.315,39,170,171,0.99,4,1.86,3.48,0.128,87.0,0.287
9,78603,김선빈,KIA,0.307,37,181,132,1.37,7,1.44,3.82,0.094,71.3,0.269
10,79608,안치홍,롯데,0.306,42,129,114,1.13,9,0.90,4.00,0.152,71.8,0.285
11,62404,구자욱,삼성,0.306,62,122,169,0.72,9,0.49,3.87,0.214,103.8,0.292
12,67304,김혜성,키움,0.304,26,165,137,1.20,7,0.67,4.01,0.063,88.0,0.259
13,67893,박성한,SSG,0.302,26,109,104,1.05,4,0.67,4.01,0.086,62.7,0.267
14,74163,이용규,키움,0.296,25,152,131,1.16,5,1.54,4.24,0.076,76.0,0.270
15,66606,최원준,KIA,0.295,31,185,165,1.12,5,0.90,3.82,0.076,86.9,0.260
16,60523,정훈,롯데,0.292,42,114,144,0.79,6,0.76,4.18,0.146,82.4,0.281
17,76313,황재균,KT,0.291,28,88,145,0.61,5,0.50,4.02,0.110,65.1,0.262
18,62415,박해민,삼성,0.291,28,116,131,0.89,5,0.84,4.20,0.086,74.3,0.267
19,74540,강민호,삼성,0.291,40,129,113,1.14,12,0.85,3.60,0.187,66.6,0.282
20,71564,이대호,롯데,0.286,30,121,135,0.90,5,0.68,3.69,0.162,63.7,0.266
20,51463,피렐라,삼성,0.286,56,143,166,0.86,10,0.64,3.76,0.210,96.3,0.285
22,75334,오재일,삼성,0.285,45,99,102,0.97,9,0.55,3.82,0.227,79.9,0.293
23,76290,김현수,LG,0.285,41,156,173,0.90,19,1.83,3.79,0.150,88.7,0.278
24,68743,정은원,한화,0.283,33,126,127,0.99,2,1.00,4.47,0.101,84.2,0.279
25,62947,나성범,NC,0.281,63,119,140,0.85,9,0.25,3.74,0.228,95.5,0.278
