날짜,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
20210403,1,키움,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20210403,2,삼성,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20210404,1,두산,1,1,0,0,1.000,0.5,1승0무0패,1승,1-0-0,0-0-0
20210404,1,KT,1,1,0,0,1.000,0.5,1승0무0패,1승,1-0-0,0-0-0
20210404,1,LG,1,1,0,0,1.000,0.5,1승0무0패,1승,0-0-0,1-0-0
20210404,1,키움,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
20210404,1,SSG,1,1,0,0,1.000,0.5,1승0무0패,1승,1-0-0,0-0-0
20210404,6,NC,1,0,1,0,0.000,1.5,0승0무1패,1패,0-0-1,0-0-0
20210404,6,KIA,1,0,1,0,0.000,1.5,0승0무1패,1패,0-0-0,0-0-1
20210404,6,롯데,1,0,1,0,0.000,1.5,0승0무1패,1패,0-0-0,0-0-1
20210404,6,삼성,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
20210404,6,한화,1,0,1,0,0.000,1.5,0승0무1패,1패,0-0-0,0-0-1
20210406,1,두산,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
20210406,1,LG,2,2,0,0,1.000,0,2승0무0패,2승,0-0-0,2-0-0
20210406,1,SSG,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
20210406,4,키움,3,2,1,0,0.667,0.5,2승0무1패,1패,2-0-1,0-0-0
20210406,5,KT,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20210406,5,KIA,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20210406,5,롯데,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20210406,8,NC,2,0,2,0,0.000,2,0승0무2패,2패,0-0-2,0-0-0
20210406,8,삼성,3,0,3,0,0.000,2.5,0승0무3패,3패,0-0-0,0-0-3
20210406,8,한화,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
20210407,1,두산,3,3,0,0,1.000,0,3승0무0패,3승,3-0-0,0-0-0
20210407,2,KT,3,2,1,0,0.667,1,2승0무1패,1승,2-0-1,0-0-0
20210407,2,LG,3,2,1,0,0.667,1,2승0무1패,1패,0-0-0,2-0-1
20210407,2,KIA,3,2,1,0,0.667,1,2승0무1패,2승,0-0-0,2-0-1
20210407,2,SSG,3,2,1,0,0.667,1,2승0무1패,1패,2-0-1,0-0-0
20210407,6,키움,4,2,2,0,0.500,1.5,2승0무2패,2패,2-0-2,0-0-0
20210407,7,NC,3,1,2,0,0.333,2,1승0무2패,1승,1-0-2,0-0-0
20210407,7,롯데,3,1,2,0,0.333,2,1승0무2패,1패,0-0-0,1-0-2
20210407,7,한화,3,1,2,0,0.333,2,1승0무2패,1승,0-0-0,1-0-2
20210407,10,삼성,4,0,4,0,0.000,3.5,0승0무4패,4패,0-0-0,0-0-4
20210408,1,두산,4,3,1,0,0.750,0,3승0무1패,1패,3-0-1,0-0-0
20210408,1,LG,4,3,1,0,0.750,0,3승0무1패,1승,0-0-0,3-0-1
20210408,1,KIA,4,3,1,0,0.750,0,3승0무1패,3승,0-0-0,3-0-1
20210408,1,SSG,4,3,1,0,0.750,0,3승0무1패,1승,3-0-1,0-0-0
20210408,5,KT,4,2,2,0,0.500,1,2승0무2패,1패,2-0-2,0-0-0
20210408,5,롯데,4,2,2,0,0.500,1,2승0무2패,1승,0-0-0,2-0-2
20210408,7,키움,5,2,3,0,0.400,1.5,2승0무3패,3패,2-0-3,0-0-0
20210408,8,NC,4,1,3,0,0.250,2,1승0무3패,1패,1-0-3,0-0-0
20210408,8,한화,4,1,3,0,0.250,2,1승0무3패,1패,0-0-0,1-0-3
20210408,10,삼성,5,1,4,0,0.200,2.5,1승0무4패,1승,0-0-0,1-0-4
20210409,1,LG,5,4,1,0,0.800,0,4승0무1패,2승,1-0-0,3-0-1
