순위,선수ID,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,67304,김혜성,키움,144,50,46,4,92.0,4,1
2,66606,최원준,KIA,143,53,40,13,75.5,6,4
3,62415,박해민,삼성,127,51,36,15,70.6,4,2
4,62404,구자욱,삼성,139,31,27,4,87.1,6,0
5,50854,최지훈,SSG,136,32,26,6,81.3,4,2
6,51817,추신수,SSG,137,34,25,9,73.5,4,0
7,66108,홍창기,LG,144,31,23,8,74.2,5,3
7,50458,김지찬,삼성,120,27,23,4,85.2,4,1
7,62700,하주석,한화,138,29,23,6,79.3,6,2
10,66209,조수행,두산,115,25,21,4,84.0,2,1
11,50923,알테어,NC,143,25,20,5,80.0,5,0
12,64166,배정대,KT,144,26,19,7,73.1,2,0
12,68743,정은원,한화,139,30,19,11,63.3,6,1
14,74163,이용규,키움,133,19,17,2,89.5,3,0
15,64006,심우준,KT,139,22,16,6,72.7,3,1
16,65462,김기환,NC,62,19,15,4,78.9,3,3
16,64012,송민섭,KT,122,16,15,1,93.8,0,0
18,79215,박건우,두산,126,13,13,0,100,6,0
18,63704,노수광,한화,52,14,13,1,92.9,5,1
20,62907,박민우,NC,50,15,12,3,80.0,3,0
20,79231,정수빈,두산,104,19,12,7,63.2,1,3
20,64868,조용호,KT,138,21,12,9,57.1,1,0
20,78168,서건창,LG,144,16,12,4,75.0,3,0
20,79109,오지환,LG,134,18,12,6,66.7,6,2
20,67893,박성한,SSG,135,17,12,5,70.6,3,0
26,76313,황재균,KT,117,15,11,4,73.3,4,0
26,77532,손아섭,롯데,139,17,11,6,64.7,7,0
28,69992,최정원,NC,72,17,10,7,58.8,1,1
28,68050,강백호,KT,142,15,10,5,66.7,10,2
28,67341,이정후,키움,123,13,10,3,76.9,2,1
31,62925,강진성,NC,124,12,9,3,75.0,7,0
31,64646,박찬호,KIA,131,13,9,4,69.2,7,0
31,51463,피렐라,삼성,140,15,9,6,60.0,5,0
31,60558,오태곤,SSG,122,13,9,4,69.2,0,0
35,63123,강승호,두산,113,10,8,2,80.0,3,0
35,64984,김태진,KIA,99,13,8,5,61.5,2,0
35,50506,마차도,롯데,134,13,8,5,61.5,8,1
35,60523,정훈,롯데,135,9,8,1,88.9,13,2
35,75847,최정,SSG,134,14,8,6,57.1,5,0
