순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,51257,미란다,두산,2.33,28,14,5,0,0,0.737,173 2/3,135,11,63,1,225,49,45,1.14
2,77446,백정현,삼성,2.63,27,14,5,0,0,0.737,157 2/3,142,15,54,2,109,54,46,1.24
3,64001,고영표,KT,2.92,26,11,6,0,1,0.647,166 2/3,147,9,27,14,130,59,54,1.04
4,69343,요키시,키움,2.93,31,16,9,0,0,0.640,181 1/3,171,12,46,4,131,71,59,1.20
5,69446,원태인,삼성,3.06,26,14,7,0,0,0.667,158 2/3,147,11,51,5,129,59,54,1.25
6,50404,뷰캐넌,삼성,3.10,30,16,5,0,0,0.762,177,173,13,59,2,162,71,61,1.31
7,69103,켈리,LG,3.15,30,13,8,0,0,0.619,177,160,12,60,11,142,64,62,1.24
8,69940,루친스키,NC,3.17,30,15,10,0,0,0.600,178 2/3,160,12,55,10,177,76,63,1.20
9,50815,킹험,한화,3.19,25,10,8,0,0,0.556,144,117,11,41,5,131,58,51,1.10
10,67263,최원준,두산,3.30,29,12,4,0,0,0.750,158 1/3,160,15,37,10,113,65,58,1.24
11,50040,데스파이네,KT,3.39,33,13,10,0,0,0.565,188 2/3,175,10,78,7,165,81,71,1.34
12,51863,폰트,SSG,3.46,25,8,5,0,0,0.615,145 2/3,114,12,45,6,157,66,56,1.09
13,51722,카펜터,한화,3.97,31,5,12,0,0,0.294,170,150,16,72,19,179,90,75,1.31
14,64021,박세웅,롯데,3.98,28,10,9,0,0,0.526,163,141,20,53,10,125,75,72,1.19
15,65764,김민우,한화,4.00,29,14,10,0,0,0.583,155 1/3,131,15,76,7,125,71,69,1.33
16,50558,스트레일리,롯데,4.07,31,10,12,0,0,0.455,165 2/3,162,12,67,7,164,85,75,1.38
17,68902,신민혁,NC,4.41,30,9,6,0,0,0.600,145,155,17,44,5,107,75,71,1.37
18,62754,임기영,KIA,4.88,28,8,8,0,0,0.500,153,155,15,45,11,129,85,83,1.31
19,51567,프랑코,롯데,5.40,37,9,8,0,1,0.529,150,147,20,75,20,124,97,90,1.48
1,64504,오윤석,KT,0.00,1,0,0,0,0,-,2/3,0,0,0,0,0,0,0,0.00
1,51060,지명성,KT,0.00,3,1,0,0,0,1.000,4,1,0,1,1,4,1,0,0.50
3,60559,박시영,KT,2.40,48,3,3,0,12,0.500,45,30,4,15,1,51,16,12,1.00
4,65062,김재윤,KT,2.42,65,4,3,32,0,0.571,67,57,5,24,0,64,19,18,1.21
5,64047,조현우,KT,2.61,49,0,0,0,6,-,31,26,0,7,1,13,10,9,1.06
6,65057,이창재,KT,2.70,32,2,0,0,0,1.000,26 2/3,22,0,10,0,19,8,8,1.20
7,64017,심재민,KT,2.89,28,0,1,0,1,0.000,46 2/3,41,4,11,0,35,15,15,1.11
9,65048,김민수,KT,2.95,56,4,2,0,11,0.667,58,56,2,24,3,55,25,19,1.38
10,65060,주권,KT,3.31,62,3,4,0,27,0.429,49,48,3,19,1,19,19,18,1.37
11,75340,전유수,KT,3.38,11,1,0,0,0,1.000,10 2/3,9,1,6,0,9,6,4,1.41
13,67008,이대은,KT,3.48,31,3,2,1,9,0.600,31,27,4,11,1,22,15,12,1.23
14,65516,배제성,KT,3.68,26,9,10,0,0,0.474,141 2/3,126,6,82,1,136,67,58,1.47
15,73738,안영명,KT,4.08,35,0,1,0,4,0.000,35 1/3,24,2,11,1,32,17,16,0.99
16,65056,엄상백,KT,4.10,10,4,1,0,0,0.800,52 2/3,41,7,28,3,45,24,24,1.31
17,69032,쿠에바스,KT,4.12,23,9,5,0,0,0.643,133 1/3,131,11,51,3,137,68,61,1.37
18,50030,소형준,KT,4.16,24,7,7,0,0,0.500,119,123,6,51,4,85,67,55,1.46
19,76757,유원상,KT,6.08,11,1,1,0,1,0.500,13 1/3,15,0,7,0,13,10,9,1.65
20,78517,하준호,KT,6.75,10,0,0,0,0,-,12,16,2,6,0,10,10,9,1.83
21,69054,이상동,KT,8.53,6,0,1,0,1,0.000,6 1/3,7,0,3,0,5,6,6,1.58
22,67048,이정현,KT,9.35,2,0,1,0,0,0.000,8 2/3,12,3,5,0,1,9,9,1.96
23,75342,이보근,KT,15.55,16,0,1,0,1,0.000,11,28,4,7,0,9,20,19,3.18
24,51058,한차현,KT,19.64,3,0,0,0,0,-,3 2/3,10,3,2,0,3,8,8,3.27
1,51294,김도윤,두산,0.00,1,0,0,0,0,-,1,0,0,0,0,2,0,0,0.00
1,62951,이형범,두산,0.00,4,0,0,0,0,-,2 2/3,2,0,5,1,2,2,0,2.63
1,50298,최세창,두산,0.00,1,0,0,0,0,-,1 1/3,1,0,1,0,0,0,0,1.50
4,76329,이현승,두산,1.93,38,5,1,0,7,0.833,23 1/3,16,1,6,0,20,6,5,0.94
5,77263,김강률,두산,2.09,50,3,0,21,3,1.000,51 2/3,54,2,25,1,41,15,12,1.53
7,50203,권휘,두산,2.66,24,0,0,0,1,-,20 1/3,16,0,14,2,15,6,6,1.48
8,61643,홍건희,두산,2.78,65,6,6,3,17,0.500,74 1/3,65,3,27,0,82,23,23,1.24
9,51234,로켓,두산,2.98,21,9,9,0,0,0.500,124,132,5,42,12,112,44,41,1.40
11,64805,이승진,두산,3.91,47,1,4,2,13,0.200,48 1/3,41,3,31,2,28,24,21,1.49
12,51264,최승용,두산,3.93,15,0,0,0,2,-,18 1/3,20,3,10,1,16,10,8,1.64
13,67266,박치국,두산,4.09,23,2,1,0,8,0.667,22,21,2,11,1,20,11,10,1.45
14,68220,곽빈,두산,4.10,21,4,7,0,0,0.364,98 2/3,78,7,79,12,96,50,45,1.59
15,67246,김명신,두산,4.30,58,3,2,0,2,0.600,67,72,6,14,6,43,37,32,1.28
16,62242,윤명준,두산,4.73,45,1,0,0,1,1.000,45 2/3,53,3,20,4,26,28,24,1.60
17,50205,박웅,두산,5.40,10,0,0,0,0,-,11 2/3,12,0,4,3,7,7,7,1.37
18,63292,박소준,두산,5.73,22,0,4,0,0,0.000,59 2/3,69,3,29,3,33,42,38,1.64
19,68200,김민규,두산,6.07,31,2,3,0,1,0.400,56 1/3,64,9,28,4,39,40,38,1.63
20,66291,이영하,두산,6.29,35,5,6,1,2,0.455,78 2/3,81,9,57,1,53,58,55,1.75
21,67259,문원,두산,6.75,2,0,0,0,0,-,1 1/3,2,1,2,0,1,1,1,3.00
21,74513,장원준,두산,6.75,32,0,1,1,4,0.000,18 2/3,20,1,18,2,8,15,14,2.04
23,65639,박정수,두산,7.42,12,3,3,0,0,0.500,30 1/3,38,5,14,3,26,27,25,1.71
