순위,선수ID,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,67341,이정후,키움,0.360,123,544,464,78,167,42,6,7,242,84,0,9,62,1,9,37,8,0.522,0.438,0.960,51,0.341,0.000
2,78513,전준우,롯데,0.348,144,619,552,88,192,46,0,7,259,92,1,8,53,0,5,71,10,0.469,0.405,0.874,53,0.416,0.600
3,68050,강백호,KT,0.347,142,627,516,76,179,40,1,16,269,102,0,8,103,10,0,85,7,0.521,0.450,0.971,53,0.340,0.000
4,66108,홍창기,LG,0.328,144,651,524,103,172,26,2,4,214,52,0,2,109,4,16,95,6,0.408,0.456,0.864,57,0.343,0.500
5,79215,박건우,두산,0.325,126,525,458,82,149,31,2,6,202,63,0,6,50,2,11,72,16,0.441,0.400,0.841,44,0.325,0.250
6,76232,양의지,NC,0.325,141,570,480,81,156,29,2,30,279,111,0,10,69,5,11,60,12,0.581,0.414,0.995,41,0.374,0.500
7,77532,손아섭,롯데,0.319,139,610,542,88,173,29,2,3,215,58,3,1,61,3,3,67,15,0.397,0.390,0.787,58,0.318,0.000
8,69209,페르난데스,두산,0.315,141,617,540,73,170,24,0,15,239,81,0,6,65,3,6,35,25,0.443,0.391,0.834,48,0.279,0.000
9,78603,김선빈,KIA,0.307,130,564,501,55,154,32,0,5,201,67,1,5,56,2,1,39,19,0.401,0.375,0.776,47,0.320,0.000
10,79608,안치홍,롯데,0.306,119,490,421,58,129,30,2,10,193,82,5,9,52,2,3,58,10,0.458,0.379,0.837,38,0.359,0.500
11,62404,구자욱,삼성,0.306,139,610,543,107,166,30,10,22,282,88,1,12,48,3,6,98,9,0.519,0.361,0.880,45,0.283,0.000
12,67304,김혜성,키움,0.304,144,635,559,99,170,20,3,3,205,66,0,10,65,3,1,97,8,0.367,0.372,0.739,45,0.289,0.500
13,67893,박성한,SSG,0.302,135,471,407,53,123,21,1,4,158,44,12,2,49,0,1,73,1,0.388,0.377,0.765,26,0.298,0.500
14,74163,이용규,키움,0.296,133,547,459,88,136,16,8,1,171,43,6,6,71,2,5,46,5,0.373,0.392,0.765,38,0.276,0.333
15,66606,최원준,KIA,0.295,143,668,589,82,174,21,6,4,219,44,4,3,61,0,11,68,7,0.372,0.370,0.742,46,0.264,0.000
16,60523,정훈,롯데,0.292,135,561,486,70,142,27,1,14,213,79,1,3,68,8,3,89,6,0.438,0.380,0.818,42,0.240,0.167
17,76313,황재균,KT,0.291,117,507,453,74,132,16,2,10,182,56,1,4,46,1,3,92,11,0.402,0.358,0.760,37,0.289,0.000
18,62415,박해민,삼성,0.291,127,542,454,78,132,22,1,5,171,54,9,7,69,2,3,82,3,0.377,0.383,0.760,36,0.327,0.000
19,74540,강민호,삼성,0.291,123,462,406,55,118,22,0,18,194,67,0,7,45,4,4,53,18,0.478,0.361,0.839,34,0.250,0.250
20,71564,이대호,롯데,0.286,114,465,420,39,120,11,0,19,188,81,0,6,34,3,5,50,12,0.448,0.342,0.790,36,0.256,0.143
20,51463,피렐라,삼성,0.286,140,621,553,102,158,25,2,29,274,97,0,3,57,2,8,89,8,0.495,0.359,0.854,52,0.288,0.000
22,75334,오재일,삼성,0.285,120,484,418,64,119,20,0,25,214,97,0,8,58,8,0,106,5,0.512,0.366,0.878,36,0.276,0.000
23,76290,김현수,LG,0.285,140,595,506,70,144,23,1,17,220,96,0,9,77,5,3,42,7,0.435,0.376,0.811,43,0.279,0.000
